save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
14,0,97117.919,2.698,1.099,8.606,370.68339571814755,0,36000,2.0.63,windows-x86_64
14,1,98190.942,2.728,1.082,9.304,366.6325963142303,0,36000,2.0.63,windows-x86_64
14,2,96908.189,2.692,0.983,7.449,371.4856336857146,0,36000,2.0.63,windows-x86_64
02,0,84197.52,2.339,0.731,9.095,427.56603757450335,13.485305662086095,36000,2.0.63,windows-x86_64
02,1,85773.647,2.383,0.772,8.996,419.7093310023299,13.485305662086095,36000,2.0.63,windows-x86_64
02,2,87580.257,2.433,0.812,11.963,411.051545555524,13.485305662086095,36000,2.0.63,windows-x86_64
00_baseline,0,80404.642,2.233,1.292,5.478,447.7353434394994,26.274590482100784,36000,2.0.63,windows-x86_64
00_baseline,1,76054.801,2.113,1.322,4.658,473.34289915504473,26.274590482100784,36000,2.0.63,windows-x86_64
00_baseline,2,75147.717,2.087,1.269,4.458,479.0564695398531,26.274590482100784,36000,2.0.63,windows-x86_64
05,0,76054.296,2.113,1.525,4.241,473.346042148625,30.254320319170315,36000,2.0.63,windows-x86_64
05,1,73962.483,2.055,1.517,4.238,486.73325366862014,30.254320319170315,36000,2.0.63,windows-x86_64
05,2,74352.095,2.065,1.507,4.505,484.1827254497671,30.254320319170315,36000,2.0.63,windows-x86_64
06,0,69944.999,1.943,1.457,4.184,514.6901210192311,38.89544834010189,36000,2.0.63,windows-x86_64
06,1,69551.568,1.932,1.448,3.94,517.6015586018133,38.89544834010189,36000,2.0.63,windows-x86_64
06,2,70896.383,1.969,1.48,4.131,507.7833096224387,38.89544834010189,36000,2.0.63,windows-x86_64
07,0,70292.86,1.953,0.959,4.635,512.1430540740553,39.401291873029486,36000,2.0.63,windows-x86_64
07,1,69371.473,1.927,0.942,4.39,518.9453019110608,39.401291873029486,36000,2.0.63,windows-x86_64
07,2,69957.869,1.943,0.922,4.577,514.5954345750582,39.401291873029486,36000,2.0.63,windows-x86_64
09,0,64711.967,1.798,1.132,5.704,556.311323375474,51.045613688226055,36000,2.0.63,windows-x86_64
09,1,64428.477,1.79,1.118,4.358,558.759133791103,51.045613688226055,36000,2.0.63,windows-x86_64
09,2,64317.211,1.787,1.133,3.869,559.7257629843433,51.045613688226055,36000,2.0.63,windows-x86_64
15,0,63711.699,1.77,0.726,7.451,565.0453616061942,52.535656425738786,36000,2.0.63,windows-x86_64
15,1,63645.25,1.768,0.743,6.392,565.6352987850626,52.535656425738786,36000,2.0.63,windows-x86_64
15,2,64212.652,1.784,0.752,6.128,560.6371778570989,52.535656425738786,36000,2.0.63,windows-x86_64
03,0,59674.462,1.658,0.931,4.053,603.273138851256,58.39664928085697,36000,2.0.63,windows-x86_64
03,1,62254.196,1.729,0.938,4.063,578.2742740746343,58.39664928085697,36000,2.0.63,windows-x86_64
03,2,62635.143,1.74,0.968,4.224,574.7572093832372,58.39664928085697,36000,2.0.63,windows-x86_64
08,0,58485.744,1.625,0.686,6.508,615.5346164357592,64.6675758571261,36000,2.0.63,windows-x86_64
08,1,59312.413,1.648,0.696,6.839,606.955579433263,64.6675758571261,36000,2.0.63,windows-x86_64
08,2,59667.2,1.657,0.694,5.926,603.3465622653653,64.6675758571261,36000,2.0.63,windows-x86_64
11,0,56630.16,1.573,0.708,6.121,635.7036603816764,69.87410494057289,36000,2.0.63,windows-x86_64
11,1,57606.659,1.6,0.701,6.181,624.9277535779328,69.87410494057289,36000,2.0.63,windows-x86_64
11,2,57790.902,1.605,0.693,6.149,622.9354232955214,69.87410494057289,36000,2.0.63,windows-x86_64
01,0,57263.408,1.591,0.612,5.336,628.6737247632904,71.69964348943955,36000,2.0.63,windows-x86_64
01,1,56225.223,1.562,0.631,3.586,640.2820314292039,71.69964348943955,36000,2.0.63,windows-x86_64
01,2,56706.069,1.575,0.628,5.027,634.8526821705804,71.69964348943955,36000,2.0.63,windows-x86_64
13,0,51536.971,1.432,0.596,4.638,698.5276647321784,88.54263016693119,36000,2.0.63,windows-x86_64
13,1,51599.289,1.433,0.558,5.019,697.6840320416044,88.54263016693119,36000,2.0.63,windows-x86_64
13,2,51846.898,1.44,0.567,4.84,694.3520516888011,88.54263016693119,36000,2.0.63,windows-x86_64
04,0,49475.923,1.374,0.57,3.543,727.6266478141297,89.75062506313974,36000,2.0.63,windows-x86_64
04,1,51940.013,1.443,0.562,3.457,693.1072581749257,89.75062506313974,36000,2.0.63,windows-x86_64
04,2,52691.349,1.464,0.581,3.604,683.2241095212802,89.75062506313974,36000,2.0.63,windows-x86_64
10,0,51299.84,1.425,0.488,5.94,701.7565746793753,91.80843306811323,36000,2.0.63,windows-x86_64
10,1,50346.915,1.399,0.49,5.395,715.0388459749719,91.80843306811323,36000,2.0.63,windows-x86_64
10,2,50705.682,1.408,0.483,5.179,709.9796034692916,91.80843306811323,36000,2.0.63,windows-x86_64
16,0,47986.599,1.333,0.758,3.788,750.2094491005707,103.82825132747075,36000,2.0.63,windows-x86_64
16,1,48069.024,1.335,0.72,4.203,748.9230486560326,103.82825132747075,36000,2.0.63,windows-x86_64
16,2,47311.245,1.314,0.739,4.098,760.918466635152,103.82825132747075,36000,2.0.63,windows-x86_64
12,0,45809.297,1.272,0.385,6.78,785.8666768014363,112.61536712907365,36000,2.0.63,windows-x86_64
12,1,46007.066,1.278,0.394,6.634,782.4884986145389,112.61536712907365,36000,2.0.63,windows-x86_64
12,2,45620.006,1.267,0.39,7.174,789.1274718376845,112.61536712907365,36000,2.0.63,windows-x86_64
