save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
00_baseline,0,40121.62,2.006,1.256,5.021,498.4843583085628,0,20000,2.0.64,windows-x86_64
00_baseline,1,40306.233,2.015,1.262,4.645,496.2011706725359,0,20000,2.0.64,windows-x86_64
00_baseline,2,41564.421,2.078,1.27,4.89,481.1807675607943,0,20000,2.0.64,windows-x86_64
00_baseline,3,41971.016,2.099,1.283,5.05,476.51931990400226,0,20000,2.0.64,windows-x86_64
17,0,24731.2,1.237,0.41,5.856,808.6950896034159,60.96161710039747,20000,2.0.64,windows-x86_64
17,1,25553.487,1.278,0.416,5.862,782.6720478500645,60.96161710039747,20000,2.0.64,windows-x86_64
17,2,25858.985,1.293,0.418,6.078,773.4255617534872,60.96161710039747,20000,2.0.64,windows-x86_64
17,3,25713.592,1.286,0.428,6.091,777.7987610599095,60.96161710039747,20000,2.0.64,windows-x86_64
18,0,25430.33,1.272,0.567,7.76,786.4624643093503,61.0426022238984,20000,2.0.64,windows-x86_64
18,1,24514.392,1.226,0.548,5.122,815.8472786108666,61.0426022238984,20000,2.0.64,windows-x86_64
18,2,25764.772,1.288,0.574,5.654,776.2537157324738,61.0426022238984,20000,2.0.64,windows-x86_64
18,3,26122.99,1.306,0.587,6.132,765.6091435168792,61.0426022238984,20000,2.0.64,windows-x86_64
16_sync,0,24885.92,1.244,0.415,6.129,803.6672945987129,64.59152356064914,20000,2.0.64,windows-x86_64
16_sync,1,24180.97,1.209,0.424,5.309,827.0966797444436,64.59152356064914,20000,2.0.64,windows-x86_64
16_sync,2,25272.937,1.264,0.431,6.206,791.3603393226517,64.59152356064914,20000,2.0.64,windows-x86_64
16_sync,3,25273.685,1.264,0.428,5.696,791.3369182214623,64.59152356064914,20000,2.0.64,windows-x86_64
12,0,24085.236,1.204,0.354,7.203,830.3842237626403,65.940314422872,20000,2.0.64,windows-x86_64
12,1,24045.952,1.202,0.376,5.629,831.7408268967682,65.940314422872,20000,2.0.64,windows-x86_64
12,2,25442.072,1.272,0.409,7.097,786.0994969277659,65.940314422872,20000,2.0.64,windows-x86_64
12,3,25266.234,1.263,0.398,6.384,791.5702830900719,65.940314422872,20000,2.0.64,windows-x86_64
