save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
00_baseline,0,154952.647,2.152,1.318,5.117,464.6580835756875,0,72000,2.0.64,windows-x86_64
00_baseline,1,155827.286,2.164,1.306,5.335,462.05001606714757,0,72000,2.0.64,windows-x86_64
00_baseline,2,154227.958,2.142,1.295,5.025,466.8414270258314,0,72000,2.0.64,windows-x86_64
04,0,105613.828,1.467,0.593,4.795,681.7289114830684,46.39780249982108,72000,2.0.64,windows-x86_64
04,1,106947.191,1.485,0.553,4.481,673.2294633152169,46.39780249982108,72000,2.0.64,windows-x86_64
04,2,105083.792,1.459,0.522,4.341,685.1675089913009,46.39780249982108,72000,2.0.64,windows-x86_64
13,0,104318.628,1.449,0.568,5.645,690.1931263896607,49.76208816044763,72000,2.0.64,windows-x86_64
13,1,104986.761,1.458,0.564,5.291,685.800755392387,49.76208816044763,72000,2.0.64,windows-x86_64
13,2,101263.688,1.406,0.538,5.744,711.0149889069812,49.76208816044763,72000,2.0.64,windows-x86_64
10,0,96677.791,1.343,0.448,4.587,744.7418818247513,51.50492342097118,72000,2.0.64,windows-x86_64
10,1,109275.9,1.518,0.469,5.655,658.8826996620481,51.50492342097118,72000,2.0.64,windows-x86_64
10,2,101742.113,1.413,0.461,5.581,707.6715617258706,51.50492342097118,72000,2.0.64,windows-x86_64
13_V2,0,99413.325,1.381,0.529,4.186,724.2489877488757,55.03873981681156,72000,2.0.64,windows-x86_64
13_V2,1,100284.993,1.393,0.575,4.306,717.9538816939439,55.03873981681156,72000,2.0.64,windows-x86_64
13_V2,2,100231.262,1.392,0.556,4.163,718.3387554274234,55.03873981681156,72000,2.0.64,windows-x86_64
16,0,95028.057,1.32,0.718,4.041,757.6709686908573,61.55481310792721,72000,2.0.64,windows-x86_64
16,1,96603.364,1.342,0.74,4.234,745.3156600219429,61.55481310792721,72000,2.0.64,windows-x86_64
16,2,96210.418,1.336,0.731,4.479,748.3597046631686,61.55481310792721,72000,2.0.64,windows-x86_64
12,0,93138.442,1.294,0.392,6.501,773.0427786198098,66.40915935401304,72000,2.0.64,windows-x86_64
12,1,91944.016,1.277,0.397,6.672,783.0852200321552,66.40915935401304,72000,2.0.64,windows-x86_64
12,2,94380.92,1.311,0.382,8.056,762.8660538591911,66.40915935401304,72000,2.0.64,windows-x86_64
16_sync,0,92027.945,1.278,0.426,6.579,782.371050445601,67.65986114149297,72000,2.0.64,windows-x86_64
16_sync,1,92880.472,1.29,0.428,6.663,775.1898590696223,67.65986114149297,72000,2.0.64,windows-x86_64
16_sync,2,92442.529,1.284,0.433,7.102,778.8622918353955,67.65986114149297,72000,2.0.64,windows-x86_64
