entity,design_00_baseline,design_01_undertow,design_02_swiftdeath007,design_03_swiftdeath007,design_04_swiftdeath007,design_05_derantrix,design_06_imp,design_07_osboz,design_08_lady_meyneth,design_09_jobo,design_10_ztirom22,design_11_theflyingcurryfish154,design_12_phlap,design_13_phlap,design_14_abucnasty_Stage_1,design_14_abucnasty_Stage_2,design_14_abucnasty_Stage_3,design_14_abucnasty,design_17_henryjk,design_18_lady_meyneth,design_19_werezwolf,design_20_toda1,design_21_syvkal_STAGE_0,design_21_syvkal_STAGE_1,design_21_syvkal_STAGE_2,design_22_mcmayhem57,design_23_mcmayhem57,design_24_mcmayhem57,design_25_ashtroboy_1,design_25_ashtroboy_Paste_after_sulfur_rounds_corner_and_imediatly_after_lamp_blinks,design_25_ashtroboy_Final_State_(Only_for_comparison_will_not_work),design_26_mrcooki4,design_27_geist_fixed,design_28_geist,design_29_geist,design_30_reja,design_31_minebuilder,design_32_reja,design_33_syvkal_STAGE_0,design_33_syvkal_STAGE_1,design_33_syvkal_STAGE_2,design_34_osboz,design_35_henryjk,design_hybrid_01_abucnasty,design_hybrid_03_thaeln_abucnasty,design_hybrid_04_thaeln_abucnasty,design_hybrid_05_thaeln_abucnasty_Stage_1,design_hybrid_05_thaeln_abucnasty,design_hybrid_06_abucnasty
arithmetic_combinator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0
assembling_machine_3,34,88,36,120,40,76,48,76,44,36,32,288,44,32,32,32,32,32,48,44,48,46,72,72,72,52,56,40,24,68,68,78,66,69,70,44,44,44,72,72,72,76,48,44,32,32,64,64,44
assembling_machine_3_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,69,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0
average_buildings_per_beacon,2.1203703703703702,2.367088607594937,1.9081632653061225,2.2987012987012987,1.9066265060240963,2.7357859531772575,3.0476190476190474,3.0950413223140494,2.287425149700599,2.522222222222222,2.0405405405405403,2.3412596401028276,2.389558232931727,1.8826815642458101,1.8698412698412699,1.8698412698412699,1.8698412698412699,1.8698412698412699,2.8884615384615384,2.435215946843854,1.8167202572347267,1.726865671641791,2.1753130590339893,2.1753130590339893,2.1753130590339893,2.1037735849056602,2.6331658291457285,2,1.2436363636363637,2.4363636363636365,2.4363636363636365,1.976890756302521,1.7332123411978222,1.9461538461538461,2.152097902097902,2.1964285714285716,1.7791411042944785,2.1673640167364017,2.1753130590339893,2.1753130590339893,2.1753130590339893,3.1417004048582995,2.8884615384615384,2.2007874015748032,1.8698412698412699,2.066666666666667,2.3896103896103895,2.3896103896103895,2.2007874015748032
beacon,216,474,294,308,332,299,294,242,334,180,222,1556,249,358,315,315,315,315,260,301,311,670,559,559,559,318,199,258,550,550,550,476,551,520,572,224,326,239,559,559,559,247,260,254,315,285,462,462,254
beacons_per_assembling_machine_3,10.117647058823529,8.863636363636363,9.333333333333334,2.75,9.9,8.631578947368421,6.5,7.684210526315789,8,9.722222222222221,10.625,9,7,12,12,12,12,12,7.666666666666667,8,6.895833333333333,8,9,9,9,7.5,5.392857142857143,8.7,10,10,10,7.333333333333333,10,9,9.028571428571428,9,10.636363636363637,9,9,9,9,7.684210526315789,7.666666666666667,8.5,12,12,12,12,8.5
beacons_per_assembling_machine_3_advanced_circuit_recipe,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_assembling_machine_3_chemical_science_pack_recipe,10,11,11.454545454545455,6,11.454545454545455,9.166666666666666,10,8,11,9.583333333333334,12,11,11,12,12,12,12,12,8,11,7,10,10,10,10,9,6.857142857142857,10,0,10,10,8,11,10,8,11,12,11,10,10,10,8,8,11,12,12,12,12,11
beacons_per_assembling_machine_3_copper_cable_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_assembling_machine_3_electronic_circuit_recipe,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_assembling_machine_3_engine_unit_recipe,10.4,6.7272727272727275,6,1,8,7.714285714285714,3,7,5,10,8,7,3,12,12,12,12,12,7,5,7,6,7,7,7,6,3.9285714285714284,6.285714285714286,10,10,10,6,8,7,12,7,12,7,7,7,7,7,7,6,12,12,12,12,6
beacons_per_assembling_machine_3_iron_gear_wheel_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
