entity,count
assembling_machine_3,34
average_buildings_per_beacon,2.1203703703703702
beacon,216
beacons_per_assembling_machine_3,10.117647058823529
beacons_per_assembling_machine_3_chemical_science_pack_recipe,10
beacons_per_assembling_machine_3_engine_unit_recipe,10.4
beacons_per_cryogenic_plant,2.5
beacons_per_cryogenic_plant_plastic_bar_recipe,3
beacons_per_cryogenic_plant_sulfur_recipe,2
beacons_per_electromagnetic_plant,5
beacons_per_electromagnetic_plant_advanced_circuit_recipe,6
beacons_per_electromagnetic_plant_electronic_circuit_recipe,2
beacons_per_foundry,4.142857142857143
beacons_per_foundry_casting_copper_cable_recipe,3
beacons_per_foundry_casting_iron_gear_wheel_recipe,3
beacons_per_foundry_casting_iron_recipe,3
beacons_per_foundry_casting_pipe_recipe,6
beacons_per_foundry_casting_steel_recipe,5
beacons_per_oil_refinery,10
beacons_per_oil_refinery_basic_oil_processing_recipe,10
constant_combinator,5
cryogenic_plant,2
ee_infinity_loader,1
ee_infinity_pipe,4
electromagnetic_plant,8
foundry,7
infinity_chest,1
inserter_all,147
inserter_all_direct_insertion,2
inserter_all_direction_insertion_percent,1.3605442176870748
inserter_all_from_assembling_machine_3_chemical_science_pack,24
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,24
inserter_all_from_assembling_machine_3_engine_unit,10
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_transport_belt,10
inserter_all_from_belt,85
inserter_all_from_building,62
inserter_all_from_cryogenic_plant_plastic_bar,2
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,2
inserter_all_from_cryogenic_plant_sulfur,2
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt,2
inserter_all_from_electromagnetic_plant_advanced_circuit,6
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,6
inserter_all_from_electromagnetic_plant_electronic_circuit,2
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt,2
inserter_all_from_foundry_casting_copper_cable,8
inserter_all_from_foundry_casting_copper_cable_to_turbo_transport_belt,8
inserter_all_from_foundry_casting_iron,2
inserter_all_from_foundry_casting_iron_gear_wheel,2
inserter_all_from_foundry_casting_iron_gear_wheel_to_turbo_transport_belt,2
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,2
inserter_all_from_foundry_casting_pipe,2
inserter_all_from_foundry_casting_pipe_to_turbo_transport_belt,2
inserter_all_from_foundry_casting_steel,2
inserter_all_from_foundry_casting_steel_to_turbo_transport_belt,2
inserter_all_from_turbo_transport_belt,83
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack,46
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_engine_unit,20
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,1
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit,12
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit,4
inserter_all_from_turbo_underground_belt,2
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_chemical_science_pack,2
inserter_all_to_assembling_machine_3_chemical_science_pack,48
inserter_all_to_assembling_machine_3_engine_unit,20
inserter_all_to_belt,60
inserter_all_to_building,87
inserter_all_to_cryogenic_plant_plastic_bar,1
inserter_all_to_electromagnetic_plant_advanced_circuit,12
inserter_all_to_electromagnetic_plant_electronic_circuit,6
inserter_all_to_turbo_transport_belt,60
medium_electric_pole,22
oil_refinery,4
pipe,154
pipe_to_ground,77
recipe_advanced_circuit,6
recipe_basic_oil_processing,4
recipe_casting_copper_cable,1
recipe_casting_iron,2
recipe_casting_iron_gear_wheel,1
recipe_casting_pipe,2
recipe_casting_steel,1
recipe_chemical_science_pack,24
recipe_electronic_circuit,2
recipe_engine_unit,10
recipe_plastic_bar,1
recipe_sulfur,1
stack_inserter,147
stack_inserter_direct_insertion,2
stack_inserter_direction_insertion_percent,1.3605442176870748
