entity,count
assembling-machine-3,88
assembling-machine-3_chemical-science-pack,44
assembling-machine-3_engine-unit,44
beacon,474
cryogenic-plant,10
cryogenic-plant_plastic-bar,8
cryogenic-plant_sulfur,2
electromagnetic-plant,10
electromagnetic-plant_advanced-circuit,8
electromagnetic-plant_electronic-circuit,2
foundry,24
foundry_casting-copper-cable,6
foundry_casting-iron,2
foundry_casting-iron-gear-wheel,2
foundry_casting-pipe,12
foundry_casting-steel,2
infinity-chest,10
medium-electric-pole,58
oil-refinery,2
oil-refinery_basic-oil-processing,2
pipe,103
pipe-to-ground,220
stack-inserter,288
stack-inserter_circuit_enabled,34
stack-inserter_direct_insertion,112
stack-inserter_direct_insertion_circuit_enabled,18
stack-inserter_from_assembling-machine-3_chemical-science-pack,44
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,44
stack-inserter_from_assembling-machine-3_engine-unit,44
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,2
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack,44
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,2
stack-inserter_from_belt,104
stack-inserter_from_belt_circuit_enabled,8
stack-inserter_from_building,176
stack-inserter_from_building_circuit_enabled,26
stack-inserter_from_cryogenic-plant_plastic-bar,8
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,8
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_from_cryogenic-plant_sulfur,4
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,2
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-underground-belt,2
stack-inserter_from_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,8
stack-inserter_from_electromagnetic-plant_electronic-circuit,4
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-underground-belt,4
stack-inserter_from_foundry_casting-copper-cable,14
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,8
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,6
stack-inserter_from_foundry_casting-iron,2
stack-inserter_from_foundry_casting-iron-gear-wheel,2
stack-inserter_from_foundry_casting-iron-gear-wheel_to_turbo-transport-belt,2
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,2
stack-inserter_from_foundry_casting-pipe,44
stack-inserter_from_foundry_casting-pipe_to_assembling-machine-3_engine-unit,44
stack-inserter_from_foundry_casting-steel,2
stack-inserter_from_foundry_casting-steel_to_turbo-transport-belt,2
stack-inserter_from_turbo-transport-belt,8
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack,4
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_engine-unit,4
stack-inserter_from_turbo-underground-belt,96
stack-inserter_from_turbo-underground-belt_circuit_enabled,8
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack,40
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_engine-unit,40
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar,8
stack-inserter_from_turbo-underground-belt_to_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_turbo-underground-belt_to_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_to_assembling-machine-3_chemical-science-pack,88
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,2
stack-inserter_to_assembling-machine-3_engine-unit,88
stack-inserter_to_belt,72
stack-inserter_to_belt_circuit_enabled,8
stack-inserter_to_building,216
stack-inserter_to_building_circuit_enabled,26
stack-inserter_to_cryogenic-plant_plastic-bar,8
stack-inserter_to_electromagnetic-plant_advanced-circuit,24
stack-inserter_to_electromagnetic-plant_advanced-circuit_circuit_enabled,24
stack-inserter_to_electromagnetic-plant_electronic-circuit,8
stack-inserter_to_turbo-transport-belt,62
stack-inserter_to_turbo-transport-belt_circuit_enabled,8
stack-inserter_to_turbo-underground-belt,10
turbo-loader,2
turbo-transport-belt,572
turbo-underground-belt,256
