entity,count
assembling-machine-3,40
assembling-machine-3_chemical-science-pack,22
assembling-machine-3_electronic-circuit,6
assembling-machine-3_engine-unit,12
beacon,332
constant-combinator,3
cryogenic-plant,4
cryogenic-plant_plastic-bar,3
cryogenic-plant_sulfur,1
decider-combinator,6
electromagnetic-plant,6
electromagnetic-plant_advanced-circuit,6
foundry,29
foundry_casting-copper-cable,9
foundry_casting-iron,6
foundry_casting-iron-gear-wheel,7
foundry_casting-pipe,1
foundry_casting-steel,6
infinity-chest,12
infinity-pipe,4
medium-electric-pole,39
oil-refinery,3
oil-refinery_basic-oil-processing,3
pipe,118
pipe-to-ground,239
stack-inserter,209
stack-inserter_circuit_enabled,192
stack-inserter_direct_insertion,48
stack-inserter_direct_insertion_circuit_enabled,48
stack-inserter_from_assembling-machine-3_chemical-science-pack,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,22
stack-inserter_from_assembling-machine-3_electronic-circuit,6
stack-inserter_from_assembling-machine-3_electronic-circuit_circuit_enabled,6
stack-inserter_from_assembling-machine-3_electronic-circuit_to_turbo-underground-belt,6
stack-inserter_from_assembling-machine-3_electronic-circuit_to_turbo-underground-belt_circuit_enabled,6
stack-inserter_from_assembling-machine-3_engine-unit,12
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,12
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-underground-belt,12
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-underground-belt_circuit_enabled,12
stack-inserter_from_belt,104
stack-inserter_from_belt_circuit_enabled,96
stack-inserter_from_building,99
stack-inserter_from_building_circuit_enabled,96
stack-inserter_from_cryogenic-plant_plastic-bar,6
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,6
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,6
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,6
stack-inserter_from_cryogenic-plant_sulfur,1
stack-inserter_from_cryogenic-plant_sulfur_circuit_enabled,1
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,1
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt_circuit_enabled,1
stack-inserter_from_electromagnetic-plant_advanced-circuit,6
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,6
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-underground-belt,6
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-underground-belt_circuit_enabled,6
stack-inserter_from_foundry_casting-copper-cable,12
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,12
stack-inserter_from_foundry_casting-copper-cable_to_assembling-machine-3_electronic-circuit,6
stack-inserter_from_foundry_casting-copper-cable_to_assembling-machine-3_electronic-circuit_circuit_enabled,6
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit,6
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit_circuit_enabled,6
stack-inserter_from_foundry_casting-iron,6
stack-inserter_from_foundry_casting-iron-gear-wheel,12
stack-inserter_from_foundry_casting-iron-gear-wheel_circuit_enabled,12
stack-inserter_from_foundry_casting-iron-gear-wheel_to_assembling-machine-3_engine-unit,12
