entity,count
assembling-machine-3,76
assembling-machine-3_chemical-science-pack,48
assembling-machine-3_engine-unit,28
beacon,299
cargo-wagon,6
chemical-plant,2
chemical-plant_plastic-bar,2
constant-combinator,6
cryogenic-plant,2
cryogenic-plant_sulfur,2
decider-combinator,22
display-panel,8
electromagnetic-plant,10
electromagnetic-plant_advanced-circuit,8
electromagnetic-plant_electronic-circuit,2
express-underground-belt,60
foundry,10
foundry_casting-copper-cable,2
foundry_casting-iron,2
foundry_casting-iron-gear-wheel,2
foundry_casting-pipe,2
foundry_casting-steel,2
medium-electric-pole,34
oil-refinery,2
oil-refinery_basic-oil-processing,2
pipe,276
pipe-to-ground,46
small-lamp,6
stack-inserter,282
stack-inserter_chest_to_chest,16
stack-inserter_chest_to_chest_circuit_enabled,16
stack-inserter_circuit_enabled,282
stack-inserter_direct_insertion,50
stack-inserter_direct_insertion_circuit_enabled,50
stack-inserter_from_assembling-machine-3_chemical-science-pack,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,48
stack-inserter_from_assembling-machine-3_engine-unit,48
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,48
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack,48
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,48
stack-inserter_from_belt,106
stack-inserter_from_belt_circuit_enabled,106
stack-inserter_from_building,140
stack-inserter_from_building_circuit_enabled,140
stack-inserter_from_cargo-wagon,36
stack-inserter_from_cargo-wagon_circuit_enabled,36
stack-inserter_from_cargo-wagon_to_cargo-wagon,16
stack-inserter_from_cargo-wagon_to_cargo-wagon_circuit_enabled,16
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_advanced-circuit,16
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_advanced-circuit_circuit_enabled,16
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_electronic-circuit,4
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_electronic-circuit_circuit_enabled,4
stack-inserter_from_chemical-plant_plastic-bar,4
stack-inserter_from_chemical-plant_plastic-bar_circuit_enabled,4
stack-inserter_from_chemical-plant_plastic-bar_to_cargo-wagon,4
stack-inserter_from_chemical-plant_plastic-bar_to_cargo-wagon_circuit_enabled,4
stack-inserter_from_chest,36
stack-inserter_from_chest_circuit_enabled,36
stack-inserter_from_cryogenic-plant_sulfur,4
