entity,count
assembling-machine-3,48
assembling-machine-3_chemical-science-pack,24
assembling-machine-3_engine-unit,24
beacon,294
cryogenic-plant,25
cryogenic-plant_plastic-bar,24
cryogenic-plant_sulfur,1
ee-infinity-loader,4
ee-infinity-pipe,4
electromagnetic-plant,48
electromagnetic-plant_advanced-circuit,24
electromagnetic-plant_electronic-circuit,24
foundry,78
foundry_casting-copper-cable,24
foundry_casting-iron,6
foundry_casting-iron-gear-wheel,12
foundry_casting-pipe,12
foundry_casting-steel,24
oil-refinery,2
oil-refinery_basic-oil-processing,2
pipe,208
pipe-to-ground,447
stack-inserter,314
stack-inserter_direct_insertion,240
stack-inserter_from_assembling-machine-3_chemical-science-pack,24
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt,24
stack-inserter_from_assembling-machine-3_engine-unit,24
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack,24
stack-inserter_from_belt,48
stack-inserter_from_building,266
stack-inserter_from_cryogenic-plant_plastic-bar,24
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,24
stack-inserter_from_cryogenic-plant_sulfur,2
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-underground-belt,2
stack-inserter_from_electromagnetic-plant_advanced-circuit,24
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_assembling-machine-3_chemical-science-pack,24
stack-inserter_from_electromagnetic-plant_electronic-circuit,24
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit,24
stack-inserter_from_foundry_casting-copper-cable,48
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit,24
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,24
stack-inserter_from_foundry_casting-iron,24
stack-inserter_from_foundry_casting-iron-gear-wheel,24
stack-inserter_from_foundry_casting-iron-gear-wheel_to_assembling-machine-3_engine-unit,24
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,24
stack-inserter_from_foundry_casting-pipe,24
stack-inserter_from_foundry_casting-pipe_to_assembling-machine-3_engine-unit,24
stack-inserter_from_foundry_casting-steel,24
stack-inserter_from_foundry_casting-steel_to_assembling-machine-3_engine-unit,24
stack-inserter_from_turbo-underground-belt,48
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack,24
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar,24
stack-inserter_to_assembling-machine-3_chemical-science-pack,72
stack-inserter_to_assembling-machine-3_engine-unit,72
stack-inserter_to_belt,26
stack-inserter_to_building,288
stack-inserter_to_cryogenic-plant_plastic-bar,24
stack-inserter_to_electromagnetic-plant_advanced-circuit,72
stack-inserter_to_electromagnetic-plant_electronic-circuit,48
stack-inserter_to_turbo-underground-belt,26
substation,62
turbo-transport-belt,243
turbo-underground-belt,292
