entity,count
assembling_machine_3,76
average_buildings_per_beacon,3.0950413223140494
beacon,242
beacons_per_assembling_machine_3,7.684210526315789
beacons_per_assembling_machine_3_chemical_science_pack_recipe,8
beacons_per_assembling_machine_3_engine_unit_recipe,7
beacons_per_cryogenic_plant,5.5
beacons_per_cryogenic_plant_plastic_bar_recipe,2
beacons_per_cryogenic_plant_sulfur_recipe,9
beacons_per_electromagnetic_plant,4.9
beacons_per_electromagnetic_plant_advanced_circuit_recipe,7
beacons_per_electromagnetic_plant_copper_cable_recipe,1.8
beacons_per_electromagnetic_plant_electronic_circuit_recipe,3.8
beacons_per_foundry,4.625
beacons_per_foundry_casting_copper_recipe,3
beacons_per_foundry_casting_iron_gear_wheel_recipe,4
beacons_per_foundry_casting_iron_recipe,5
beacons_per_foundry_casting_pipe_recipe,3
beacons_per_foundry_casting_steel_recipe,4
beacons_per_foundry_molten_copper_recipe,6
beacons_per_foundry_molten_iron_recipe,6
beacons_per_oil_refinery,4.75
beacons_per_oil_refinery_basic_oil_processing_recipe,4.75
constant_combinator,8
cryogenic_plant,2
decider_combinator,15
ee_infinity_loader,5
ee_infinity_pipe,2
electromagnetic_plant,20
electromagnetic_plant_circuit_enabled,5
foundry,8
inserter_all,398
inserter_all_direct_insertion,25
inserter_all_direct_insertion_circuit_enabled,20
inserter_all_direction_insertion_percent,6.281407035175879
inserter_all_from_assembling_machine_3_chemical_science_pack,52
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_enabled,51
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,52
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,51
inserter_all_from_assembling_machine_3_engine_unit,24
inserter_all_from_assembling_machine_3_engine_unit_circuit_enabled,22
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_transport_belt,24
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_transport_belt_circuit_enabled,22
inserter_all_from_belt,255
inserter_all_from_belt_circuit_enabled,246
inserter_all_from_building,143
inserter_all_from_building_circuit_enabled,103
inserter_all_from_cryogenic_plant_plastic_bar,8
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,8
inserter_all_from_cryogenic_plant_sulfur,4
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt,4
inserter_all_from_electromagnetic_plant_advanced_circuit,10
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,10
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,10
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,10
inserter_all_from_electromagnetic_plant_copper_cable,15
inserter_all_from_electromagnetic_plant_copper_cable_circuit_enabled,10
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit,10
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,10
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_electronic_circuit,5
inserter_all_from_electromagnetic_plant_electronic_circuit,10
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,10
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,10
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,10
inserter_all_from_foundry_casting_copper,4
inserter_all_from_foundry_casting_copper_to_turbo_transport_belt,4
inserter_all_from_foundry_casting_iron,4
inserter_all_from_foundry_casting_iron_gear_wheel,4
inserter_all_from_foundry_casting_iron_gear_wheel_to_turbo_transport_belt,4
