entity,count
assembling_machine_3,44
average_buildings_per_beacon,2.287425149700599
beacon,334
beacons_per_assembling_machine_3,8
beacons_per_assembling_machine_3_chemical_science_pack_recipe,11
beacons_per_assembling_machine_3_engine_unit_recipe,5
beacons_per_cryogenic_plant,9.8
beacons_per_cryogenic_plant_plastic_bar_recipe,8.25
beacons_per_cryogenic_plant_sulfur_recipe,16
beacons_per_electromagnetic_plant,8.5
beacons_per_electromagnetic_plant_advanced_circuit_recipe,11
beacons_per_electromagnetic_plant_electronic_circuit_recipe,3.5
beacons_per_foundry,7.7894736842105265
beacons_per_foundry_casting_copper_cable_recipe,7.5
beacons_per_foundry_casting_iron_gear_wheel_recipe,9.833333333333334
beacons_per_foundry_casting_iron_recipe,9
beacons_per_foundry_casting_pipe_recipe,6.090909090909091
beacons_per_foundry_casting_steel_recipe,7.090909090909091
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_mining_drill,4
cargo_wagon,4
cryogenic_plant,5
decider_combinator,11
ee_infinity_loader,1
electromagnetic_plant,6
foundry,38
infinity_pipe,4
inserter_all,157
inserter_all_direct_insertion,96
inserter_all_direct_insertion_circuit_enabled,94
inserter_all_direction_insertion_percent,61.146496815286625
inserter_all_from_assembling_machine_3_chemical_science_pack,22
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_set_filters,22
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,22
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_set_filters,22
inserter_all_from_assembling_machine_3_engine_unit,22
inserter_all_from_assembling_machine_3_engine_unit_circuit_enabled,22
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack,22
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack_circuit_enabled,22
inserter_all_from_belt,22
inserter_all_from_belt_circuit_enabled,22
inserter_all_from_building,131
inserter_all_from_building_circuit_enabled,102
inserter_all_from_building_circuit_set_filters,22
inserter_all_from_cargo_wagon,4
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,4
inserter_all_from_chest,4
inserter_all_from_cryogenic_plant_plastic_bar,4
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,4
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,4
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,4
inserter_all_from_cryogenic_plant_sulfur,1
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt,1
inserter_all_from_electromagnetic_plant_advanced_circuit,4
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,4
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,4
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,4
inserter_all_from_electromagnetic_plant_electronic_circuit,4
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,4
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,4
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,4
inserter_all_from_foundry_casting_copper_cable,6
inserter_all_from_foundry_casting_copper_cable_to_cargo_wagon,4
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,2
inserter_all_from_foundry_casting_iron,2
inserter_all_from_foundry_casting_iron_circuit_enabled,2
inserter_all_from_foundry_casting_iron_gear_wheel,22
inserter_all_from_foundry_casting_iron_gear_wheel_circuit_enabled,22
