entity,count
assembling-machine-3,36
assembling-machine-3_chemical-science-pack,24
assembling-machine-3_engine-unit,12
beacon,180
cargo-wagon,2
constant-combinator,65
cryogenic-plant,3
cryogenic-plant_circuit_enabled,1
cryogenic-plant_plastic-bar,2
cryogenic-plant_sulfur,1
decider-combinator,24
display-panel,1
ee-infinity-loader,2
ee-infinity-pipe,4
electromagnetic-plant,8
electromagnetic-plant_advanced-circuit,6
electromagnetic-plant_electronic-circuit,2
foundry,16
foundry_casting-copper-cable,2
foundry_casting-iron,2
foundry_set_recipe,12
medium-electric-pole,2
oil-refinery,1
oil-refinery_basic-oil-processing,1
oil-refinery_circuit_enabled,1
pipe,177
pipe-to-ground,108
stack-inserter,154
stack-inserter_circuit_enabled,128
stack-inserter_circuit_set_filters,24
stack-inserter_direct_insertion,4
stack-inserter_direct_insertion_circuit_enabled,4
stack-inserter_from_assembling-machine-3_chemical-science-pack,24
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,24
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,22
stack-inserter_from_assembling-machine-3_engine-unit,24
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,24
stack-inserter_from_assembling-machine-3_engine-unit_to_steel-chest,24
stack-inserter_from_assembling-machine-3_engine-unit_to_steel-chest_circuit_enabled,24
stack-inserter_from_belt,26
stack-inserter_from_belt_circuit_enabled,26
stack-inserter_from_building,80
stack-inserter_from_building_circuit_enabled,66
stack-inserter_from_building_circuit_set_filters,12
stack-inserter_from_cargo-wagon,12
stack-inserter_from_cargo-wagon_circuit_enabled,12
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_advanced-circuit,12
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_advanced-circuit_circuit_enabled,12
stack-inserter_from_chest,48
stack-inserter_from_chest_circuit_enabled,36
stack-inserter_from_chest_circuit_set_filters,12
stack-inserter_from_cryogenic-plant_plastic-bar,2
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,2
stack-inserter_from_cryogenic-plant_plastic-bar_to_cargo-wagon,2
stack-inserter_from_cryogenic-plant_plastic-bar_to_cargo-wagon_circuit_enabled,2
stack-inserter_from_cryogenic-plant_sulfur,2
stack-inserter_from_cryogenic-plant_sulfur_circuit_enabled,2
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,2
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt_circuit_enabled,2
stack-inserter_from_electromagnetic-plant_advanced-circuit,6
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,6
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,6
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,6
stack-inserter_from_electromagnetic-plant_electronic-circuit,2
stack-inserter_from_electromagnetic-plant_electronic-circuit_circuit_enabled,2
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_cargo-wagon,2
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_cargo-wagon_circuit_enabled,2
stack-inserter_from_foundry_casting-copper-cable,6
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,6
stack-inserter_from_foundry_casting-copper-cable_to_cargo-wagon,4
stack-inserter_from_foundry_casting-copper-cable_to_cargo-wagon_circuit_enabled,4
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,2
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit_circuit_enabled,2
stack-inserter_from_foundry_casting-iron,2
stack-inserter_from_foundry_casting-iron_circuit_enabled,2
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,2
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit_circuit_enabled,2
stack-inserter_from_foundry_set_recipe,12
stack-inserter_from_foundry_set_recipe_circuit_set_filters,12
stack-inserter_from_foundry_set_recipe_to_steel-chest,12
stack-inserter_from_foundry_set_recipe_to_steel-chest_circuit_set_filters,12
stack-inserter_from_steel-chest,36
stack-inserter_from_steel-chest_circuit_enabled,24
stack-inserter_from_steel-chest_circuit_set_filters,12
stack-inserter_from_steel-chest_to_assembling-machine-3_chemical-science-pack,24
stack-inserter_from_steel-chest_to_assembling-machine-3_chemical-science-pack_circuit_enabled,24
stack-inserter_from_steel-chest_to_assembling-machine-3_engine-unit,12
stack-inserter_from_steel-chest_to_assembling-machine-3_engine-unit_circuit_set_filters,12
stack-inserter_from_turbo-underground-belt,26
stack-inserter_from_turbo-underground-belt_circuit_enabled,26
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack,24
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,24
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar,2
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar_circuit_enabled,2
stack-inserter_to_assembling-machine-3_chemical-science-pack,48
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,48
stack-inserter_to_assembling-machine-3_engine-unit,12
stack-inserter_to_assembling-machine-3_engine-unit_circuit_set_filters,12
stack-inserter_to_belt,32
stack-inserter_to_belt_circuit_enabled,30
stack-inserter_to_building,78
stack-inserter_to_building_circuit_enabled,66
stack-inserter_to_building_circuit_set_filters,12
stack-inserter_to_cargo-wagon,8
stack-inserter_to_cargo-wagon_circuit_enabled,8
stack-inserter_to_chest,44
stack-inserter_to_chest_circuit_enabled,32
stack-inserter_to_chest_circuit_set_filters,12
stack-inserter_to_cryogenic-plant_plastic-bar,2
stack-inserter_to_cryogenic-plant_plastic-bar_circuit_enabled,2
stack-inserter_to_electromagnetic-plant_advanced-circuit,12
stack-inserter_to_electromagnetic-plant_advanced-circuit_circuit_enabled,12
stack-inserter_to_electromagnetic-plant_electronic-circuit,4
stack-inserter_to_electromagnetic-plant_electronic-circuit_circuit_enabled,4
stack-inserter_to_steel-chest,36
stack-inserter_to_steel-chest_circuit_enabled,24
stack-inserter_to_steel-chest_circuit_set_filters,12
stack-inserter_to_turbo-transport-belt,32
stack-inserter_to_turbo-transport-belt_circuit_enabled,30
steel-chest,36
storage-tank,1
straight-rail,4
substation,10
turbo-splitter,1
turbo-transport-belt,148
turbo-underground-belt,124
