entity,count
assembling-machine-3,32
assembling-machine-3_chemical-science-pack,21
assembling-machine-3_engine-unit,11
beacon,222
cargo-wagon,8
constant-combinator,10
cryogenic-plant,3
cryogenic-plant_plastic-bar,2
cryogenic-plant_sulfur,1
decider-combinator,9
electromagnetic-plant,8
electromagnetic-plant_advanced-circuit,4
electromagnetic-plant_electronic-circuit,4
express-splitter,1
express-transport-belt,19
express-underground-belt,11
foundry,11
foundry_casting-copper-cable,4
foundry_casting-iron,4
foundry_casting-iron-gear-wheel,1
foundry_casting-pipe,1
foundry_casting-steel,1
medium-electric-pole,15
oil-refinery,2
oil-refinery_basic-oil-processing,2
pipe,39
pipe-to-ground,66
small-lamp,64
stack-inserter,147
stack-inserter_circuit_enabled,116
stack-inserter_direct_insertion,4
stack-inserter_from_assembling-machine-3_chemical-science-pack,21
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,21
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt,21
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt_circuit_enabled,21
stack-inserter_from_assembling-machine-3_engine-unit,11
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,11
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-underground-belt,11
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-underground-belt_circuit_enabled,11
stack-inserter_from_belt,66
stack-inserter_from_belt_circuit_enabled,64
stack-inserter_from_building,61
stack-inserter_from_building_circuit_enabled,36
stack-inserter_from_cargo-wagon,20
stack-inserter_from_cargo-wagon_circuit_enabled,16
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_advanced-circuit,16
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_advanced-circuit_circuit_enabled,16
stack-inserter_from_cargo-wagon_to_electromagnetic-plant_electronic-circuit,4
stack-inserter_from_chest,20
stack-inserter_from_chest_circuit_enabled,16
stack-inserter_from_cryogenic-plant_plastic-bar,4
stack-inserter_from_cryogenic-plant_plastic-bar_to_cargo-wagon,4
stack-inserter_from_cryogenic-plant_sulfur,2
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,2
stack-inserter_from_electromagnetic-plant_advanced-circuit,4
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,4
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,4
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,4
stack-inserter_from_electromagnetic-plant_electronic-circuit,4
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_cargo-wagon,4
stack-inserter_from_express-underground-belt,11
stack-inserter_from_express-underground-belt_circuit_enabled,11
stack-inserter_from_express-underground-belt_to_assembling-machine-3_engine-unit,11
stack-inserter_from_express-underground-belt_to_assembling-machine-3_engine-unit_circuit_enabled,11
stack-inserter_from_foundry_casting-copper-cable,4
stack-inserter_from_foundry_casting-copper-cable_to_cargo-wagon,4
stack-inserter_from_foundry_casting-iron,4
stack-inserter_from_foundry_casting-iron-gear-wheel,2
stack-inserter_from_foundry_casting-iron-gear-wheel_to_turbo-transport-belt,2
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,4
stack-inserter_from_foundry_casting-pipe,3
stack-inserter_from_foundry_casting-pipe_to_express-splitter,1
stack-inserter_from_foundry_casting-pipe_to_express-transport-belt,2
stack-inserter_from_foundry_casting-steel,2
stack-inserter_from_foundry_casting-steel_to_turbo-transport-belt,2
stack-inserter_from_turbo-transport-belt,55
stack-inserter_from_turbo-transport-belt_circuit_enabled,53
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack,42
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,42
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_engine-unit,11
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_engine-unit_circuit_enabled,11
stack-inserter_from_turbo-transport-belt_to_cryogenic-plant_plastic-bar,2
stack-inserter_to_assembling-machine-3_chemical-science-pack,42
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,42
stack-inserter_to_assembling-machine-3_engine-unit,22
stack-inserter_to_assembling-machine-3_engine-unit_circuit_enabled,22
stack-inserter_to_belt,45
stack-inserter_to_belt_circuit_enabled,36
stack-inserter_to_building,90
stack-inserter_to_building_circuit_enabled,80
stack-inserter_to_cargo-wagon,12
stack-inserter_to_chest,12
stack-inserter_to_cryogenic-plant_plastic-bar,2
stack-inserter_to_electromagnetic-plant_advanced-circuit,16
stack-inserter_to_electromagnetic-plant_advanced-circuit_circuit_enabled,16
stack-inserter_to_electromagnetic-plant_electronic-circuit,8
stack-inserter_to_express-splitter,1
stack-inserter_to_express-transport-belt,2
stack-inserter_to_turbo-transport-belt,10
stack-inserter_to_turbo-transport-belt_circuit_enabled,4
stack-inserter_to_turbo-underground-belt,32
stack-inserter_to_turbo-underground-belt_circuit_enabled,32
straight-rail,16
substation,7
turbo-splitter,12
turbo-transport-belt,273
turbo-underground-belt,213
