entity,count
assembling_machine_3,288
average_buildings_per_beacon,2.3412596401028276
beacon,1556
beacons_per_assembling_machine_3,9
beacons_per_assembling_machine_3_chemical_science_pack_recipe,11
beacons_per_assembling_machine_3_engine_unit_recipe,7
beacons_per_cryogenic_plant,15
beacons_per_cryogenic_plant_plastic_bar_recipe,14
beacons_per_cryogenic_plant_sulfur_recipe,16
beacons_per_electromagnetic_plant,6
beacons_per_electromagnetic_plant_advanced_circuit_recipe,9
beacons_per_electromagnetic_plant_copper_cable_recipe,2
beacons_per_electromagnetic_plant_electronic_circuit_recipe,4
beacons_per_foundry,12.523809523809524
beacons_per_foundry_casting_copper_recipe,16
beacons_per_foundry_casting_iron_gear_wheel_recipe,15
beacons_per_foundry_casting_iron_recipe,16
beacons_per_foundry_casting_pipe_recipe,12
beacons_per_foundry_casting_steel_recipe,15
beacons_per_oil_refinery,15.857142857142858
beacons_per_oil_refinery_basic_oil_processing_recipe,15.857142857142858
constant_combinator,5
cryogenic_plant,2
decider_combinator,114
electromagnetic_plant,64
foundry,42
inserter_all,1226
inserter_all_direct_insertion,384
inserter_all_direct_insertion_circuit_enabled,384
inserter_all_direction_insertion_percent,31.321370309951057
inserter_all_from_assembling_machine_3_chemical_science_pack,144
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_enabled,144
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,144
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,144
inserter_all_from_assembling_machine_3_engine_unit,144
inserter_all_from_assembling_machine_3_engine_unit_circuit_enabled,144
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack,144
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack_circuit_enabled,144
inserter_all_from_belt,641
inserter_all_from_belt_circuit_enabled,641
inserter_all_from_building,585
inserter_all_from_building_circuit_enabled,573
inserter_all_from_cryogenic_plant_plastic_bar,7
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,1
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,7
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt_circuit_enabled,1
inserter_all_from_cryogenic_plant_sulfur,4
inserter_all_from_cryogenic_plant_sulfur_circuit_enabled,4
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt,4
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt_circuit_enabled,4
inserter_all_from_electromagnetic_plant_advanced_circuit,32
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,32
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,32
inserter_all_from_electromagnetic_plant_copper_cable,64
inserter_all_from_electromagnetic_plant_copper_cable_circuit_enabled,64
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_electronic_circuit,32
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_electronic_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_electronic_circuit,32
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_foundry_casting_copper,4
inserter_all_from_foundry_casting_copper_circuit_enabled,4
