entity,count
assembling-machine-3,44
assembling-machine-3_chemical-science-pack,22
assembling-machine-3_engine-unit,22
beacon,249
cryogenic-plant,3
cryogenic-plant_plastic-bar,2
cryogenic-plant_sulfur,1
decider-combinator,12
ee-infinity-loader,2
electromagnetic-plant,5
electromagnetic-plant_advanced-circuit,4
electromagnetic-plant_electronic-circuit,1
foundry,24
foundry_casting-copper-cable,5
foundry_casting-iron,1
foundry_casting-iron-gear-wheel,1
foundry_casting-pipe,6
foundry_casting-steel,11
infinity-pipe,4
medium-electric-pole,44
oil-refinery,1
oil-refinery_basic-oil-processing,1
oil-refinery_circuit_enabled,1
pipe,187
pipe-to-ground,96
stack-inserter,163
stack-inserter_circuit_enabled,136
stack-inserter_circuit_set_filters,22
stack-inserter_direct_insertion,82
stack-inserter_direct_insertion_circuit_enabled,82
stack-inserter_from_assembling-machine-3_chemical-science-pack,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_set_filters,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,20
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_set_filters,20
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt,2
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt_circuit_set_filters,2
stack-inserter_from_assembling-machine-3_engine-unit,22
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,22
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack,22
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,22
stack-inserter_from_belt,50
stack-inserter_from_belt_circuit_enabled,50
stack-inserter_from_building,113
stack-inserter_from_building_circuit_enabled,86
stack-inserter_from_building_circuit_set_filters,22
stack-inserter_from_cryogenic-plant_plastic-bar,4
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,4
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,4
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,4
stack-inserter_from_cryogenic-plant_sulfur,1
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-underground-belt,1
stack-inserter_from_electromagnetic-plant_advanced-circuit,4
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,4
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,2
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,2
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-underground-belt,2
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-underground-belt_circuit_enabled,2
stack-inserter_from_electromagnetic-plant_electronic-circuit,2
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-transport-belt,2
stack-inserter_from_foundry_casting-copper-cable,11
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,11
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,3
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit_circuit_enabled,3
stack-inserter_from_foundry_casting-iron,1
stack-inserter_from_foundry_casting-iron-gear-wheel,2
stack-inserter_from_foundry_casting-iron-gear-wheel_to_turbo-underground-belt,2
stack-inserter_from_foundry_casting-iron_circuit_enabled,1
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,1
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit_circuit_enabled,1
stack-inserter_from_foundry_casting-pipe,22
stack-inserter_from_foundry_casting-pipe_circuit_enabled,22
stack-inserter_from_foundry_casting-pipe_to_assembling-machine-3_engine-unit,22
stack-inserter_from_foundry_casting-pipe_to_assembling-machine-3_engine-unit_circuit_enabled,22
stack-inserter_from_foundry_casting-steel,22
stack-inserter_from_foundry_casting-steel_circuit_enabled,22
stack-inserter_from_foundry_casting-steel_to_assembling-machine-3_engine-unit,22
stack-inserter_from_foundry_casting-steel_to_assembling-machine-3_engine-unit_circuit_enabled,22
stack-inserter_from_turbo-transport-belt,48
stack-inserter_from_turbo-transport-belt_circuit_enabled,48
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack,22
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,22
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_engine-unit,22
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_engine-unit_circuit_enabled,22
stack-inserter_from_turbo-transport-belt_to_electromagnetic-plant_advanced-circuit,4
stack-inserter_from_turbo-transport-belt_to_electromagnetic-plant_advanced-circuit_circuit_enabled,4
stack-inserter_from_turbo-underground-belt,2
stack-inserter_from_turbo-underground-belt_circuit_enabled,2
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar,2
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar_circuit_enabled,2
stack-inserter_to_assembling-machine-3_chemical-science-pack,44
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,44
stack-inserter_to_assembling-machine-3_engine-unit,66
stack-inserter_to_assembling-machine-3_engine-unit_circuit_enabled,66
stack-inserter_to_belt,31
stack-inserter_to_belt_circuit_enabled,4
stack-inserter_to_belt_circuit_set_filters,22
stack-inserter_to_building,132
stack-inserter_to_building_circuit_enabled,132
stack-inserter_to_cryogenic-plant_plastic-bar,2
stack-inserter_to_cryogenic-plant_plastic-bar_circuit_enabled,2
stack-inserter_to_electromagnetic-plant_advanced-circuit,16
stack-inserter_to_electromagnetic-plant_advanced-circuit_circuit_enabled,16
stack-inserter_to_electromagnetic-plant_electronic-circuit,4
stack-inserter_to_electromagnetic-plant_electronic-circuit_circuit_enabled,4
stack-inserter_to_turbo-transport-belt,24
stack-inserter_to_turbo-transport-belt_circuit_enabled,2
stack-inserter_to_turbo-transport-belt_circuit_set_filters,20
stack-inserter_to_turbo-underground-belt,7
stack-inserter_to_turbo-underground-belt_circuit_enabled,2
stack-inserter_to_turbo-underground-belt_circuit_set_filters,2
storage-tank,1
turbo-splitter,2
turbo-transport-belt,490
turbo-underground-belt,182
