entity,count
arithmetic-combinator,1
assembling-machine-3,32
assembling-machine-3_chemical-science-pack,22
assembling-machine-3_circuit_enabled,1
assembling-machine-3_engine-unit,10
beacon,315
constant-combinator,23
cryogenic-plant,3
cryogenic-plant_plastic-bar,2
cryogenic-plant_sulfur,1
decider-combinator,23
display-panel,3
ee-infinity-loader,1
ee-infinity-pipe,4
electromagnetic-plant,6
electromagnetic-plant_advanced-circuit,4
electromagnetic-plant_circuit_enabled,3
electromagnetic-plant_electronic-circuit,2
express-underground-belt,2
foundry,10
foundry_casting-copper-cable,4
foundry_casting-iron,1
foundry_set_recipe,5
infinity-chest,1
medium-electric-pole,34
oil-refinery,2
oil-refinery_basic-oil-processing,2
oil-refinery_circuit_enabled,2
pipe,268
pipe-to-ground,118
small-lamp,2
small-lamp_circuit_enabled,2
stack-inserter,129
stack-inserter_circuit_enabled,118
stack-inserter_circuit_set_filters,42
stack-inserter_direct_insertion,20
stack-inserter_direct_insertion_circuit_enabled,20
stack-inserter_from_assembling-machine-3_chemical-science-pack,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,22
stack-inserter_from_assembling-machine-3_engine-unit,10
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,10
stack-inserter_from_assembling-machine-3_engine-unit_circuit_set_filters,10
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt,10
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt_circuit_enabled,10
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt_circuit_set_filters,10
stack-inserter_from_belt,50
stack-inserter_from_belt_circuit_enabled,50
stack-inserter_from_belt_circuit_set_filters,22
stack-inserter_from_building,69
stack-inserter_from_building_circuit_enabled,58
stack-inserter_from_building_circuit_set_filters,20
stack-inserter_from_chest,10
stack-inserter_from_chest_circuit_enabled,10
stack-inserter_from_cryogenic-plant_plastic-bar,4
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,4
