entity,count
arithmetic-combinator,1
assembling-machine-3,48
assembling-machine-3_chemical-science-pack,32
assembling-machine-3_copper-cable,2
assembling-machine-3_engine-unit,14
beacon,311
big-electric-pole,1
constant-combinator,2
cryogenic-plant,2
cryogenic-plant_plastic-bar,1
cryogenic-plant_sulfur,1
decider-combinator,3
electric-energy-interface,1
electromagnetic-plant,10
electromagnetic-plant_advanced-circuit,8
electromagnetic-plant_electronic-circuit,2
foundry,17
foundry_casting-copper,1
foundry_casting-iron,1
foundry_casting-iron-gear-wheel,7
foundry_casting-pipe,7
foundry_casting-steel,1
infinity-chest,2
infinity-pipe,4
oil-refinery,5
oil-refinery_basic-oil-processing,5
oil-refinery_circuit_enabled,5
pipe,49
pipe-to-ground,140
stack-inserter,255
stack-inserter_circuit_enabled,236
stack-inserter_direct_insertion,38
stack-inserter_direct_insertion_circuit_enabled,38
stack-inserter_from_assembling-machine-3_chemical-science-pack,32
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,32
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,32
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,32
stack-inserter_from_assembling-machine-3_copper-cable,12
stack-inserter_from_assembling-machine-3_copper-cable_circuit_enabled,12
stack-inserter_from_assembling-machine-3_copper-cable_to_turbo-transport-belt,12
stack-inserter_from_assembling-machine-3_copper-cable_to_turbo-transport-belt_circuit_enabled,12
stack-inserter_from_assembling-machine-3_engine-unit,14
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,14
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-underground-belt,14
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-underground-belt_circuit_enabled,14
stack-inserter_from_belt,132
stack-inserter_from_belt_circuit_enabled,126
stack-inserter_from_building,123
stack-inserter_from_building_circuit_enabled,110
stack-inserter_from_cryogenic-plant_plastic-bar,6
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,6
stack-inserter_from_cryogenic-plant_plastic-bar_to_turbo-transport-belt,6
stack-inserter_from_cryogenic-plant_plastic-bar_to_turbo-transport-belt_circuit_enabled,6
stack-inserter_from_cryogenic-plant_sulfur,6
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,6
stack-inserter_from_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,8
stack-inserter_from_electromagnetic-plant_electronic-circuit,8
stack-inserter_from_electromagnetic-plant_electronic-circuit_circuit_enabled,8
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_from_foundry_casting-copper,2
stack-inserter_from_foundry_casting-copper_circuit_enabled,2
stack-inserter_from_foundry_casting-copper_to_assembling-machine-3_copper-cable,2
stack-inserter_from_foundry_casting-copper_to_assembling-machine-3_copper-cable_circuit_enabled,2
stack-inserter_from_foundry_casting-iron,2
stack-inserter_from_foundry_casting-iron-gear-wheel,14
stack-inserter_from_foundry_casting-iron-gear-wheel_circuit_enabled,14
stack-inserter_from_foundry_casting-iron-gear-wheel_to_assembling-machine-3_engine-unit,14
stack-inserter_from_foundry_casting-iron-gear-wheel_to_assembling-machine-3_engine-unit_circuit_enabled,14
stack-inserter_from_foundry_casting-iron_to_turbo-transport-belt,2
stack-inserter_from_foundry_casting-pipe,14
stack-inserter_from_foundry_casting-pipe_circuit_enabled,14
stack-inserter_from_foundry_casting-pipe_to_assembling-machine-3_engine-unit,14
stack-inserter_from_foundry_casting-pipe_to_assembling-machine-3_engine-unit_circuit_enabled,14
stack-inserter_from_foundry_casting-steel,5
stack-inserter_from_foundry_casting-steel_to_turbo-transport-belt,5
stack-inserter_from_turbo-transport-belt,2
stack-inserter_from_turbo-transport-belt_to_cryogenic-plant_plastic-bar,2
stack-inserter_from_turbo-underground-belt,130
stack-inserter_from_turbo-underground-belt_circuit_enabled,126
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack,96
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,96
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_engine-unit,14
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_engine-unit_circuit_enabled,14
stack-inserter_from_turbo-underground-belt_to_electromagnetic-plant_advanced-circuit,16
stack-inserter_from_turbo-underground-belt_to_electromagnetic-plant_advanced-circuit_circuit_enabled,16
stack-inserter_from_turbo-underground-belt_to_electromagnetic-plant_electronic-circuit,4
stack-inserter_to_assembling-machine-3_chemical-science-pack,96
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,96
stack-inserter_to_assembling-machine-3_copper-cable,2
stack-inserter_to_assembling-machine-3_copper-cable_circuit_enabled,2
stack-inserter_to_assembling-machine-3_engine-unit,42
stack-inserter_to_assembling-machine-3_engine-unit_circuit_enabled,42
stack-inserter_to_belt,85
stack-inserter_to_belt_circuit_enabled,72
stack-inserter_to_building,170
stack-inserter_to_building_circuit_enabled,164
stack-inserter_to_cryogenic-plant_plastic-bar,2
stack-inserter_to_electromagnetic-plant_advanced-circuit,24
stack-inserter_to_electromagnetic-plant_advanced-circuit_circuit_enabled,24
stack-inserter_to_electromagnetic-plant_electronic-circuit,4
stack-inserter_to_turbo-transport-belt,71
stack-inserter_to_turbo-transport-belt_circuit_enabled,58
stack-inserter_to_turbo-underground-belt,14
stack-inserter_to_turbo-underground-belt_circuit_enabled,14
storage-tank,1
substation,37
turbo-loader,2
turbo-splitter,24
turbo-transport-belt,533
turbo-underground-belt,382
