entity,count
arithmetic_combinator,2
assembling_machine_3,46
average_buildings_per_beacon,1.726865671641791
beacon,670
beacons_per_assembling_machine_3,8
beacons_per_assembling_machine_3_chemical_science_pack_recipe,10
beacons_per_assembling_machine_3_engine_unit_recipe,6
beacons_per_chemical_plant,12
beacons_per_chemical_plant_heavy_oil_cracking_recipe,12
beacons_per_chemical_plant_light_oil_cracking_recipe,12
beacons_per_cryogenic_plant,3.4565217391304346
beacons_per_cryogenic_plant_plastic_bar_recipe,4.826086956521739
beacons_per_cryogenic_plant_sulfur_recipe,2.0869565217391304
beacons_per_electromagnetic_plant,4.5
beacons_per_electromagnetic_plant_advanced_circuit_recipe,3
beacons_per_electromagnetic_plant_electronic_circuit_recipe,6
beacons_per_foundry,3.3304347826086955
beacons_per_foundry_casting_copper_cable_recipe,3.9130434782608696
beacons_per_foundry_casting_iron_gear_wheel_recipe,7
beacons_per_foundry_casting_iron_recipe,3
beacons_per_foundry_casting_pipe_recipe,1.7391304347826086
beacons_per_foundry_casting_steel_recipe,1
beacons_per_oil_refinery,16
beacons_per_oil_refinery_advanced_oil_processing_recipe,16
cargo_wagon,69
chemical_plant,2
chemical_plant_circuit_enabled,2
constant_combinator,5
cryogenic_plant,46
decider_combinator,21
ee_infinity_loader,2
ee_infinity_pipe,4
electric_energy_interface,1
electromagnetic_plant,46
foundry,115
inserter_all,370
inserter_all_direct_insertion,115
inserter_all_direct_insertion_circuit_enabled,69
inserter_all_direction_insertion_percent,31.08108108108108
inserter_all_from_assembling_machine_3_chemical_science_pack,23
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_enabled,23
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,23
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,23
inserter_all_from_assembling_machine_3_engine_unit,23
inserter_all_from_assembling_machine_3_engine_unit_to_cargo_wagon,23
inserter_all_from_belt,25
inserter_all_from_building,276
inserter_all_from_building_circuit_enabled,115
inserter_all_from_cargo_wagon,69
inserter_all_from_cargo_wagon_circuit_enabled,69
inserter_all_from_cargo_wagon_to_assembling_machine_3_chemical_science_pack,46
inserter_all_from_cargo_wagon_to_assembling_machine_3_chemical_science_pack_circuit_enabled,46
inserter_all_from_cargo_wagon_to_assembling_machine_3_engine_unit,23
inserter_all_from_cargo_wagon_to_assembling_machine_3_engine_unit_circuit_enabled,23
inserter_all_from_chest,69
inserter_all_from_chest_circuit_enabled,69
inserter_all_from_cryogenic_plant_plastic_bar,23
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,23
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,23
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,23
inserter_all_from_cryogenic_plant_sulfur,23
inserter_all_from_cryogenic_plant_sulfur_to_cargo_wagon,23
inserter_all_from_electromagnetic_plant_advanced_circuit,23
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,23
