entity,count
assembling_machine_3,56
average_buildings_per_beacon,2.6331658291457285
beacon,199
beacons_per_assembling_machine_3,5.392857142857143
beacons_per_assembling_machine_3_chemical_science_pack_recipe,6.857142857142857
beacons_per_assembling_machine_3_engine_unit_recipe,3.9285714285714284
beacons_per_cryogenic_plant,15.5
beacons_per_cryogenic_plant_plastic_bar_recipe,15
beacons_per_cryogenic_plant_sulfur_recipe,16
beacons_per_electromagnetic_plant,6.444444444444445
beacons_per_electromagnetic_plant_advanced_circuit_recipe,8
beacons_per_electromagnetic_plant_copper_cable_recipe,2
beacons_per_electromagnetic_plant_electronic_circuit_recipe,6
beacons_per_foundry,6.5
beacons_per_foundry_casting_copper_recipe,9
beacons_per_foundry_casting_iron_gear_wheel_recipe,5.5
beacons_per_foundry_casting_iron_recipe,6
beacons_per_foundry_casting_pipe_recipe,6
beacons_per_foundry_casting_steel_recipe,16
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
cargo_wagon,2
cryogenic_plant,2
decider_combinator,9
display_panel,1
ee_infinity_loader,2
electromagnetic_plant,9
foundry,18
infinity_pipe,4
inserter_all,215
inserter_all_direct_insertion,90
inserter_all_direct_insertion_circuit_enabled,84
inserter_all_direction_insertion_percent,41.86046511627907
inserter_all_from_assembling_machine_3_chemical_science_pack,28
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_enabled,28
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,28
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,28
inserter_all_from_assembling_machine_3_engine_unit,28
inserter_all_from_assembling_machine_3_engine_unit_circuit_enabled,28
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack,28
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack_circuit_enabled,28
inserter_all_from_belt,61
inserter_all_from_belt_circuit_enabled,56
inserter_all_from_building,146
inserter_all_from_building_circuit_enabled,130
inserter_all_from_cargo_wagon,8
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,8
inserter_all_from_chest,8
inserter_all_from_cryogenic_plant_plastic_bar,4
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,4
inserter_all_from_cryogenic_plant_sulfur,4
inserter_all_from_cryogenic_plant_sulfur_circuit_enabled,4
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt,4
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt_circuit_enabled,4
inserter_all_from_electromagnetic_plant_advanced_circuit,6
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,6
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,6
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,6
inserter_all_from_electromagnetic_plant_copper_cable,6
inserter_all_from_electromagnetic_plant_copper_cable_to_cargo_wagon,4
inserter_all_from_electromagnetic_plant_copper_cable_to_electromagnetic_plant_electronic_circuit,2
inserter_all_from_electromagnetic_plant_electronic_circuit,2
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,2
inserter_all_from_foundry_casting_copper,2
inserter_all_from_foundry_casting_copper_to_electromagnetic_plant_copper_cable,2
inserter_all_from_foundry_casting_iron,2
inserter_all_from_foundry_casting_iron_gear_wheel,28
inserter_all_from_foundry_casting_iron_gear_wheel_circuit_enabled,28
inserter_all_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit,28
inserter_all_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit_circuit_enabled,28
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,2
inserter_all_from_foundry_casting_pipe,28
inserter_all_from_foundry_casting_pipe_circuit_enabled,28
inserter_all_from_foundry_casting_pipe_to_assembling_machine_3_engine_unit,28
inserter_all_from_foundry_casting_pipe_to_assembling_machine_3_engine_unit_circuit_enabled,28
inserter_all_from_foundry_casting_steel,8
inserter_all_from_foundry_casting_steel_circuit_enabled,8
inserter_all_from_foundry_casting_steel_to_turbo_transport_belt,8
inserter_all_from_foundry_casting_steel_to_turbo_transport_belt_circuit_enabled,8
inserter_all_from_turbo_transport_belt,3
inserter_all_from_turbo_transport_belt_to_cargo_wagon,2
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,1
inserter_all_from_turbo_underground_belt,58
inserter_all_from_turbo_underground_belt_circuit_enabled,56
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_chemical_science_pack,28
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,28
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_engine_unit,28
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_engine_unit_circuit_enabled,28
inserter_all_from_turbo_underground_belt_to_cargo_wagon,2
inserter_all_to_assembling_machine_3_chemical_science_pack,56
inserter_all_to_assembling_machine_3_chemical_science_pack_circuit_enabled,56
inserter_all_to_assembling_machine_3_engine_unit,84
inserter_all_to_assembling_machine_3_engine_unit_circuit_enabled,84
inserter_all_to_belt,50
inserter_all_to_belt_circuit_enabled,46
inserter_all_to_building,155
inserter_all_to_building_circuit_enabled,140
inserter_all_to_cargo_wagon,10
inserter_all_to_chest,10
inserter_all_to_cryogenic_plant_plastic_bar,1
inserter_all_to_electromagnetic_plant_advanced_circuit,8
inserter_all_to_electromagnetic_plant_copper_cable,2
inserter_all_to_electromagnetic_plant_electronic_circuit,4
inserter_all_to_turbo_transport_belt,50
inserter_all_to_turbo_transport_belt_circuit_enabled,46
medium_electric_pole,34
oil_refinery,1
pipe,413
pipe_to_ground,127
recipe_advanced_circuit,6
recipe_basic_oil_processing,1
recipe_casting_copper,1
recipe_casting_iron,1
recipe_casting_iron_gear_wheel,8
recipe_casting_pipe,7
recipe_casting_steel,1
recipe_chemical_science_pack,28
recipe_copper_cable,2
recipe_electronic_circuit,1
recipe_engine_unit,28
recipe_plastic_bar,1
