entity,count
assembling-machine-3,24
assembling-machine-3_engine-unit,24
beacon,550
chemical-plant,24
chemical-plant_plastic-bar,24
constant-combinator,75
cryogenic-plant,1
cryogenic-plant_sulfur,1
decider-combinator,23
ee-infinity-loader,7
ee-infinity-pipe,4
foundry,41
foundry_casting-copper-cable,24
foundry_casting-iron,12
foundry_set_recipe,5
oil-refinery,2
oil-refinery_basic-oil-processing,2
oil-refinery_circuit_enabled,2
pipe,164
pipe-to-ground,386
selector-combinator,2
small-lamp,1
small-lamp_circuit_enabled,1
stack-inserter,332
stack-inserter_circuit_enabled,328
stack-inserter_direct_insertion,20
stack-inserter_direct_insertion_circuit_enabled,20
stack-inserter_from_assembling-machine-3_engine-unit,20
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,20
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt,20
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt_circuit_enabled,20
stack-inserter_from_belt,72
stack-inserter_from_belt_circuit_enabled,72
stack-inserter_from_building,140
stack-inserter_from_building_circuit_enabled,136
stack-inserter_from_chemical-plant_plastic-bar,24
stack-inserter_from_chemical-plant_plastic-bar_circuit_enabled,24
stack-inserter_from_cryogenic-plant_sulfur,4
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,4
stack-inserter_from_foundry_casting-copper-cable,48
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,48
stack-inserter_from_foundry_casting-iron,24
stack-inserter_from_foundry_casting-iron_circuit_enabled,24
stack-inserter_from_foundry_set_recipe,20
stack-inserter_from_foundry_set_recipe_circuit_enabled,20
stack-inserter_from_foundry_set_recipe_to_assembling-machine-3_engine-unit,20
stack-inserter_from_foundry_set_recipe_to_assembling-machine-3_engine-unit_circuit_enabled,20
stack-inserter_from_turbo-transport-belt,49
stack-inserter_from_turbo-transport-belt_circuit_enabled,49
stack-inserter_from_turbo-transport-belt_to_chemical-plant_plastic-bar,1
stack-inserter_from_turbo-transport-belt_to_chemical-plant_plastic-bar_circuit_enabled,1
stack-inserter_from_turbo-underground-belt,23
stack-inserter_from_turbo-underground-belt_circuit_enabled,23
stack-inserter_from_turbo-underground-belt_to_chemical-plant_plastic-bar,23
stack-inserter_from_turbo-underground-belt_to_chemical-plant_plastic-bar_circuit_enabled,23
stack-inserter_to_assembling-machine-3_engine-unit,20
stack-inserter_to_assembling-machine-3_engine-unit_circuit_enabled,20
stack-inserter_to_belt,72
stack-inserter_to_belt_circuit_enabled,68
stack-inserter_to_building,44
stack-inserter_to_building_circuit_enabled,44
stack-inserter_to_chemical-plant_plastic-bar,24
stack-inserter_to_chemical-plant_plastic-bar_circuit_enabled,24
stack-inserter_to_turbo-transport-belt,24
stack-inserter_to_turbo-transport-belt_circuit_enabled,20
stack-inserter_to_turbo-underground-belt,48
stack-inserter_to_turbo-underground-belt_circuit_enabled,48
storage-tank,1
turbo-transport-belt,362
turbo-transport-belt_circuit_enabled,2
turbo-underground-belt,636
