entity,count
assembling-machine-3,68
assembling-machine-3_chemical-science-pack,48
assembling-machine-3_engine-unit,20
beacon,550
chemical-plant,24
chemical-plant_plastic-bar,24
constant-combinator,75
cryogenic-plant,1
cryogenic-plant_sulfur,1
decider-combinator,22
ee-infinity-loader,3
ee-infinity-pipe,4
electromagnetic-plant,48
electromagnetic-plant_advanced-circuit,24
electromagnetic-plant_circuit_enabled,24
electromagnetic-plant_electronic-circuit,24
foundry,41
foundry_casting-copper-cable,24
foundry_casting-iron,12
foundry_set_recipe,5
oil-refinery,2
oil-refinery_basic-oil-processing,2
oil-refinery_circuit_enabled,2
pipe,164
pipe-to-ground,386
selector-combinator,3
stack-inserter,332
stack-inserter_circuit_enabled,332
stack-inserter_direct_insertion,188
stack-inserter_direct_insertion_circuit_enabled,188
stack-inserter_from_assembling-machine-3_chemical-science-pack,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt_circuit_enabled,48
stack-inserter_from_assembling-machine-3_engine-unit,20
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,20
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt,20
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt_circuit_enabled,20
stack-inserter_from_belt,72
stack-inserter_from_belt_circuit_enabled,72
stack-inserter_from_building,260
stack-inserter_from_building_circuit_enabled,260
stack-inserter_from_chemical-plant_plastic-bar,24
stack-inserter_from_chemical-plant_plastic-bar_circuit_enabled,24
stack-inserter_from_chemical-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,24
stack-inserter_from_chemical-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,24
stack-inserter_from_cryogenic-plant_sulfur,4
stack-inserter_from_cryogenic-plant_sulfur_circuit_enabled,4
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,4
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt_circuit_enabled,4
stack-inserter_from_electromagnetic-plant_advanced-circuit,48
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,48
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_assembling-machine-3_chemical-science-pack,48
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,48
stack-inserter_from_electromagnetic-plant_electronic-circuit,24
stack-inserter_from_electromagnetic-plant_electronic-circuit_circuit_enabled,24
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit,24
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit_circuit_enabled,24
stack-inserter_from_foundry_casting-copper-cable,48
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,48
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit,24
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit_circuit_enabled,24
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,24
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit_circuit_enabled,24
stack-inserter_from_foundry_casting-iron,24
stack-inserter_from_foundry_casting-iron_circuit_enabled,24
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,24
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit_circuit_enabled,24
stack-inserter_from_foundry_set_recipe,20
stack-inserter_from_foundry_set_recipe_circuit_enabled,20
stack-inserter_from_foundry_set_recipe_to_assembling-machine-3_engine-unit,20
stack-inserter_from_foundry_set_recipe_to_assembling-machine-3_engine-unit_circuit_enabled,20
stack-inserter_from_turbo-transport-belt,49
stack-inserter_from_turbo-transport-belt_circuit_enabled,49
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack,48
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,48
stack-inserter_from_turbo-transport-belt_to_chemical-plant_plastic-bar,1
stack-inserter_from_turbo-transport-belt_to_chemical-plant_plastic-bar_circuit_enabled,1
stack-inserter_from_turbo-underground-belt,23
stack-inserter_from_turbo-underground-belt_circuit_enabled,23
stack-inserter_from_turbo-underground-belt_to_chemical-plant_plastic-bar,23
stack-inserter_from_turbo-underground-belt_to_chemical-plant_plastic-bar_circuit_enabled,23
stack-inserter_to_assembling-machine-3_chemical-science-pack,96
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,96
stack-inserter_to_assembling-machine-3_engine-unit,20
stack-inserter_to_assembling-machine-3_engine-unit_circuit_enabled,20
stack-inserter_to_belt,72
stack-inserter_to_belt_circuit_enabled,72
stack-inserter_to_building,260
stack-inserter_to_building_circuit_enabled,260
stack-inserter_to_chemical-plant_plastic-bar,24
