entity,count
assembling-machine-3,78
assembling-machine-3_chemical-science-pack,52
assembling-machine-3_circuit_enabled,24
assembling-machine-3_engine-unit,26
beacon,476
constant-combinator,7
cryogenic-plant,6
cryogenic-plant_plastic-bar,5
cryogenic-plant_sulfur,1
decider-combinator,23
ee-infinity-loader,4
ee-infinity-pipe,2
electromagnetic-plant,20
electromagnetic-plant_advanced-circuit,10
electromagnetic-plant_electronic-circuit,10
express-underground-belt,100
foundry,21
foundry_casting-copper-cable,6
foundry_casting-iron,10
foundry_casting-iron-gear-wheel,1
foundry_casting-pipe,1
foundry_casting-steel,1
foundry_molten-copper,1
foundry_molten-iron,1
oil-refinery,2
oil-refinery_basic-oil-processing,2
pipe,217
pipe-to-ground,160
stack-inserter,378
stack-inserter_circuit_enabled,372
stack-inserter_direct_insertion,102
stack-inserter_direct_insertion_circuit_enabled,102
stack-inserter_from_assembling-machine-3_chemical-science-pack,52
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,52
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,52
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,52
stack-inserter_from_assembling-machine-3_engine-unit,52
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,52
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack,52
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,52
stack-inserter_from_belt,194
stack-inserter_from_belt_circuit_enabled,192
stack-inserter_from_building,184
stack-inserter_from_building_circuit_enabled,180
stack-inserter_from_cryogenic-plant_plastic-bar,10
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,10
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,10
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,10
stack-inserter_from_cryogenic-plant_sulfur,6
stack-inserter_from_cryogenic-plant_sulfur_circuit_enabled,6
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,5
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt_circuit_enabled,5
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-underground-belt,1
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-underground-belt_circuit_enabled,1
stack-inserter_from_electromagnetic-plant_advanced-circuit,10
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,10
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,10
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,10
stack-inserter_from_electromagnetic-plant_electronic-circuit,10
stack-inserter_from_electromagnetic-plant_electronic-circuit_circuit_enabled,10
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit,10
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit_circuit_enabled,10
stack-inserter_from_express-underground-belt,24
stack-inserter_from_express-underground-belt_circuit_enabled,24
stack-inserter_from_express-underground-belt_to_assembling-machine-3_engine-unit,24
stack-inserter_from_express-underground-belt_to_assembling-machine-3_engine-unit_circuit_enabled,24
stack-inserter_from_foundry_casting-copper-cable,20
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,20
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit,10
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit_circuit_enabled,10
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,10
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit_circuit_enabled,10
stack-inserter_from_foundry_casting-iron,10
stack-inserter_from_foundry_casting-iron-gear-wheel,4
stack-inserter_from_foundry_casting-iron-gear-wheel_circuit_enabled,4
stack-inserter_from_foundry_casting-iron-gear-wheel_to_turbo-transport-belt,4
stack-inserter_from_foundry_casting-iron-gear-wheel_to_turbo-transport-belt_circuit_enabled,4
stack-inserter_from_foundry_casting-iron_circuit_enabled,10
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,10
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit_circuit_enabled,10
stack-inserter_from_foundry_casting-pipe,6
stack-inserter_from_foundry_casting-pipe_circuit_enabled,2
stack-inserter_from_foundry_casting-pipe_to_turbo-transport-belt,6
stack-inserter_from_foundry_casting-pipe_to_turbo-transport-belt_circuit_enabled,2
stack-inserter_from_foundry_casting-steel,4
stack-inserter_from_foundry_casting-steel_circuit_enabled,4
stack-inserter_from_foundry_casting-steel_to_turbo-transport-belt,4
stack-inserter_from_foundry_casting-steel_to_turbo-transport-belt_circuit_enabled,4
stack-inserter_from_turbo-transport-belt,6
stack-inserter_from_turbo-transport-belt_circuit_enabled,4
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_engine-unit,4
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_engine-unit_circuit_enabled,4
stack-inserter_from_turbo-transport-belt_to_foundry_molten-copper,1
stack-inserter_from_turbo-transport-belt_to_foundry_molten-iron,1
stack-inserter_from_turbo-underground-belt,164
stack-inserter_from_turbo-underground-belt_circuit_enabled,164
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack,104
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,104
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_engine-unit,50
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_engine-unit_circuit_enabled,50
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar,10
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar_circuit_enabled,10
stack-inserter_to_assembling-machine-3_chemical-science-pack,156
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,156
stack-inserter_to_assembling-machine-3_engine-unit,78
stack-inserter_to_assembling-machine-3_engine-unit_circuit_enabled,78
stack-inserter_to_belt,82
stack-inserter_to_belt_circuit_enabled,78
stack-inserter_to_building,296
stack-inserter_to_building_circuit_enabled,294
stack-inserter_to_cryogenic-plant_plastic-bar,10
stack-inserter_to_cryogenic-plant_plastic-bar_circuit_enabled,10
stack-inserter_to_electromagnetic-plant_advanced-circuit,30
stack-inserter_to_electromagnetic-plant_advanced-circuit_circuit_enabled,30
stack-inserter_to_electromagnetic-plant_electronic-circuit,20
stack-inserter_to_electromagnetic-plant_electronic-circuit_circuit_enabled,20
stack-inserter_to_foundry_molten-copper,1
stack-inserter_to_foundry_molten-iron,1
