entity,count
arithmetic-combinator,1
assembling-machine-3,70
assembling-machine-3_chemical-science-pack,52
assembling-machine-3_circuit_enabled,70
assembling-machine-3_engine-unit,18
beacon,572
constant-combinator,137
cryogenic-plant,40
cryogenic-plant_circuit_enabled,26
cryogenic-plant_plastic-bar,14
cryogenic-plant_sulfur,26
decider-combinator,28
electromagnetic-plant,27
electromagnetic-plant_advanced-circuit,26
electromagnetic-plant_circuit_enabled,26
electromagnetic-plant_electronic-circuit,1
foundry,25
foundry_casting-copper-cable,15
foundry_casting-iron,1
foundry_set_recipe,9
infinity-chest,2
medium-electric-pole,99
oil-refinery,4
oil-refinery_basic-oil-processing,4
oil-refinery_circuit_enabled,4
pipe,378
pipe-to-ground,694
pump,9
stack-inserter,362
stack-inserter_circuit_enabled,361
stack-inserter_circuit_set_filters,36
stack-inserter_direct_insertion,160
stack-inserter_direct_insertion_circuit_enabled,159
stack-inserter_from_assembling-machine-3_chemical-science-pack,52
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,52
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,50
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,50
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt,2
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt_circuit_enabled,2
stack-inserter_from_assembling-machine-3_engine-unit,18
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,18
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt,18
stack-inserter_from_assembling-machine-3_engine-unit_to_turbo-transport-belt_circuit_enabled,18
stack-inserter_from_belt,92
stack-inserter_from_belt_circuit_enabled,92
stack-inserter_from_building,252
stack-inserter_from_building_circuit_enabled,251
stack-inserter_from_building_circuit_set_filters,18
stack-inserter_from_chest,18
stack-inserter_from_chest_circuit_enabled,18
stack-inserter_from_chest_circuit_set_filters,18
stack-inserter_from_cryogenic-plant_plastic-bar,26
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,26
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,26
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,26
stack-inserter_from_cryogenic-plant_sulfur,52
stack-inserter_from_cryogenic-plant_sulfur_circuit_enabled,52
stack-inserter_from_cryogenic-plant_sulfur_to_assembling-machine-3_chemical-science-pack,52
stack-inserter_from_cryogenic-plant_sulfur_to_assembling-machine-3_chemical-science-pack_circuit_enabled,52
stack-inserter_from_electromagnetic-plant_advanced-circuit,52
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,52
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_assembling-machine-3_chemical-science-pack,52
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,52
stack-inserter_from_electromagnetic-plant_electronic-circuit,4
stack-inserter_from_electromagnetic-plant_electronic-circuit_circuit_enabled,4
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-transport-belt,3
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-transport-belt_circuit_enabled,3
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-underground-belt,1
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-underground-belt_circuit_enabled,1
stack-inserter_from_foundry_casting-copper-cable,29
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,29
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit,26
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit_circuit_enabled,26
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,3
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit_circuit_enabled,3
stack-inserter_from_foundry_casting-iron,1
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,1
stack-inserter_from_foundry_set_recipe,18
stack-inserter_from_foundry_set_recipe_circuit_enabled,18
stack-inserter_from_foundry_set_recipe_circuit_set_filters,18
stack-inserter_from_foundry_set_recipe_to_steel-chest,18
stack-inserter_from_foundry_set_recipe_to_steel-chest_circuit_enabled,18
stack-inserter_from_foundry_set_recipe_to_steel-chest_circuit_set_filters,18
stack-inserter_from_steel-chest,18
stack-inserter_from_steel-chest_circuit_enabled,18
stack-inserter_from_steel-chest_circuit_set_filters,18
stack-inserter_from_steel-chest_to_assembling-machine-3_engine-unit,18
stack-inserter_from_steel-chest_to_assembling-machine-3_engine-unit_circuit_enabled,18
stack-inserter_from_steel-chest_to_assembling-machine-3_engine-unit_circuit_set_filters,18
stack-inserter_from_turbo-transport-belt,27
stack-inserter_from_turbo-transport-belt_circuit_enabled,27
stack-inserter_from_turbo-transport-belt_to_cryogenic-plant_plastic-bar,1
stack-inserter_from_turbo-transport-belt_to_cryogenic-plant_plastic-bar_circuit_enabled,1
stack-inserter_from_turbo-transport-belt_to_electromagnetic-plant_advanced-circuit,26
stack-inserter_from_turbo-transport-belt_to_electromagnetic-plant_advanced-circuit_circuit_enabled,26
stack-inserter_from_turbo-underground-belt,65
stack-inserter_from_turbo-underground-belt_circuit_enabled,65
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack,52
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,52
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar,13
stack-inserter_from_turbo-underground-belt_to_cryogenic-plant_plastic-bar_circuit_enabled,13
stack-inserter_to_assembling-machine-3_chemical-science-pack,156
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,156
