entity,count
assembling-machine-3,44
assembling-machine-3_chemical-science-pack,22
assembling-machine-3_engine-unit,22
beacon,224
constant-combinator,5
cryogenic-plant,2
cryogenic-plant_plastic-bar,1
cryogenic-plant_sulfur,1
decider-combinator,11
display-panel,1
ee-infinity-loader,2
electromagnetic-plant,5
electromagnetic-plant_advanced-circuit,4
electromagnetic-plant_electronic-circuit,1
foundry,5
foundry_casting-copper-cable,1
foundry_casting-iron,1
foundry_casting-iron-gear-wheel,1
foundry_casting-pipe,1
foundry_casting-steel,1
infinity-pipe,4
medium-electric-pole,26
oil-refinery,1
oil-refinery_basic-oil-processing,1
oil-refinery_circuit_enabled,1
pipe,23
pipe-to-ground,52
stack-inserter,149
stack-inserter_circuit_enabled,130
stack-inserter_direct_insertion,28
stack-inserter_direct_insertion_circuit_enabled,28
stack-inserter_from_assembling-machine-3_chemical-science-pack,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,22
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,22
stack-inserter_from_assembling-machine-3_engine-unit,22
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,22
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack,22
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,22
stack-inserter_from_belt,75
stack-inserter_from_belt_circuit_enabled,75
stack-inserter_from_building,74
stack-inserter_from_building_circuit_enabled,55
stack-inserter_from_cryogenic-plant_plastic-bar,2
stack-inserter_from_cryogenic-plant_plastic-bar_to_turbo-transport-belt,2
stack-inserter_from_cryogenic-plant_sulfur,2
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,2
stack-inserter_from_electromagnetic-plant_advanced-circuit,4
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,4
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,4
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,4
stack-inserter_from_electromagnetic-plant_electronic-circuit,2
stack-inserter_from_electromagnetic-plant_electronic-circuit_circuit_enabled,1
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-transport-belt,2
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-transport-belt_circuit_enabled,1
stack-inserter_from_foundry_casting-copper-cable,10
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,4
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,4
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit_circuit_enabled,4
stack-inserter_from_foundry_casting-copper-cable_to_turbo-transport-belt,6
stack-inserter_from_foundry_casting-iron,2
stack-inserter_from_foundry_casting-iron-gear-wheel,2
stack-inserter_from_foundry_casting-iron-gear-wheel_to_turbo-transport-belt,2
stack-inserter_from_foundry_casting-iron_circuit_enabled,2
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,2
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit_circuit_enabled,2
stack-inserter_from_foundry_casting-pipe,4
stack-inserter_from_foundry_casting-pipe_to_turbo-transport-belt,4
stack-inserter_from_foundry_casting-steel,2
stack-inserter_from_foundry_casting-steel_to_turbo-transport-belt,2
stack-inserter_from_turbo-transport-belt,25
stack-inserter_from_turbo-transport-belt_circuit_enabled,25
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack,22
stack-inserter_from_turbo-transport-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,22
stack-inserter_from_turbo-transport-belt_to_cryogenic-plant_plastic-bar,1
stack-inserter_from_turbo-transport-belt_to_cryogenic-plant_plastic-bar_circuit_enabled,1
stack-inserter_from_turbo-transport-belt_to_electromagnetic-plant_advanced-circuit,2
stack-inserter_from_turbo-transport-belt_to_electromagnetic-plant_advanced-circuit_circuit_enabled,2
stack-inserter_from_turbo-underground-belt,50
stack-inserter_from_turbo-underground-belt_circuit_enabled,50
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_engine-unit,44
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_engine-unit_circuit_enabled,44
stack-inserter_from_turbo-underground-belt_to_electromagnetic-plant_advanced-circuit,6
stack-inserter_from_turbo-underground-belt_to_electromagnetic-plant_advanced-circuit_circuit_enabled,6
stack-inserter_to_assembling-machine-3_chemical-science-pack,44
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,44
stack-inserter_to_assembling-machine-3_engine-unit,44
stack-inserter_to_assembling-machine-3_engine-unit_circuit_enabled,44
stack-inserter_to_belt,46
stack-inserter_to_belt_circuit_enabled,27
stack-inserter_to_building,103
stack-inserter_to_building_circuit_enabled,103
stack-inserter_to_cryogenic-plant_plastic-bar,1
stack-inserter_to_cryogenic-plant_plastic-bar_circuit_enabled,1
stack-inserter_to_electromagnetic-plant_advanced-circuit,8
stack-inserter_to_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_to_electromagnetic-plant_electronic-circuit,6
stack-inserter_to_electromagnetic-plant_electronic-circuit_circuit_enabled,6
stack-inserter_to_turbo-transport-belt,46
stack-inserter_to_turbo-transport-belt_circuit_enabled,27
storage-tank,1
turbo-transport-belt,201
turbo-underground-belt,226
