entity,count
assembling-machine-3,44
assembling-machine-3_chemical-science-pack,24
assembling-machine-3_engine-unit,10
assembling-machine-3_iron-gear-wheel,4
assembling-machine-3_pipe,6
beacon,326
bottomless-chest,4
burner-inserter,3010
burner-inserter_chest_to_chest,1
burner-inserter_chest_to_chest_circuit_enabled,1
burner-inserter_circuit_enabled,2399
burner-inserter_direct_insertion,120
burner-inserter_direct_insertion_circuit_enabled,110
burner-inserter_from_assembling-machine-3_chemical-science-pack,48
burner-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,48
burner-inserter_from_assembling-machine-3_chemical-science-pack_to_express-underground-belt,4
burner-inserter_from_assembling-machine-3_chemical-science-pack_to_express-underground-belt_circuit_enabled,4
burner-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,14
burner-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_enabled,14
burner-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt,30
burner-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt_circuit_enabled,30
burner-inserter_from_assembling-machine-3_engine-unit,20
burner-inserter_from_assembling-machine-3_engine-unit_to_turbo-underground-belt,20
burner-inserter_from_assembling-machine-3_iron-gear-wheel,12
burner-inserter_from_assembling-machine-3_iron-gear-wheel_to_turbo-underground-belt,12
burner-inserter_from_assembling-machine-3_pipe,18
burner-inserter_from_assembling-machine-3_pipe_to_express-underground-belt,2
burner-inserter_from_assembling-machine-3_pipe_to_turbo-transport-belt,1
burner-inserter_from_assembling-machine-3_pipe_to_turbo-underground-belt,15
burner-inserter_from_belt,2040
burner-inserter_from_belt_circuit_enabled,1509
burner-inserter_from_building,949
burner-inserter_from_building_circuit_enabled,889
burner-inserter_from_chemical-plant_plastic-bar,24
burner-inserter_from_chemical-plant_plastic-bar_circuit_enabled,24
burner-inserter_from_chemical-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,24
burner-inserter_from_chemical-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,24
burner-inserter_from_chemical-plant_sulfur,12
burner-inserter_from_chemical-plant_sulfur_circuit_enabled,12
burner-inserter_from_chemical-plant_sulfur_to_turbo-underground-belt,12
burner-inserter_from_chemical-plant_sulfur_to_turbo-underground-belt_circuit_enabled,12
burner-inserter_from_chest,1
burner-inserter_from_chest_circuit_enabled,1
burner-inserter_from_electromagnetic-plant_advanced-circuit,48
burner-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,48
burner-inserter_from_electromagnetic-plant_advanced-circuit_to_express-underground-belt,2
burner-inserter_from_electromagnetic-plant_advanced-circuit_to_express-underground-belt_circuit_enabled,2
burner-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,46
burner-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,46
burner-inserter_from_electromagnetic-plant_copper-cable,72
burner-inserter_from_electromagnetic-plant_copper-cable_circuit_enabled,62
burner-inserter_from_electromagnetic-plant_copper-cable_to_electromagnetic-plant_advanced-circuit,48
