entity,count
assembling-machine-3,72
assembling-machine-3_chemical-science-pack,48
assembling-machine-3_circuit_enabled,1
assembling-machine-3_engine-unit,24
beacon,559
cargo-wagon,24
constant-combinator,3
cryogenic-plant,5
cryogenic-plant_circuit_enabled,5
cryogenic-plant_plastic-bar,4
cryogenic-plant_sulfur,1
decider-combinator,12
electromagnetic-plant,9
electromagnetic-plant_advanced-circuit,8
electromagnetic-plant_electronic-circuit,1
foundry,54
foundry_casting-copper-cable,5
foundry_casting-iron,1
foundry_casting-iron-gear-wheel,24
foundry_casting-pipe,12
foundry_casting-steel,12
foundry_circuit_enabled,4
infinity-chest,6
infinity-pipe,7
medium-electric-pole,73
oil-refinery,2
oil-refinery_basic-oil-processing,2
oil-refinery_circuit_enabled,2
pipe,61
pipe-to-ground,216
stack-inserter,300
stack-inserter_circuit_enabled,168
stack-inserter_circuit_set_filters,48
stack-inserter_direct_insertion,76
stack-inserter_direct_insertion_circuit_enabled,76
stack-inserter_from_assembling-machine-3_chemical-science-pack,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_set_filters,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt,48
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-transport-belt_circuit_set_filters,48
stack-inserter_from_assembling-machine-3_engine-unit,48
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,48
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack,48
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,48
stack-inserter_from_belt,60
stack-inserter_from_belt_circuit_enabled,60
stack-inserter_from_building,212
stack-inserter_from_building_circuit_enabled,84
stack-inserter_from_building_circuit_set_filters,48
stack-inserter_from_cargo-wagon,24
stack-inserter_from_cargo-wagon_circuit_enabled,24
stack-inserter_from_cargo-wagon_to_assembling-machine-3_engine-unit,24
stack-inserter_from_cargo-wagon_to_assembling-machine-3_engine-unit_circuit_enabled,24
stack-inserter_from_chest,24
stack-inserter_from_chest_circuit_enabled,24
stack-inserter_from_cryogenic-plant_plastic-bar,8
stack-inserter_from_cryogenic-plant_plastic-bar_circuit_enabled,8
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_cryogenic-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_from_cryogenic-plant_sulfur,4
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,4
stack-inserter_from_electromagnetic-plant_advanced-circuit,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt,8
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_turbo-transport-belt_circuit_enabled,8
stack-inserter_from_electromagnetic-plant_electronic-circuit,4
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_turbo-transport-belt,4
stack-inserter_from_foundry_casting-copper-cable,19
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,19
