entity,count
assembling-machine-3,48
assembling-machine-3_chemical-science-pack,32
assembling-machine-3_engine-unit,16
beacon,260
chemical-plant,16
chemical-plant_plastic-bar,16
constant-combinator,6
cryogenic-plant,1
cryogenic-plant_sulfur,1
decider-combinator,14
display-panel,1
ee-infinity-loader,3
electric-energy-interface,1
electromagnetic-plant,32
electromagnetic-plant_advanced-circuit,16
electromagnetic-plant_circuit_enabled,1
electromagnetic-plant_electronic-circuit,16
foundry,23
foundry_casting-copper-cable,10
foundry_casting-iron,5
foundry_set_recipe,8
infinity-pipe,4
iron-chest,4
medium-electric-pole,137
oil-refinery,1
oil-refinery_basic-oil-processing,1
oil-refinery_circuit_enabled,1
pipe,131
pipe-to-ground,210
stack-inserter,300
stack-inserter_circuit_enabled,288
stack-inserter_direct_insertion,208
stack-inserter_direct_insertion_circuit_enabled,208
stack-inserter_from_assembling-machine-3_chemical-science-pack,32
stack-inserter_from_assembling-machine-3_chemical-science-pack_circuit_enabled,32
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt,32
stack-inserter_from_assembling-machine-3_chemical-science-pack_to_turbo-underground-belt_circuit_enabled,32
stack-inserter_from_assembling-machine-3_engine-unit,32
stack-inserter_from_assembling-machine-3_engine-unit_circuit_enabled,32
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack,32
stack-inserter_from_assembling-machine-3_engine-unit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,32
stack-inserter_from_belt,52
stack-inserter_from_belt_circuit_enabled,48
stack-inserter_from_building,244
stack-inserter_from_building_circuit_enabled,240
stack-inserter_from_chemical-plant_plastic-bar,16
stack-inserter_from_chemical-plant_plastic-bar_circuit_enabled,16
stack-inserter_from_chemical-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit,16
stack-inserter_from_chemical-plant_plastic-bar_to_electromagnetic-plant_advanced-circuit_circuit_enabled,16
stack-inserter_from_chest,4
stack-inserter_from_cryogenic-plant_sulfur,4
stack-inserter_from_cryogenic-plant_sulfur_to_turbo-transport-belt,4
stack-inserter_from_electromagnetic-plant_advanced-circuit,32
stack-inserter_from_electromagnetic-plant_advanced-circuit_circuit_enabled,32
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_assembling-machine-3_chemical-science-pack,32
stack-inserter_from_electromagnetic-plant_advanced-circuit_to_assembling-machine-3_chemical-science-pack_circuit_enabled,32
stack-inserter_from_electromagnetic-plant_electronic-circuit,16
stack-inserter_from_electromagnetic-plant_electronic-circuit_circuit_enabled,16
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit,16
stack-inserter_from_electromagnetic-plant_electronic-circuit_to_electromagnetic-plant_advanced-circuit_circuit_enabled,16
stack-inserter_from_foundry_casting-copper-cable,48
stack-inserter_from_foundry_casting-copper-cable_circuit_enabled,48
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit,32
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_advanced-circuit_circuit_enabled,32
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit,16
stack-inserter_from_foundry_casting-copper-cable_to_electromagnetic-plant_electronic-circuit_circuit_enabled,16
stack-inserter_from_foundry_casting-iron,16
stack-inserter_from_foundry_casting-iron_circuit_enabled,16
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit,16
stack-inserter_from_foundry_casting-iron_to_electromagnetic-plant_electronic-circuit_circuit_enabled,16
stack-inserter_from_foundry_set_recipe,48
stack-inserter_from_foundry_set_recipe_circuit_enabled,48
stack-inserter_from_foundry_set_recipe_to_assembling-machine-3_engine-unit,48
stack-inserter_from_foundry_set_recipe_to_assembling-machine-3_engine-unit_circuit_enabled,48
stack-inserter_from_iron-chest,4
stack-inserter_from_iron-chest_to_turbo-transport-belt,4
stack-inserter_from_turbo-transport-belt,20
stack-inserter_from_turbo-transport-belt_circuit_enabled,16
stack-inserter_from_turbo-transport-belt_to_chemical-plant_plastic-bar,16
stack-inserter_from_turbo-transport-belt_to_chemical-plant_plastic-bar_circuit_enabled,16
stack-inserter_from_turbo-transport-belt_to_iron-chest,4
stack-inserter_from_turbo-underground-belt,32
stack-inserter_from_turbo-underground-belt_circuit_enabled,32
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack,32
stack-inserter_from_turbo-underground-belt_to_assembling-machine-3_chemical-science-pack_circuit_enabled,32
stack-inserter_to_assembling-machine-3_chemical-science-pack,96
stack-inserter_to_assembling-machine-3_chemical-science-pack_circuit_enabled,96
stack-inserter_to_assembling-machine-3_engine-unit,48
stack-inserter_to_assembling-machine-3_engine-unit_circuit_enabled,48
stack-inserter_to_belt,40
stack-inserter_to_belt_circuit_enabled,32
stack-inserter_to_building,256
stack-inserter_to_building_circuit_enabled,256
stack-inserter_to_chemical-plant_plastic-bar,16
stack-inserter_to_chemical-plant_plastic-bar_circuit_enabled,16
stack-inserter_to_chest,4
stack-inserter_to_electromagnetic-plant_advanced-circuit,64
stack-inserter_to_electromagnetic-plant_advanced-circuit_circuit_enabled,64
stack-inserter_to_electromagnetic-plant_electronic-circuit,32
stack-inserter_to_electromagnetic-plant_electronic-circuit_circuit_enabled,32
stack-inserter_to_iron-chest,4
stack-inserter_to_turbo-transport-belt,8
stack-inserter_to_turbo-underground-belt,32
stack-inserter_to_turbo-underground-belt_circuit_enabled,32
storage-tank,3
turbo-splitter,15
turbo-transport-belt,174
turbo-underground-belt,396
