entity,count
assembling_machine_3,44
average_buildings_per_beacon,2.2007874015748032
beacon,254
beacons_per_assembling_machine_3,8.5
beacons_per_assembling_machine_3_chemical_science_pack_recipe,11
beacons_per_assembling_machine_3_engine_unit_recipe,6
beacons_per_cryogenic_plant,7.666666666666667
beacons_per_cryogenic_plant_plastic_bar_recipe,4
beacons_per_cryogenic_plant_sulfur_recipe,15
beacons_per_electromagnetic_plant,9.666666666666666
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10
beacons_per_electromagnetic_plant_electronic_circuit_recipe,9
beacons_per_foundry,6.615384615384615
beacons_per_foundry_casting_copper_cable_recipe,4.75
beacons_per_foundry_casting_iron_recipe,10
beacons_per_foundry_set_recipe_recipe,7.125
beacons_per_oil_refinery,9
beacons_per_oil_refinery_basic_oil_processing_recipe,9
constant_combinator,34
cryogenic_plant,3
decider_combinator,11
display_panel,1
ee_infinity_chest,1
ee_infinity_loader,1
ee_infinity_pipe,4
electromagnetic_plant,6
express_underground_belt,2
foundry,13
inserter_all,141
inserter_all_direct_insertion,60
inserter_all_direct_insertion_circuit_enabled,56
inserter_all_direction_insertion_percent,42.5531914893617
inserter_all_from_assembling_machine_3_chemical_science_pack,22
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_enabled,22
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,22
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,22
inserter_all_from_assembling_machine_3_engine_unit,22
inserter_all_from_assembling_machine_3_engine_unit_circuit_enabled,22
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack,22
inserter_all_from_assembling_machine_3_engine_unit_to_assembling_machine_3_chemical_science_pack_circuit_enabled,22
inserter_all_from_belt,50
inserter_all_from_belt_circuit_enabled,50
inserter_all_from_building,91
inserter_all_from_building_circuit_enabled,82
inserter_all_from_cryogenic_plant_plastic_bar,4
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,4
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,4
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,4
inserter_all_from_cryogenic_plant_sulfur,1
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt,1
inserter_all_from_electromagnetic_plant_advanced_circuit,4
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,4
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,4
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,4
inserter_all_from_electromagnetic_plant_electronic_circuit,2
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt,2
inserter_all_from_foundry_casting_copper_cable,10
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,8
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,8
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,8
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,2
inserter_all_from_foundry_casting_iron,2
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,2
inserter_all_from_foundry_set_recipe,24
inserter_all_from_foundry_set_recipe_circuit_enabled,22
inserter_all_from_foundry_set_recipe_to_assembling_machine_3_engine_unit,22
inserter_all_from_foundry_set_recipe_to_assembling_machine_3_engine_unit_circuit_enabled,22
inserter_all_from_foundry_set_recipe_to_turbo_transport_belt,2
inserter_all_from_turbo_transport_belt,50
inserter_all_from_turbo_transport_belt_circuit_enabled,50
