entity,count
arithmetic_combinator,2
assembling_machine_3,64
average_buildings_per_beacon,2.3896103896103895
beacon,462
beacons_per_assembling_machine_3,12
beacons_per_assembling_machine_3_chemical_science_pack_recipe,12
beacons_per_assembling_machine_3_engine_unit_recipe,12
beacons_per_cryogenic_plant,6
beacons_per_cryogenic_plant_plastic_bar_recipe,5
beacons_per_cryogenic_plant_sulfur_recipe,10
beacons_per_electromagnetic_plant,9.333333333333334
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10
beacons_per_electromagnetic_plant_electronic_circuit_recipe,8
beacons_per_foundry,8.571428571428571
beacons_per_foundry_casting_copper_cable_recipe,5.333333333333333
beacons_per_foundry_casting_iron_recipe,6
beacons_per_foundry_set_recipe_recipe,12
beacons_per_oil_refinery,7
beacons_per_oil_refinery_basic_oil_processing_recipe,7
cargo_wagon,4
constant_combinator,28
cryogenic_plant,5
decider_combinator,26
display_panel,1
ee_infinity_loader,1
electromagnetic_plant,12
foundry,21
foundry_set_recipe,10
infinity_chest,2
infinity_pipe,4
inserter_all,252
inserter_all_chest_to_chest,6
inserter_all_direct_insertion,24
inserter_all_direct_insertion_circuit_enabled,16
inserter_all_direction_insertion_percent,9.523809523809524
inserter_all_from_assembling_machine_3_chemical_science_pack,44
inserter_all_from_assembling_machine_3_chemical_science_pack_circuit_enabled,44
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,42
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,42
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,2
inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_enabled,2
inserter_all_from_assembling_machine_3_engine_unit,20
inserter_all_from_assembling_machine_3_engine_unit_circuit_enabled,20
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_transport_belt,20
inserter_all_from_assembling_machine_3_engine_unit_to_turbo_transport_belt_circuit_enabled,20
inserter_all_from_belt,92
inserter_all_from_belt_circuit_enabled,88
inserter_all_from_building,126
inserter_all_from_building_circuit_enabled,96
inserter_all_from_building_circuit_set_filters,20
inserter_all_from_cargo_wagon,4
inserter_all_from_cargo_wagon_circuit_enabled,4
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,4
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,4
inserter_all_from_chest,34
inserter_all_from_chest_circuit_enabled,28
inserter_all_from_cryogenic_plant_plastic_bar,8
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,8
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,8
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,8
inserter_all_from_cryogenic_plant_sulfur,2
inserter_all_from_cryogenic_plant_sulfur_to_turbo_transport_belt,2
inserter_all_from_electromagnetic_plant_advanced_circuit,8
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,8
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,6
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,6
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_underground_belt,2
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_underground_belt_circuit_enabled,2
inserter_all_from_electromagnetic_plant_electronic_circuit,8
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,8
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,4
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,4
inserter_all_from_electromagnetic_plant_electronic_circuit_to_steel_chest,4
inserter_all_from_electromagnetic_plant_electronic_circuit_to_steel_chest_circuit_enabled,4
inserter_all_from_foundry_casting_copper_cable,12
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,8
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,8
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,8
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,4
inserter_all_from_foundry_casting_iron,4
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,4
inserter_all_from_foundry_set_recipe,20
inserter_all_from_foundry_set_recipe_circuit_set_filters,20
inserter_all_from_foundry_set_recipe_to_steel_chest,20
inserter_all_from_foundry_set_recipe_to_steel_chest_circuit_set_filters,20
inserter_all_from_steel_chest,30
inserter_all_from_steel_chest_circuit_enabled,24
inserter_all_from_steel_chest_to_assembling_machine_3_engine_unit,20
inserter_all_from_steel_chest_to_assembling_machine_3_engine_unit_circuit_enabled,20
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit,4
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit_circuit_enabled,4
inserter_all_from_steel_chest_to_steel_chest,6
inserter_all_from_turbo_transport_belt,90
inserter_all_from_turbo_transport_belt_circuit_enabled,88
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack,88
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,88
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,2
inserter_all_from_turbo_underground_belt,2
inserter_all_from_turbo_underground_belt_to_cryogenic_plant_plastic_bar,2
inserter_all_to_assembling_machine_3_chemical_science_pack,88
inserter_all_to_assembling_machine_3_chemical_science_pack_circuit_enabled,88
inserter_all_to_assembling_machine_3_engine_unit,20
inserter_all_to_assembling_machine_3_engine_unit_circuit_enabled,20
inserter_all_to_belt,74
inserter_all_to_belt_circuit_enabled,72
inserter_all_to_building,144
inserter_all_to_building_circuit_enabled,132
inserter_all_to_cargo_wagon,4
inserter_all_to_cargo_wagon_circuit_enabled,4
inserter_all_to_chest,34
inserter_all_to_chest_circuit_enabled,8
inserter_all_to_chest_circuit_set_filters,20
inserter_all_to_cryogenic_plant_plastic_bar,4
inserter_all_to_electromagnetic_plant_advanced_circuit,24
inserter_all_to_electromagnetic_plant_advanced_circuit_circuit_enabled,24
inserter_all_to_electromagnetic_plant_electronic_circuit,8
inserter_all_to_steel_chest,30
inserter_all_to_steel_chest_circuit_enabled,4
inserter_all_to_steel_chest_circuit_set_filters,20
inserter_all_to_turbo_transport_belt,70
inserter_all_to_turbo_transport_belt_circuit_enabled,68
inserter_all_to_turbo_underground_belt,4
inserter_all_to_turbo_underground_belt_circuit_enabled,4
medium_electric_pole,62
oil_refinery,2
oil_refinery_circuit_enabled,2
pipe,305
pipe_to_ground,182
recipe_advanced_circuit,8
recipe_basic_oil_processing,2
recipe_casting_copper_cable,9
recipe_casting_iron,2
recipe_chemical_science_pack,44
recipe_electronic_circuit,4
recipe_engine_unit,20
recipe_plastic_bar,4
recipe_sulfur,1
small_lamp,1
small_lamp_circuit_enabled,1
stack_inserter,252
stack_inserter_chest_to_chest,6
stack_inserter_circuit_enabled,212
stack_inserter_circuit_set_filters,20
stack_inserter_direct_insertion,24
stack_inserter_direct_insertion_circuit_enabled,16
stack_inserter_direction_insertion_percent,9.523809523809524
stack_inserter_from_assembling_machine_3_chemical_science_pack,44
stack_inserter_from_assembling_machine_3_chemical_science_pack_circuit_enabled,44
stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,42
stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,42
stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,2
stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_enabled,2
stack_inserter_from_assembling_machine_3_engine_unit,20
stack_inserter_from_assembling_machine_3_engine_unit_circuit_enabled,20
stack_inserter_from_assembling_machine_3_engine_unit_to_turbo_transport_belt,20
stack_inserter_from_assembling_machine_3_engine_unit_to_turbo_transport_belt_circuit_enabled,20
stack_inserter_from_belt,92
stack_inserter_from_belt_circuit_enabled,88
stack_inserter_from_building,126
stack_inserter_from_building_circuit_enabled,96
stack_inserter_from_building_circuit_set_filters,20
stack_inserter_from_cargo_wagon,4
stack_inserter_from_cargo_wagon_circuit_enabled,4
stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,4
stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,4
stack_inserter_from_chest,34
stack_inserter_from_chest_circuit_enabled,28
stack_inserter_from_cryogenic_plant_plastic_bar,8
stack_inserter_from_cryogenic_plant_plastic_bar_circuit_enabled,8
stack_inserter_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,8
stack_inserter_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,8
stack_inserter_from_cryogenic_plant_sulfur,2
stack_inserter_from_cryogenic_plant_sulfur_to_turbo_transport_belt,2
stack_inserter_from_electromagnetic_plant_advanced_circuit,8
stack_inserter_from_electromagnetic_plant_advanced_circuit_circuit_enabled,8
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,6
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,6
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_underground_belt,2
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_underground_belt_circuit_enabled,2
stack_inserter_from_electromagnetic_plant_electronic_circuit,8
stack_inserter_from_electromagnetic_plant_electronic_circuit_circuit_enabled,8
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,4
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,4
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_steel_chest,4
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_steel_chest_circuit_enabled,4
stack_inserter_from_foundry_casting_copper_cable,12
stack_inserter_from_foundry_casting_copper_cable_circuit_enabled,8
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,8
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,8
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,4
stack_inserter_from_foundry_casting_iron,4
stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,4
stack_inserter_from_foundry_set_recipe,20
stack_inserter_from_foundry_set_recipe_circuit_set_filters,20
stack_inserter_from_foundry_set_recipe_to_steel_chest,20
stack_inserter_from_foundry_set_recipe_to_steel_chest_circuit_set_filters,20
stack_inserter_from_steel_chest,30
stack_inserter_from_steel_chest_circuit_enabled,24
stack_inserter_from_steel_chest_to_assembling_machine_3_engine_unit,20
stack_inserter_from_steel_chest_to_assembling_machine_3_engine_unit_circuit_enabled,20
stack_inserter_from_steel_chest_to_electromagnetic_plant_advanced_circuit,4
stack_inserter_from_steel_chest_to_electromagnetic_plant_advanced_circuit_circuit_enabled,4
stack_inserter_from_steel_chest_to_steel_chest,6
stack_inserter_from_turbo_transport_belt,90
stack_inserter_from_turbo_transport_belt_circuit_enabled,88
stack_inserter_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack,88
stack_inserter_from_turbo_transport_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,88
stack_inserter_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,2
stack_inserter_from_turbo_underground_belt,2
stack_inserter_from_turbo_underground_belt_to_cryogenic_plant_plastic_bar,2
stack_inserter_to_assembling_machine_3_chemical_science_pack,88
stack_inserter_to_assembling_machine_3_chemical_science_pack_circuit_enabled,88
stack_inserter_to_assembling_machine_3_engine_unit,20
stack_inserter_to_assembling_machine_3_engine_unit_circuit_enabled,20
stack_inserter_to_belt,74
stack_inserter_to_belt_circuit_enabled,72
stack_inserter_to_building,144
stack_inserter_to_building_circuit_enabled,132
stack_inserter_to_cargo_wagon,4
stack_inserter_to_cargo_wagon_circuit_enabled,4
stack_inserter_to_chest,34
stack_inserter_to_chest_circuit_enabled,8
stack_inserter_to_chest_circuit_set_filters,20
stack_inserter_to_cryogenic_plant_plastic_bar,4
stack_inserter_to_electromagnetic_plant_advanced_circuit,24
stack_inserter_to_electromagnetic_plant_advanced_circuit_circuit_enabled,24
stack_inserter_to_electromagnetic_plant_electronic_circuit,8
stack_inserter_to_steel_chest,30
stack_inserter_to_steel_chest_circuit_enabled,4
stack_inserter_to_steel_chest_circuit_set_filters,20
stack_inserter_to_turbo_transport_belt,70
stack_inserter_to_turbo_transport_belt_circuit_enabled,68
stack_inserter_to_turbo_underground_belt,4
stack_inserter_to_turbo_underground_belt_circuit_enabled,4
steel_chest,30
storage_tank,1
straight_rail,8
total_circuit_networks,20
total_electric_networks,1
total_power_poles,62
turbo_loader,2
turbo_splitter,6
turbo_transport_belt,784
turbo_underground_belt,300
