save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
16_yuu,0,29892.289,1.661,0.86,7.226,602.1619823092169,0,18000,2.0.69,windows-x86_64
16_yuu,1,27727.798,1.54,0.828,7.155,649.1680298594213,0,18000,2.0.69,windows-x86_64
16_yuu,2,29780.023,1.654,0.866,7.435,604.4320382156857,0,18000,2.0.69,windows-x86_64
16_yuu,3,28871.7,1.604,0.815,7.062,623.4478745622877,0,18000,2.0.69,windows-x86_64
16_yuu,4,27800.562,1.544,0.806,7.138,647.4689252684891,0,18000,2.0.69,windows-x86_64
16_yuu_with_ships,0,28335.401,1.574,0.863,8.449,635.2477595076208,1.8677271863120928,18000,2.0.69,windows-x86_64
16_yuu_with_ships,1,27541.909,1.53,0.843,7.716,653.5494689202553,1.8677271863120928,18000,2.0.69,windows-x86_64
16_yuu_with_ships,2,28682.54,1.593,0.86,8.342,627.5594839229719,1.8677271863120928,18000,2.0.69,windows-x86_64
16_yuu_with_ships,3,28339.915,1.574,0.861,8.237,635.1465768334167,1.8677271863120928,18000,2.0.69,windows-x86_64
16_yuu_with_ships,4,28410.284,1.578,0.889,8.482,633.5733919449732,1.8677271863120928,18000,2.0.69,windows-x86_64
