metric,property,correlation,strength,range,impact
trains,cargo_wagon,0.9995165731829112,0.9995165731829112,Very High,increase
trains,straight_rail,0.9995165731829112,0.9995165731829112,Very High,increase
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0.9868774635442056,0.9868774635442056,Very High,increase
fluid_flow_update,pipe_to_ground,0.9010757387196159,0.9010757387196159,Very High,increase
control_behavior_update,stack_inserter_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0.8896892190382429,0.8896892190382429,High,increase
fluid_flow_update,foundry,0.8862327689897812,0.8862327689897812,High,increase
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0.8841701246500877,0.8841701246500877,High,increase
trains,stack_inserter_to_cargo_wagon,0.87723071443215,0.87723071443215,High,increase
control_behavior_update,stack_inserter_circuit_enabled,0.8642555485921054,0.8642555485921054,High,increase
control_behavior_update,decider_combinator,0.856483782701159,0.856483782701159,High,increase
trains,stack_inserter_from_foundry_casting_copper_cable_to_cargo_wagon,0.852643117933693,0.852643117933693,High,increase
electric_network_update,stack_inserter_to_building,0.8204997653119754,0.8204997653119754,High,increase
fluid_flow_update,cryogenic_plant,0.8186026194854544,0.8186026194854544,High,increase
electric_network_update,stack_inserter_from_building,0.8132353363044211,0.8132353363044211,High,increase
fluid_flow_update,cryogenic_plant_plastic_bar,0.8104662430341126,0.8104662430341126,High,increase
electric_network_update,stack_inserter_direct_insertion,0.7995883577938576,0.7995883577938576,High,increase
transport_lines_update,stack_inserter_from_belt,0.7977057209807614,0.7977057209807614,High,increase
transport_lines_update,stack_inserter_to_turbo_transport_belt,0.7974429052739391,0.7974429052739391,High,increase
fluid_flow_update,stack_inserter_from_cryogenic_plant_plastic_bar,0.7964462262351872,0.7964462262351872,High,increase
fluid_flow_update,stack_inserter_direct_insertion,0.7955027257788995,0.7955027257788995,High,increase
electric_network_update,stack_inserter,0.7848978977265137,0.7848978977265137,High,increase
fluid_flow_update,stack_inserter_from_building,0.7848800024942642,0.7848800024942642,High,increase
control_behavior_update,stack_inserter_to_building_circuit_enabled,0.7805732672075515,0.7805732672075515,High,increase
whole_update,stack_inserter_to_belt,0.7800667346433104,0.7800667346433104,High,increase
fluid_flow_update,foundry_casting_steel,0.7797687646218475,0.7797687646218475,High,increase
fluid_flow_update,stack_inserter_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,0.777422065844921,0.777422065844921,High,increase
trains,stack_inserter_from_foundry_casting_iron_gear_wheel_circuit_enabled,0.7561426256735874,0.7561426256735874,High,increase
trains,stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.7535543383650983,0.7535543383650983,High,increase
entity_update,stack_inserter_to_belt,0.750599869654003,0.750599869654003,High,increase
fluid_flow_update,electromagnetic_plant_advanced_circuit,0.7499591386170262,0.7499591386170262,High,increase
transport_lines_update,stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,0.742847281934804,0.742847281934804,High,increase
trains,stack_inserter_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit_circuit_enabled,0.7402178750636993,0.7402178750636993,High,increase
trains,big_mining_drill,0.7384209048053435,0.7384209048053435,High,increase
fluid_flow_update,foundry_casting_copper_cable,0.7368929785628251,0.7368929785628251,High,increase
electric_network_update,beacon,0.7349483321167357,0.7349483321167357,High,increase
control_behavior_update,stack_inserter_from_assembling_machine_3_chemical_science_pack_circuit_enabled,0.7319494745342218,0.7319494745342218,High,increase
trains,stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_set_filters,0.7315040045455318,0.7315040045455318,High,increase
trains,stack_inserter_to_turbo_underground_belt_circuit_set_filters,0.7315040045455318,0.7315040045455318,High,increase
entity_update,output_inserter_enable_gate,-0.7293120433121633,0.7293120433121633,High,decrease
control_behavior_update,stack_inserter_from_turbo_underground_belt_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0.7291339764969068,0.7291339764969068,High,increase
trains,stack_inserter_from_cargo_wagon,0.7265550222987808,0.7265550222987808,High,increase
fluid_flow_update,foundry_casting_iron_gear_wheel,0.7160036451737597,0.7160036451737597,High,increase
control_behavior_update,stack_inserter_to_belt_circuit_enabled,0.7110281322651169,0.7110281322651169,High,increase
fluid_flow_update,stack_inserter_to_cryogenic_plant_plastic_bar,0.7073977079905187,0.7073977079905187,High,increase
fluid_flow_update,stack_inserter_from_turbo_underground_belt_to_cryogenic_plant_plastic_bar,0.7027602495359894,0.7027602495359894,High,increase
whole_update,stack_inserter_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,0.6961123506137168,0.6961123506137168,Moderate,increase
fluid_flow_update,stack_inserter_from_foundry_casting_steel,0.6949537077520266,0.6949537077520266,Moderate,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_electronic_circuit,0.6943895628572947,0.6943895628572947,Moderate,increase
transport_lines_update,stack_inserter_to_belt,0.6927412253435201,0.6927412253435201,Moderate,increase
