save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
00_baseline,0,61799.134,1.717,1.068,5.541,582.5324348396209,0,36000,2.0.66,windows-x86_64
00_baseline,1,62405.044,1.733,1.098,5.319,576.8764460770191,0,36000,2.0.66,windows-x86_64
00_baseline,2,61838.019,1.718,1.098,5.893,582.1661266348134,0,36000,2.0.66,windows-x86_64
00_baseline,3,62013.378,1.723,1.094,5.404,580.5199000770447,0,36000,2.0.66,windows-x86_64
00_baseline,4,60904.563,1.692,1.051,5.87,591.0887169488434,0,36000,2.0.66,windows-x86_64
00_baseline,5,61346.668,1.704,1.054,5.418,586.8289374738332,0,36000,2.0.66,windows-x86_64
00_baseline,6,61738.952,1.715,1.086,5.37,583.1002767912225,0,36000,2.0.66,windows-x86_64
00_baseline,7,61609.895,1.711,1.088,5.495,584.3217229959571,0,36000,2.0.66,windows-x86_64
00_baseline,8,62669.137,1.741,1.109,5.447,574.4454403449022,0,36000,2.0.66,windows-x86_64
00_baseline,9,62256.362,1.729,1.108,5.414,578.2541549729488,0,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,0,58980.505,1.638,0.997,6.613,610.3711726442492,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,1,59031.277,1.64,0.977,5.991,609.846200684427,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,2,58814.615,1.634,0.992,8.117,612.0927595972532,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,3,58909.72,1.636,0.985,6.351,611.1045851177021,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,4,59290.124,1.647,0.994,6.167,607.1837528961821,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,5,58941.696,1.637,0.996,6.318,610.7730595332716,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,6,59190.278,1.644,0.99,5.908,608.2079898323843,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,7,58799.839,1.633,0.996,5.991,612.2465743486134,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,8,59015.518,1.639,0.996,6.155,610.0090488064512,4.882618864250183,36000,2.0.66,windows-x86_64
11_theflyingcurryfish154,9,58778.007,1.633,0.997,6.141,612.4739819776469,4.882618864250183,36000,2.0.66,windows-x86_64
34_osboz,0,58771.504,1.633,1.147,3.451,612.541751526386,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,1,58964.172,1.638,1.153,3.363,610.5402446760382,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,2,57954.49,1.61,1.118,3.392,621.1770649694269,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,3,58793.761,1.633,1.159,3.83,612.3098673684101,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,4,58896.584,1.636,1.136,3.444,611.2408828328652,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,5,58582.983,1.627,1.165,3.434,614.5129209279083,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,6,58796.197,1.633,1.133,3.359,612.2844986045611,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,7,58836.072,1.634,1.143,3.325,611.8695347303267,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,8,58514.704,1.625,1.142,3.966,615.2299770669608,5.421032776864945,36000,2.0.66,windows-x86_64
34_osboz,9,58637.767,1.629,1.164,3.638,613.9387947702716,5.421032776864945,36000,2.0.66,windows-x86_64
22_mcmayhem57,0,55002.658,1.528,0.906,6.607,654.5138236773939,12.793460117506761,36000,2.0.66,windows-x86_64
22_mcmayhem57,1,54697.443,1.519,0.897,6.511,658.166049919372,12.793460117506761,36000,2.0.66,windows-x86_64
22_mcmayhem57,2,55034.574,1.529,0.904,7.344,654.134253860128,12.793460117506761,36000,2.0.66,windows-x86_64
