design,design_hybrid_06_abucnasty,design_hybrid_05_thaeln_abucnasty,design_hybrid_04_thaeln_abucnasty,design_hybrid_03_thaeln_abucnasty,design_hybrid_01_abucnasty,design_35_henryjk,design_27_geist_fixed,design_18_lady_meyneth,design_14_abucnasty,design_12_phlap,design_08_lady_meyneth,design_01_undertow,design_00_baseline
metric_whole_update,1100.605598,1105.205703,1224.136698,1224.913322,1115.257029,1193.317927,1203.719743,1184.847513,1184.886059,1175.176719,1180.806007,1264.797091,1669.684497
metric_control_behavior_update,110.981485,115.184653,144.933243,145.078521,116.273476,182.522919,134.4334,124.059177,140.294736,135.905522,123.061318,73.016821,53.23558
metric_transport_lines_update,90.829819,86.328333,106.857875,106.140243,91.101838,77.733849,128.440415,87.718062,102.488619,104.370529,86.679733,104.898582,142.504555
metric_electric_heat_fluid_circuit_update,87.663543,87.556232,97.863741,101.437945,90.393752,128.102611,91.322767,133.453708,101.703863,98.84076,132.887676,86.852266,84.848475
metric_electric_network_update,79.66299,77.43908,86.83475,90.448214,81.039869,118.710804,80.931347,98.391013,90.72852,88.07623,108.383029,76.30352,75.862704
metric_fluid_flow_update,64.182838,47.415689,56.080649,55.357538,68.609664,90.688715,44.82789,122.141822,55.076317,75.801654,121.729301,59.645802,65.823901
metric_entity_update,768.937674,764.963083,826.671667,824.626406,772.277693,755.529105,801.487707,781.259697,793.334231,791.100728,781.166282,956.544262,1337.878483
metric_trains,0.121658,6.069115,0.1514,0.153539,0.145576,0.144994,0.147597,11.624659,0.155016,0.155464,11.640878,0.146199,0.150533
arithmetic_combinator,0,2,2,2,0,0,0,0,2,0,0,0,0
assembling_machine_3,88,64,64,64,88,96,66,88,64,88,88,88,68
assembling_machine_3_circuit_enabled,0,0,0,0,0,0,66,0,0,0,0,0,0
average_buildings_per_beacon,2.2007874015748032,2.3896103896103895,2.066666666666667,1.8698412698412699,2.2007874015748032,2.8884615384615384,1.7332123411978222,2.435215946843854,1.8698412698412699,2.389558232931727,2.287425149700599,2.367088607594937,2.1203703703703702
beacon,508,462,570,630,508,520,551,602,630,498,668,474,432
beacons_per_assembling_machine_3,8.5,12,12,12,8.5,7.666666666666667,10,8,12,7,8,8.863636363636363,10.117647058823529
beacons_per_assembling_machine_3_advanced_circuit_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_assembling_machine_3_chemical_science_pack_recipe,11,12,12,12,11,8,11,11,12,11,11,11,10
beacons_per_assembling_machine_3_copper_cable_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_assembling_machine_3_electronic_circuit_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_assembling_machine_3_engine_unit_recipe,6,12,12,12,6,7,8,5,12,3,5,6.7272727272727275,10.4
beacons_per_assembling_machine_3_iron_gear_wheel_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_assembling_machine_3_pipe_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_chemical_plant,0,0,0,0,0,3,0,0,0,0,0,0,0
beacons_per_chemical_plant_heavy_oil_cracking_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_chemical_plant_light_oil_cracking_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_chemical_plant_plastic_bar_recipe,0,0,0,0,0,3,0,0,0,0,0,0,0
beacons_per_chemical_plant_sulfur_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_cryogenic_plant,7.666666666666667,6,7.666666666666667,7.666666666666667,7.666666666666667,9,7,4.2,7.666666666666667,9.333333333333334,9.8,5.6,2.5
beacons_per_cryogenic_plant_plastic_bar_recipe,4,5,4,4,4,0,8,3.25,4,6,8.25,5,3
beacons_per_cryogenic_plant_sulfur_recipe,15,10,15,15,15,9,3,8,15,16,16,8,2
beacons_per_electromagnetic_plant,9.666666666666666,9.333333333333334,9.666666666666666,9.666666666666666,9.666666666666666,4.75,10,8.666666666666666,9.666666666666666,9.6,8.5,9.4,5
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10,10,10,10,10,5,10,11,10,10,11,10,6
beacons_per_electromagnetic_plant_copper_cable_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_electromagnetic_plant_electronic_circuit_recipe,9,8,9,9,9,4.5,10,4,9,8,3.5,7,2
beacons_per_foundry,6.615384615384615,8.571428571428571,9.6,9.6,6.615384615384615,6.869565217391305,11.777777777777779,7.894736842105263,9.6,8.125,7.7894736842105265,7.333333333333333,4.142857142857143
beacons_per_foundry_casting_copper_cable_recipe,4.75,5.333333333333333,6.5,6.5,4.75,6.4,9.4,7.5,6.5,9.2,7.5,6.333333333333333,3
beacons_per_foundry_casting_copper_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_foundry_casting_iron_gear_wheel_recipe,0,0,0,0,0,0,16,9.833333333333334,0,14,9.833333333333334,8,3
beacons_per_foundry_casting_iron_recipe,10,6,10,10,10,6,11,11,10,12,9,5,3
beacons_per_foundry_casting_pipe_recipe,0,0,0,0,0,0,16,6.090909090909091,0,5.666666666666667,6.090909090909091,7.5,6
beacons_per_foundry_casting_steel_recipe,0,0,0,0,0,0,16,7.090909090909091,0,8.090909090909092,7.090909090909091,11,5
beacons_per_foundry_molten_copper_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_foundry_molten_iron_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_foundry_set_recipe_recipe,7.125,12,12,12,7.125,8,0,0,12,0,0,0,0
beacons_per_oil_refinery,9,7,14,14,9,16,16,8,14,16,16,8,10
beacons_per_oil_refinery_advanced_oil_processing_recipe,0,0,0,0,0,0,0,0,0,0,0,0,0
beacons_per_oil_refinery_basic_oil_processing_recipe,9,7,14,14,9,16,16,8,14,16,16,8,10
beacons_per_stone_furnace,0,0,0,0,0,0,0,0,0,0,0,0,0
big_electric_pole,0,0,0,0,0,0,0,0,0,0,0,0,0
big_mining_drill,0,0,0,0,0,0,0,8,0,0,8,0,0
big_mining_drill_circuit_enabled,0,0,0,0,0,0,0,8,0,0,0,0,0
bottomless_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_chest_to_chest,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_chest_to_chest_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_direct_insertion,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_direct_insertion_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_express_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_express_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_enabled,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_engine_unit,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_engine_unit_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_iron_gear_wheel,0,0,0,0,0,0,0,0,0,0,0,0,0
burner_inserter_from_assembling_machine_3_iron_gear_wheel_to_turbo_underground_belt,0,0,0,0,0,0,0,0,0,0,0,0,0
