metric,property,correlation,strength,range,impact
trains,cargo_wagon,0.9999384410635128,0.9999384410635128,Very High,increase
trains,inserter_all_from_cargo_wagon,0.9999384410635128,0.9999384410635128,Very High,increase
trains,inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.9999384410635128,0.9999384410635128,Very High,increase
trains,inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0.9999384410635128,0.9999384410635128,Very High,increase
trains,inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0.9999384410635128,0.9999384410635128,Very High,increase
trains,inserter_all_to_cargo_wagon_circuit_enabled,0.9999384410635128,0.9999384410635128,Very High,increase
trains,stack_inserter_from_cargo_wagon,0.9999384410635128,0.9999384410635128,Very High,increase
trains,stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.9999384410635128,0.9999384410635128,Very High,increase
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0.9999384410635128,0.9999384410635128,Very High,increase
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0.9999384410635128,0.9999384410635128,Very High,increase
trains,stack_inserter_to_cargo_wagon_circuit_enabled,0.9999384410635128,0.9999384410635128,Very High,increase
trains,straight_rail,0.9999384410635128,0.9999384410635128,Very High,increase
trains,inserter_all_to_cargo_wagon,0.9815982723660873,0.9815982723660873,Very High,increase
trains,stack_inserter_to_cargo_wagon,0.9815982723660873,0.9815982723660873,Very High,increase
fluid_flow_update,foundry,0.9620408436215337,0.9620408436215337,Very High,increase
trains,inserter_all_to_chest_circuit_enabled,0.9550217815903568,0.9550217815903568,Very High,increase
trains,stack_inserter_to_chest_circuit_enabled,0.9550217815903568,0.9550217815903568,Very High,increase
electric_heat_fluid_circuit_update,inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,-0.9544973775214552,0.9544973775214552,Very High,decrease
electric_heat_fluid_circuit_update,stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_transport_belt,-0.9544973775214552,0.9544973775214552,Very High,decrease
entity_update,inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,0.9453910448738959,0.9453910448738959,Very High,increase
entity_update,inserter_all_from_foundry_casting_copper_cable_to_turbo_transport_belt,0.9453910448738959,0.9453910448738959,Very High,increase
entity_update,inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit,0.9453910448738959,0.9453910448738959,Very High,increase
entity_update,stack_inserter_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,0.9453910448738959,0.9453910448738959,Very High,increase
entity_update,stack_inserter_from_foundry_casting_copper_cable_to_turbo_transport_belt,0.9453910448738959,0.9453910448738959,Very High,increase
entity_update,stack_inserter_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit,0.9453910448738959,0.9453910448738959,Very High,increase
whole_update,inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,0.9421178510484227,0.9421178510484227,Very High,increase
whole_update,inserter_all_from_foundry_casting_copper_cable_to_turbo_transport_belt,0.9421178510484227,0.9421178510484227,Very High,increase
whole_update,inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit,0.9421178510484227,0.9421178510484227,Very High,increase
whole_update,stack_inserter_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,0.9421178510484227,0.9421178510484227,Very High,increase
whole_update,stack_inserter_from_foundry_casting_copper_cable_to_turbo_transport_belt,0.9421178510484227,0.9421178510484227,Very High,increase
whole_update,stack_inserter_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit,0.9421178510484227,0.9421178510484227,Very High,increase
electric_network_update,medium_electric_pole,0.9306152818183853,0.9306152818183853,Very High,increase
trains,big_mining_drill,0.9295983747409164,0.9295983747409164,Very High,increase
trains,inserter_all_from_foundry_casting_copper_cable_to_cargo_wagon,0.9295983747409164,0.9295983747409164,Very High,increase
trains,stack_inserter_from_foundry_casting_copper_cable_to_cargo_wagon,0.9295983747409164,0.9295983747409164,Very High,increase
trains,inserter_all_from_foundry_casting_iron_gear_wheel_circuit_enabled,0.9295983747409162,0.9295983747409162,Very High,increase
trains,inserter_all_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit,0.9295983747409162,0.9295983747409162,Very High,increase
trains,inserter_all_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit_circuit_enabled,0.9295983747409162,0.9295983747409162,Very High,increase
trains,stack_inserter_from_foundry_casting_iron_gear_wheel_circuit_enabled,0.9295983747409162,0.9295983747409162,Very High,increase
trains,stack_inserter_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit,0.9295983747409162,0.9295983747409162,Very High,increase
trains,stack_inserter_from_foundry_casting_iron_gear_wheel_to_assembling_machine_3_engine_unit_circuit_enabled,0.9295983747409162,0.9295983747409162,Very High,increase
trains,inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_set_filters,0.925074661559248,0.925074661559248,Very High,increase
trains,inserter_all_to_turbo_underground_belt_circuit_set_filters,0.925074661559248,0.925074661559248,Very High,increase
trains,stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt_circuit_set_filters,0.925074661559248,0.925074661559248,Very High,increase
trains,stack_inserter_to_turbo_underground_belt_circuit_set_filters,0.925074661559248,0.925074661559248,Very High,increase
electric_network_update,total_power_poles,0.9228744761798651,0.9228744761798651,Very High,increase
control_behavior_update,inserter_all_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0.9213403231702447,0.9213403231702447,Very High,increase
control_behavior_update,stack_inserter_to_assembling_machine_3_chemical_science_pack_circuit_enabled,0.9213403231702447,0.9213403231702447,Very High,increase
trains,inserter_all_from_foundry_casting_iron_gear_wheel,0.9181405135322879,0.9181405135322879,Very High,increase
trains,stack_inserter_from_foundry_casting_iron_gear_wheel,0.9181405135322879,0.9181405135322879,Very High,increase
electric_heat_fluid_circuit_update,inserter_all_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,0.913727222661614,0.913727222661614,Very High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_assembling_machine_3_chemical_science_pack_to_turbo_underground_belt,0.913727222661614,0.913727222661614,Very High,increase
trains,recipe_casting_iron_gear_wheel,0.9115305646178568,0.9115305646178568,Very High,increase
electric_heat_fluid_circuit_update,medium_electric_pole,0.9096938369685791,0.9096938369685791,Very High,increase
