save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
00_baseline,0,117317.677,1.629,0.988,5.302,613.7182549224871,0,72000,2.0.66,windows-x86_64
00_baseline,1,121735.471,1.691,1.036,5.279,591.4463500946244,0,72000,2.0.66,windows-x86_64
00_baseline,2,120359.141,1.672,0.995,5.23,598.2096532244277,0,72000,2.0.66,windows-x86_64
00_baseline,3,120797.424,1.678,1.057,5.291,596.0392003061257,0,72000,2.0.66,windows-x86_64
00_baseline,4,120426.421,1.673,1.05,5.313,597.8754446252289,0,72000,2.0.66,windows-x86_64
00_baseline,5,121641.363,1.689,1.042,5.345,591.9039233389715,0,72000,2.0.66,windows-x86_64
01_undertow,0,90911.377,1.263,0.822,3.759,791.9800840768257,31.97903060176565,72000,2.0.66,windows-x86_64
01_undertow,1,91180.634,1.266,0.838,3.882,789.6413617830294,31.97903060176565,72000,2.0.66,windows-x86_64
01_undertow,2,90920.375,1.263,0.824,3.75,791.9017052008419,31.97903060176565,72000,2.0.66,windows-x86_64
01_undertow,3,91171.983,1.266,0.825,3.898,789.7162881715539,31.97903060176565,72000,2.0.66,windows-x86_64
01_undertow,4,90725.597,1.26,0.82,3.776,793.6018321268253,31.97903060176565,72000,2.0.66,windows-x86_64
01_undertow,5,92291.053,1.282,0.831,3.925,780.1406274993958,31.97903060176565,72000,2.0.66,windows-x86_64
hybrid_03_thaeln_abucnasty,0,87786.615,1.219,0.652,6.477,820.1705920657722,36.22966379920805,72000,2.0.66,windows-x86_64
hybrid_03_thaeln_abucnasty,1,89449.83,1.242,0.674,5.733,804.9204788874389,36.22966379920805,72000,2.0.66,windows-x86_64
hybrid_03_thaeln_abucnasty,2,88106.378,1.224,0.657,5.671,817.1939606914723,36.22966379920805,72000,2.0.66,windows-x86_64
hybrid_03_thaeln_abucnasty,3,88457.38,1.229,0.655,6.568,813.9513062674929,36.22966379920805,72000,2.0.66,windows-x86_64
hybrid_03_thaeln_abucnasty,4,88256.574,1.226,0.672,6.041,815.8032510983262,36.22966379920805,72000,2.0.66,windows-x86_64
hybrid_03_thaeln_abucnasty,5,88072.777,1.223,0.677,6.218,817.5057316519042,36.22966379920805,72000,2.0.66,windows-x86_64
hybrid_04_thaeln_abucnasty,0,87752.301,1.219,0.645,4.868,820.4913054074786,36.372625587803476,72000,2.0.66,windows-x86_64
hybrid_04_thaeln_abucnasty,1,88345.254,1.227,0.666,4.848,814.9843567148497,36.372625587803476,72000,2.0.66,windows-x86_64
hybrid_04_thaeln_abucnasty,2,88124.484,1.224,0.66,4.881,817.0260605440822,36.372625587803476,72000,2.0.66,windows-x86_64
hybrid_04_thaeln_abucnasty,3,88800.358,1.233,0.663,5.113,810.8075420146392,36.372625587803476,72000,2.0.66,windows-x86_64
hybrid_04_thaeln_abucnasty,4,88308.777,1.227,0.662,5.149,815.3209957827861,36.372625587803476,72000,2.0.66,windows-x86_64
hybrid_04_thaeln_abucnasty,5,88230.295,1.225,0.672,5.043,816.0462344594904,36.372625587803476,72000,2.0.66,windows-x86_64
27_geist_fixed,0,87097.802,1.21,0.607,6.468,826.6569115027726,38.646105949167094,72000,2.0.66,windows-x86_64
27_geist_fixed,1,87549.81,1.216,0.613,5.564,822.3889920492118,38.646105949167094,72000,2.0.66,windows-x86_64
