save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
14,0,94433.174,2.623,0.847,9.573,381.2219633748623,0,36000,2.0.64,windows-x86_64
14,1,93767.836,2.605,0.902,13.423,383.9269576403576,0,36000,2.0.64,windows-x86_64
14,2,90560.291,2.516,0.903,10.336,397.525224383389,0,36000,2.0.64,windows-x86_64
14,3,90837.296,2.523,0.901,9.485,396.31298580265974,0,36000,2.0.64,windows-x86_64
14,4,90785.111,2.522,0.944,10.649,396.5407940075107,0,36000,2.0.64,windows-x86_64
14,5,91391.55,2.539,0.903,9.88,393.9095025743627,0,36000,2.0.64,windows-x86_64
14,6,87962.162,2.443,0.883,9.703,409.2668845497454,0,36000,2.0.64,windows-x86_64
14,7,90251.8,2.507,0.871,9.882,398.8840111776164,0,36000,2.0.64,windows-x86_64
14,8,91743.05,2.548,0.879,10.008,392.40029626222366,0,36000,2.0.64,windows-x86_64
14,9,90031.733,2.501,0.908,11.088,399.8590141544871,0,36000,2.0.64,windows-x86_64
13,0,79944.187,2.221,0.607,9.819,450.3141673077493,18.963500595127293,36000,2.0.64,windows-x86_64
13,1,77364.443,2.149,0.588,8.886,465.3300483272399,18.963500595127293,36000,2.0.64,windows-x86_64
13,2,76849.481,2.135,0.568,9.965,468.44818639699076,18.963500595127293,36000,2.0.64,windows-x86_64
13,3,75541.282,2.098,0.596,9.698,476.56061754419255,18.963500595127293,36000,2.0.64,windows-x86_64
13,4,75997.171,2.111,0.593,9.443,473.70184345414646,18.963500595127293,36000,2.0.64,windows-x86_64
13,5,77196.497,2.144,0.598,9.21,466.34240411193787,18.963500595127293,36000,2.0.64,windows-x86_64
13,6,75755.705,2.104,0.591,8.976,475.21173487858107,18.963500595127293,36000,2.0.64,windows-x86_64
13,7,73488.85,2.041,0.577,8.189,489.8702320147886,18.963500595127293,36000,2.0.64,windows-x86_64
13,8,77149.324,2.143,0.6,8.326,466.6275494520212,18.963500595127293,36000,2.0.64,windows-x86_64
13,9,77175.343,2.144,0.599,9.441,466.4702300059749,18.963500595127293,36000,2.0.64,windows-x86_64
03,0,70351.958,1.954,1.059,7.764,511.7128367628375,30.202463234655834,36000,2.0.64,windows-x86_64
03,1,70257.068,1.952,1.02,6.129,512.4039619757546,30.202463234655834,36000,2.0.64,windows-x86_64
03,2,69536.663,1.932,1.007,5.775,517.7125051284097,30.202463234655834,36000,2.0.64,windows-x86_64
03,3,69915.566,1.942,1.028,5.413,514.9067948616764,30.202463234655834,36000,2.0.64,windows-x86_64
03,4,70297.592,1.953,1.036,5.702,512.1085797647237,30.202463234655834,36000,2.0.64,windows-x86_64
03,5,70216.282,1.95,1.042,6.108,512.7015981848768,30.202463234655834,36000,2.0.64,windows-x86_64
03,6,70257.965,1.952,1.014,5.775,512.3974199935908,30.202463234655834,36000,2.0.64,windows-x86_64
03,7,68272.266,1.896,1.028,5.646,527.3005000302758,30.202463234655834,36000,2.0.64,windows-x86_64
03,8,70399.156,1.956,1.053,6.909,511.36976698982016,30.202463234655834,36000,2.0.64,windows-x86_64
03,9,70562.646,1.96,1.03,6.348,510.1849496970395,30.202463234655834,36000,2.0.64,windows-x86_64
20,0,60946.943,1.693,1.021,3.73,590.6776981414802,52.44383382743044,36000,2.0.64,windows-x86_64
20,1,60207.391,1.672,1.003,4.194,597.9332338117757,52.44383382743044,36000,2.0.64,windows-x86_64
20,2,59962.246,1.666,0.93,3.873,600.3777777103279,52.44383382743044,36000,2.0.64,windows-x86_64
20,3,59786.782,1.661,1.008,4.193,602.1397840077761,52.44383382743044,36000,2.0.64,windows-x86_64
20,4,59449.732,1.651,0.991,4.42,605.5536129246133,52.44383382743044,36000,2.0.64,windows-x86_64
20,5,58949.875,1.637,0.992,3.818,610.6883178293423,52.44383382743044,36000,2.0.64,windows-x86_64
20,6,59749.989,1.66,0.954,3.675,602.5105711734942,52.44383382743044,36000,2.0.64,windows-x86_64
20,7,59314.762,1.648,0.968,3.555,606.9315426065436,52.44383382743044,36000,2.0.64,windows-x86_64
20,8,59320.684,1.648,0.977,3.847,606.8709524657537,52.44383382743044,36000,2.0.64,windows-x86_64
20,9,60239.384,1.673,0.998,4.105,597.6156728295894,52.44383382743044,36000,2.0.64,windows-x86_64
00_baseline,0,59156.395,1.643,0.931,4.937,608.5563530367258,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,1,58874.074,1.635,1.005,4.901,611.4745855705518,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,2,58942.476,1.637,0.976,4.237,610.7649770260754,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,3,58808.572,1.634,0.999,4.573,612.15565649171,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,4,58929.578,1.637,0.962,4.253,610.8986560195628,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,5,59036.764,1.64,0.955,4.202,609.7895203063637,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,6,58699.647,1.631,0.97,4.455,613.2915927075337,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,7,58806.913,1.634,0.921,4.431,612.1729259959624,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,8,59249.314,1.646,0.972,4.975,607.6019715603796,54.74140291817987,36000,2.0.64,windows-x86_64
00_baseline,9,58503.918,1.625,0.974,4.297,615.34340315464,54.74140291817987,36000,2.0.64,windows-x86_64
18,0,55582.305,1.544,0.926,3.495,647.6881446352396,66.86953554059131,36000,2.0.64,windows-x86_64
18,1,54437.584,1.512,0.92,3.252,661.307819979667,66.86953554059131,36000,2.0.64,windows-x86_64
18,2,54574.692,1.516,0.921,8.972,659.6464163279198,66.86953554059131,36000,2.0.64,windows-x86_64
18,3,54570.18,1.516,0.924,3.565,659.7009575559399,66.86953554059131,36000,2.0.64,windows-x86_64
18,4,54574.594,1.516,0.921,3.507,659.6476008598434,66.86953554059131,36000,2.0.64,windows-x86_64
18,5,54795.841,1.522,0.913,3.945,656.9841678312775,66.86953554059131,36000,2.0.64,windows-x86_64
18,6,54777.21,1.522,0.909,3.687,657.2076233893621,66.86953554059131,36000,2.0.64,windows-x86_64
18,7,54246.783,1.507,0.923,3.861,663.6338232259782,66.86953554059131,36000,2.0.64,windows-x86_64
18,8,54000.163,1.5,0.905,3.37,666.664654327062,66.86953554059131,36000,2.0.64,windows-x86_64
18,9,54660.474,1.518,0.913,3.357,658.611193163089,66.86953554059131,36000,2.0.64,windows-x86_64
11,0,51025.842,1.417,0.656,5.904,705.5248593448002,72.35749352980461,36000,2.0.64,windows-x86_64
11,1,52827.432,1.467,0.692,5.207,681.4641302268867,72.35749352980461,36000,2.0.64,windows-x86_64
11,2,52518.596,1.459,0.683,6.69,685.471485185933,72.35749352980461,36000,2.0.64,windows-x86_64
11,3,53052.638,1.474,0.667,6.857,678.5713464427537,72.35749352980461,36000,2.0.64,windows-x86_64
11,4,53088.61,1.475,0.671,4.843,678.1115572624711,72.35749352980461,36000,2.0.64,windows-x86_64
11,5,53193.474,1.478,0.696,5.216,676.7747487219955,72.35749352980461,36000,2.0.64,windows-x86_64
11,6,53194.774,1.478,0.676,5.529,676.7582093684616,72.35749352980461,36000,2.0.64,windows-x86_64
11,7,53344.776,1.482,0.685,5.721,674.8552098147343,72.35749352980461,36000,2.0.64,windows-x86_64
11,8,53609.508,1.489,0.684,5.902,671.5226709411323,72.35749352980461,36000,2.0.64,windows-x86_64
11,9,53034.442,1.473,0.681,5.054,678.8041627740704,72.35749352980461,36000,2.0.64,windows-x86_64
17,0,53427.855,1.484,0.583,4.157,673.8058265674338,75.12056905561509,36000,2.0.64,windows-x86_64
17,1,52766.258,1.466,0.63,4.467,682.2541784183369,75.12056905561509,36000,2.0.64,windows-x86_64
17,2,51751.777,1.438,0.597,4,695.6282873146558,75.12056905561509,36000,2.0.64,windows-x86_64
17,3,51903.247,1.442,0.608,3.952,693.5982251746215,75.12056905561509,36000,2.0.64,windows-x86_64
17,4,51656.527,1.435,0.618,4.277,696.9109634490139,75.12056905561509,36000,2.0.64,windows-x86_64
17,5,51508.652,1.431,0.617,3.625,698.9117090464724,75.12056905561509,36000,2.0.64,windows-x86_64
17,6,52122.2,1.448,0.582,4.345,690.6845835363819,75.12056905561509,36000,2.0.64,windows-x86_64
17,7,51933.84,1.443,0.553,4.326,693.1896428224834,75.12056905561509,36000,2.0.64,windows-x86_64
17,8,51443.553,1.429,0.588,4.572,699.7961435517489,75.12056905561509,36000,2.0.64,windows-x86_64
17,9,52006.881,1.445,0.582,3.871,692.2160934819375,75.12056905561509,36000,2.0.64,windows-x86_64
