entity,count
assembling_machine_3,112
average_buildings_per_beacon,1.5634218289085546
beacon,1356
beacons_per_assembling_machine_3,5.142857142857143
beacons_per_assembling_machine_3_electric_furnace_recipe,4
beacons_per_assembling_machine_3_production_science_pack_recipe,7
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_chemical_plant,2
beacons_per_chemical_plant_plastic_bar_recipe,2
beacons_per_electric_furnace,11
beacons_per_electromagnetic_plant,7.6
beacons_per_electromagnetic_plant_advanced_circuit_recipe,9
beacons_per_electromagnetic_plant_copper_cable_recipe,6
beacons_per_electromagnetic_plant_electronic_circuit_recipe,6
beacons_per_electromagnetic_plant_productivity_module_recipe,6
beacons_per_foundry,9.333333333333334
beacons_per_foundry_casting_copper_cable_recipe,9
beacons_per_foundry_casting_copper_recipe,6
beacons_per_foundry_casting_iron_recipe,9
beacons_per_foundry_casting_iron_stick_recipe,9
beacons_per_foundry_casting_steel_recipe,13
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,8
beacons_per_oil_refinery_basic_oil_processing_recipe,8
big_mining_drill,50
cargo_wagon,32
chemical_plant,16
constant_combinator,36
electric_energy_interface,1
electric_furnace,32
electromagnetic_plant,60
express_splitter,4
express_transport_belt,176
express_underground_belt,80
foundry,72
infinity_chest,5
infinity_pipe,1
inserter_all,953
inserter_all_direct_insertion,168
inserter_all_direct_insertion_percent,17.628541448058762
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_belt,392
inserter_all_from_building,400
inserter_all_from_cargo_wagon,320
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,64
inserter_all_from_cargo_wagon_to_turbo_transport_belt,96
inserter_all_from_chemical_plant_plastic_bar,16
inserter_all_from_chemical_plant_plastic_bar_to_cargo_wagon,16
inserter_all_from_chest,161
inserter_all_from_electric_furnace_undefined,32
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,32
inserter_all_from_electromagnetic_plant_advanced_circuit,32
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,32
inserter_all_from_electromagnetic_plant_copper_cable,32
inserter_all_from_electromagnetic_plant_copper_cable_to_cargo_wagon,32
inserter_all_from_electromagnetic_plant_electronic_circuit,16
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,16
inserter_all_from_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_underground_belt,16
inserter_all_from_express_transport_belt,8
inserter_all_from_express_transport_belt_to_chemical_plant_plastic_bar,8
inserter_all_from_express_underground_belt,8
inserter_all_from_express_underground_belt_to_chemical_plant_plastic_bar,8
inserter_all_from_foundry_casting_copper,16
inserter_all_from_foundry_casting_copper_cable,16
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,16
inserter_all_from_foundry_casting_copper_to_electromagnetic_plant_copper_cable,16
inserter_all_from_foundry_casting_iron,8
inserter_all_from_foundry_casting_iron_stick,32
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,32
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,8
inserter_all_from_foundry_casting_steel,40
inserter_all_from_foundry_casting_steel_to_cargo_wagon,32
inserter_all_from_foundry_casting_steel_to_turbo_underground_belt,8
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_turbo_transport_belt,168
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,64
inserter_all_from_turbo_transport_belt_to_cargo_wagon,32
inserter_all_from_turbo_transport_belt_to_electric_furnace_undefined,64
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,6
inserter_all_from_turbo_underground_belt,208
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_electric_furnace,48
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_rail,128
inserter_all_from_turbo_underground_belt_to_electromagnetic_plant_productivity_module,32
inserter_all_to_assembling_machine_3_electric_furnace,80
inserter_all_to_assembling_machine_3_production_science_pack,128
inserter_all_to_assembling_machine_3_rail,160
inserter_all_to_belt,233
inserter_all_to_building,592
inserter_all_to_cargo_wagon,256
inserter_all_to_chemical_plant_plastic_bar,16
inserter_all_to_chest,128
inserter_all_to_electric_furnace_undefined,64
inserter_all_to_electromagnetic_plant_advanced_circuit,64
inserter_all_to_electromagnetic_plant_copper_cable,16
inserter_all_to_electromagnetic_plant_electronic_circuit,24
inserter_all_to_electromagnetic_plant_productivity_module,32
inserter_all_to_foundry_molten_copper,2
inserter_all_to_foundry_molten_iron,6
inserter_all_to_turbo_transport_belt,209
inserter_all_to_turbo_underground_belt,24
medium_electric_pole,216
oil_refinery,4
pipe,1407
pipe_to_ground,592
recipe_advanced_circuit,32
recipe_basic_oil_processing,4
recipe_casting_copper,8
recipe_casting_copper_cable,4
recipe_casting_iron,4
recipe_casting_iron_stick,32
recipe_casting_steel,16
recipe_copper_cable,8
recipe_electric_furnace,16
recipe_electronic_circuit,4
recipe_molten_copper,2
recipe_molten_iron,6
recipe_plastic_bar,16
recipe_production_science_pack,64
recipe_productivity_module,16
recipe_rail,32
stack_inserter,953
stack_inserter_direct_insertion,168
stack_inserter_direct_insertion_percent,17.628541448058762
stack_inserter_from_assembling_machine_3_electric_furnace,16
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
stack_inserter_from_assembling_machine_3_production_science_pack,64
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
stack_inserter_from_assembling_machine_3_rail,64
stack_inserter_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
stack_inserter_from_belt,392
stack_inserter_from_building,400
stack_inserter_from_cargo_wagon,320
stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,64
stack_inserter_from_cargo_wagon_to_turbo_transport_belt,96
stack_inserter_from_chemical_plant_plastic_bar,16
stack_inserter_from_chemical_plant_plastic_bar_to_cargo_wagon,16
stack_inserter_from_chest,161
stack_inserter_from_electric_furnace_undefined,32
stack_inserter_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,32
stack_inserter_from_electromagnetic_plant_advanced_circuit,32
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,32
stack_inserter_from_electromagnetic_plant_copper_cable,32
stack_inserter_from_electromagnetic_plant_copper_cable_to_cargo_wagon,32
stack_inserter_from_electromagnetic_plant_electronic_circuit,16
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,16
stack_inserter_from_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_underground_belt,16
stack_inserter_from_express_transport_belt,8
stack_inserter_from_express_transport_belt_to_chemical_plant_plastic_bar,8
stack_inserter_from_express_underground_belt,8
stack_inserter_from_express_underground_belt_to_chemical_plant_plastic_bar,8
stack_inserter_from_foundry_casting_copper,16
stack_inserter_from_foundry_casting_copper_cable,16
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,16
stack_inserter_from_foundry_casting_copper_to_electromagnetic_plant_copper_cable,16
stack_inserter_from_foundry_casting_iron,8
stack_inserter_from_foundry_casting_iron_stick,32
stack_inserter_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,32
stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,8
stack_inserter_from_foundry_casting_steel,40
stack_inserter_from_foundry_casting_steel_to_cargo_wagon,32
stack_inserter_from_foundry_casting_steel_to_turbo_underground_belt,8
stack_inserter_from_infinity_chest,1
stack_inserter_from_infinity_chest_to_turbo_transport_belt,1
stack_inserter_from_turbo_transport_belt,168
stack_inserter_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,64
stack_inserter_from_turbo_transport_belt_to_cargo_wagon,32
stack_inserter_from_turbo_transport_belt_to_electric_furnace_undefined,64
stack_inserter_from_turbo_transport_belt_to_foundry_molten_copper,2
stack_inserter_from_turbo_transport_belt_to_foundry_molten_iron,6
stack_inserter_from_turbo_underground_belt,208
stack_inserter_from_turbo_underground_belt_to_assembling_machine_3_electric_furnace,48
stack_inserter_from_turbo_underground_belt_to_assembling_machine_3_rail,128
stack_inserter_from_turbo_underground_belt_to_electromagnetic_plant_productivity_module,32
stack_inserter_to_assembling_machine_3_electric_furnace,80
stack_inserter_to_assembling_machine_3_production_science_pack,128
stack_inserter_to_assembling_machine_3_rail,160
