entity,count
assembling_machine_3,104
assembling_machine_3_circuit_enabled,56
average_buildings_per_beacon,2.3783185840707963
beacon,904
beacons_per_assembling_machine_3,7
beacons_per_assembling_machine_3_electric_furnace_recipe,5
beacons_per_assembling_machine_3_production_science_pack_recipe,10
beacons_per_assembling_machine_3_rail_recipe,2.75
beacons_per_cryogenic_plant,3
beacons_per_cryogenic_plant_plastic_bar_recipe,3
beacons_per_electric_furnace,6.958333333333333
beacons_per_electromagnetic_plant,3.625
beacons_per_electromagnetic_plant_advanced_circuit_recipe,4.625
beacons_per_electromagnetic_plant_electronic_circuit_recipe,1.8333333333333333
beacons_per_electromagnetic_plant_productivity_module_recipe,6
beacons_per_foundry,5.078431372549019
beacons_per_foundry_casting_copper_cable_recipe,3.1875
beacons_per_foundry_casting_iron_recipe,1.3333333333333333
beacons_per_foundry_casting_iron_stick_recipe,9.5
beacons_per_foundry_casting_steel_recipe,8
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,11.5
beacons_per_oil_refinery_basic_oil_processing_recipe,11.5
big_electric_pole,2
big_mining_drill,76
constant_combinator,1
cryogenic_plant,24
decider_combinator,24
electric_energy_interface,1
electric_furnace,48
electromagnetic_plant,112
express_underground_belt,14
foundry,102
infinity_chest,5
infinity_pipe,1
inserter_all,761
inserter_all_direct_insertion,456
inserter_all_direct_insertion_circuit_enabled,320
inserter_all_direct_insertion_percent,59.92115637319316
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,56
inserter_all_from_assembling_machine_3_rail,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
inserter_all_from_belt,184
inserter_all_from_belt_circuit_enabled,120
inserter_all_from_building,576
inserter_all_from_building_circuit_enabled,440
inserter_all_from_chest,1
inserter_all_from_cryogenic_plant_plastic_bar,48
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,48
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,48
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,48
inserter_all_from_electric_furnace,48
inserter_all_from_electric_furnace_circuit_enabled,48
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace,48
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace_circuit_enabled,48
inserter_all_from_electromagnetic_plant_advanced_circuit,48
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,48
inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,24
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,24
inserter_all_from_electromagnetic_plant_advanced_circuit_to_underground_input,8
inserter_all_from_electromagnetic_plant_advanced_circuit_to_underground_input_circuit_enabled,8
inserter_all_from_electromagnetic_plant_electronic_circuit,64
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,64
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,48
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,48
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_foundry_casting_copper_cable,96
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,96
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,48
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,48
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,48
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit_circuit_enabled,48
inserter_all_from_foundry_casting_iron,48
inserter_all_from_foundry_casting_iron_circuit_enabled,48
inserter_all_from_foundry_casting_iron_stick,32
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,32
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,48
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit_circuit_enabled,48
inserter_all_from_foundry_casting_steel,48
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,16
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,32
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_turbo_transport_belt,99
inserter_all_from_turbo_transport_belt_circuit_enabled,83
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,51
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,51
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,8
inserter_all_from_turbo_transport_belt_to_electric_furnace,32
inserter_all_from_turbo_transport_belt_to_electric_furnace_circuit_enabled,32
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,6
inserter_all_from_underground_input,20
inserter_all_from_underground_input_circuit_enabled,12
inserter_all_from_underground_input_to_assembling_machine_3_production_science_pack,4
inserter_all_from_underground_input_to_assembling_machine_3_production_science_pack_circuit_enabled,4
inserter_all_from_underground_input_to_cryogenic_plant_plastic_bar,8
inserter_all_from_underground_input_to_electric_furnace,8
inserter_all_from_underground_input_to_electric_furnace_circuit_enabled,8
inserter_all_from_underground_output,65
inserter_all_from_underground_output_circuit_enabled,25
inserter_all_from_underground_output_to_assembling_machine_3_electric_furnace,16
inserter_all_from_underground_output_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_underground_output_to_assembling_machine_3_production_science_pack,1
inserter_all_from_underground_output_to_assembling_machine_3_production_science_pack_circuit_enabled,1
inserter_all_from_underground_output_to_assembling_machine_3_rail,32
inserter_all_from_underground_output_to_cryogenic_plant_plastic_bar,8
inserter_all_from_underground_output_to_electric_furnace,8
inserter_all_from_underground_output_to_electric_furnace_circuit_enabled,8
inserter_all_to_assembling_machine_3_electric_furnace,80
inserter_all_to_assembling_machine_3_electric_furnace_circuit_enabled,64
inserter_all_to_assembling_machine_3_production_science_pack,112
inserter_all_to_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_to_assembling_machine_3_rail,96
inserter_all_to_belt,121
inserter_all_to_belt_circuit_enabled,120
inserter_all_to_building,640
inserter_all_to_building_circuit_enabled,440
inserter_all_to_cryogenic_plant_plastic_bar,24
inserter_all_to_electric_furnace,48
inserter_all_to_electric_furnace_circuit_enabled,48
inserter_all_to_electromagnetic_plant_advanced_circuit,144
inserter_all_to_electromagnetic_plant_advanced_circuit_circuit_enabled,144
inserter_all_to_electromagnetic_plant_electronic_circuit,96
inserter_all_to_electromagnetic_plant_electronic_circuit_circuit_enabled,96
inserter_all_to_electromagnetic_plant_productivity_module,32
inserter_all_to_electromagnetic_plant_productivity_module_circuit_enabled,32
inserter_all_to_foundry_molten_copper,2
inserter_all_to_foundry_molten_iron,6
inserter_all_to_turbo_transport_belt,113
inserter_all_to_turbo_transport_belt_circuit_enabled,112
inserter_all_to_underground_input,8
inserter_all_to_underground_input_circuit_enabled,8
medium_electric_pole,206
oil_refinery,8
pipe,701
pipe_to_ground,1074
radar,3
recipe_advanced_circuit,48
recipe_basic_oil_processing,8
recipe_casting_copper_cable,32
recipe_casting_iron,24
recipe_casting_iron_stick,16
recipe_casting_steel,22
recipe_electric_furnace,16
recipe_electronic_circuit,48
recipe_molten_copper,2
recipe_molten_iron,6
recipe_plastic_bar,24
recipe_production_science_pack,56
recipe_productivity_module,16
recipe_rail,32
stack_inserter,761
stack_inserter_circuit_enabled,560
stack_inserter_direct_insertion,456
stack_inserter_direct_insertion_circuit_enabled,320
stack_inserter_direct_insertion_percent,59.92115637319316
stack_inserter_from_assembling_machine_3_electric_furnace,16
stack_inserter_from_assembling_machine_3_electric_furnace_circuit_enabled,16
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
stack_inserter_from_assembling_machine_3_production_science_pack,56
stack_inserter_from_assembling_machine_3_production_science_pack_circuit_enabled,56
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,56
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,56
stack_inserter_from_assembling_machine_3_rail,56
stack_inserter_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
stack_inserter_from_belt,184
stack_inserter_from_belt_circuit_enabled,120
stack_inserter_from_building,576
stack_inserter_from_building_circuit_enabled,440
stack_inserter_from_chest,1
stack_inserter_from_cryogenic_plant_plastic_bar,48
stack_inserter_from_cryogenic_plant_plastic_bar_circuit_enabled,48
stack_inserter_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,48
stack_inserter_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,48
stack_inserter_from_electric_furnace,48
stack_inserter_from_electric_furnace_circuit_enabled,48
stack_inserter_from_electric_furnace_to_assembling_machine_3_electric_furnace,48
stack_inserter_from_electric_furnace_to_assembling_machine_3_electric_furnace_circuit_enabled,48
stack_inserter_from_electromagnetic_plant_advanced_circuit,48
stack_inserter_from_electromagnetic_plant_advanced_circuit_circuit_enabled,48
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,16
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,24
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,24
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_underground_input,8
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_underground_input_circuit_enabled,8
stack_inserter_from_electromagnetic_plant_electronic_circuit,64
stack_inserter_from_electromagnetic_plant_electronic_circuit_circuit_enabled,64
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,48
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,48
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,16
stack_inserter_from_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_productivity_module_circuit_enabled,16
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,16
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,16
stack_inserter_from_foundry_casting_copper_cable,96
stack_inserter_from_foundry_casting_copper_cable_circuit_enabled,96
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,48
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,48
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,48
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit_circuit_enabled,48
stack_inserter_from_foundry_casting_iron,48
stack_inserter_from_foundry_casting_iron_circuit_enabled,48
stack_inserter_from_foundry_casting_iron_stick,32
stack_inserter_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,32
stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,48
stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit_circuit_enabled,48
stack_inserter_from_foundry_casting_steel,48
stack_inserter_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,16
stack_inserter_from_foundry_casting_steel_to_assembling_machine_3_rail,32
stack_inserter_from_infinity_chest,1
stack_inserter_from_infinity_chest_to_turbo_transport_belt,1
stack_inserter_from_turbo_transport_belt,99
stack_inserter_from_turbo_transport_belt_circuit_enabled,83
stack_inserter_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,51
stack_inserter_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,51
stack_inserter_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,8
stack_inserter_from_turbo_transport_belt_to_electric_furnace,32
stack_inserter_from_turbo_transport_belt_to_electric_furnace_circuit_enabled,32
stack_inserter_from_turbo_transport_belt_to_foundry_molten_copper,2
stack_inserter_from_turbo_transport_belt_to_foundry_molten_iron,6
stack_inserter_from_underground_input,20
stack_inserter_from_underground_input_circuit_enabled,12
stack_inserter_from_underground_input_to_assembling_machine_3_production_science_pack,4
stack_inserter_from_underground_input_to_assembling_machine_3_production_science_pack_circuit_enabled,4
stack_inserter_from_underground_input_to_cryogenic_plant_plastic_bar,8
stack_inserter_from_underground_input_to_electric_furnace,8
stack_inserter_from_underground_input_to_electric_furnace_circuit_enabled,8
stack_inserter_from_underground_output,65
stack_inserter_from_underground_output_circuit_enabled,25
stack_inserter_from_underground_output_to_assembling_machine_3_electric_furnace,16
stack_inserter_from_underground_output_to_assembling_machine_3_electric_furnace_circuit_enabled,16
stack_inserter_from_underground_output_to_assembling_machine_3_production_science_pack,1
