entity,count
arithmetic_combinator,8
assembling_machine_3,128
average_buildings_per_beacon,2.5588235294117645
beacon,816
beacons_per_assembling_machine_3,6.625
beacons_per_assembling_machine_3_electric_furnace_recipe,4
beacons_per_assembling_machine_3_production_science_pack_recipe,11
beacons_per_assembling_machine_3_rail_recipe,3
beacons_per_cryogenic_plant,11
beacons_per_cryogenic_plant_plastic_bar_recipe,11
beacons_per_electric_furnace,5.833333333333333
beacons_per_electromagnetic_plant,3.4285714285714284
beacons_per_electromagnetic_plant_advanced_circuit_recipe,4.333333333333333
beacons_per_electromagnetic_plant_copper_cable_recipe,2.6666666666666665
beacons_per_electromagnetic_plant_electronic_circuit_recipe,1.3333333333333333
beacons_per_electromagnetic_plant_productivity_module_recipe,5
beacons_per_foundry,5.636363636363637
beacons_per_foundry_casting_copper_recipe,4
beacons_per_foundry_casting_iron_recipe,4
beacons_per_foundry_casting_iron_stick_recipe,5.714285714285714
beacons_per_foundry_casting_steel_recipe,6
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,9
beacons_per_oil_refinery_basic_oil_processing_recipe,9
big_mining_drill,50
constant_combinator,68
cryogenic_plant,4
decider_combinator,28
electric_energy_interface,1
electric_furnace,48
electromagnetic_plant,112
foundry,88
infinity_chest,5
infinity_pipe,1
inserter_all,1005
inserter_all_direct_insertion,536
inserter_all_direct_insertion_circuit_enabled,192
inserter_all_direct_insertion_percent,53.333333333333336
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,8
inserter_all_from_assembling_machine_3_production_science_pack_circuit_set_filters,48
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,8
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_set_filters,48
inserter_all_from_assembling_machine_3_rail,112
inserter_all_from_assembling_machine_3_rail_circuit_enabled,96
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,112
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,96
inserter_all_from_belt,324
inserter_all_from_belt_circuit_enabled,164
inserter_all_from_building,680
inserter_all_from_building_circuit_enabled,232
inserter_all_from_building_circuit_set_filters,48
inserter_all_from_chest,1
inserter_all_from_cryogenic_plant_plastic_bar,16
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,16
inserter_all_from_electric_furnace_undefined,48
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,48
inserter_all_from_electromagnetic_plant_advanced_circuit,48
inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,32
inserter_all_from_electromagnetic_plant_copper_cable,112
