entity,count
arithmetic_combinator,12
assembling_machine_3,120
average_buildings_per_beacon,2.1087719298245613
beacon,1140
beacons_per_assembling_machine_3,4.6
beacons_per_assembling_machine_3_electric_furnace_recipe,3
beacons_per_assembling_machine_3_production_science_pack_recipe,7
beacons_per_assembling_machine_3_rail_recipe,1
beacons_per_cryogenic_plant,5
beacons_per_cryogenic_plant_plastic_bar_recipe,5
beacons_per_electric_furnace,11
beacons_per_electromagnetic_plant,9.647058823529411
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10
beacons_per_electromagnetic_plant_electronic_circuit_recipe,7.2
beacons_per_electromagnetic_plant_productivity_module_recipe,12
beacons_per_foundry,5.384615384615385
beacons_per_foundry_casting_copper_cable_recipe,5.4
beacons_per_foundry_casting_iron_recipe,5.333333333333333
beacons_per_foundry_casting_iron_stick_recipe,4
beacons_per_foundry_casting_steel_recipe,5.714285714285714
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,7
beacons_per_oil_refinery_basic_oil_processing_recipe,7
big_electric_pole,2
big_mining_drill,74
cargo_wagon,16
constant_combinator,108
cryogenic_plant,16
decider_combinator,84
display_panel,4
electric_energy_interface,1
electric_furnace,48
electromagnetic_plant,68
foundry,104
infinity_chest,5
infinity_pipe,1
inserter_all,889
inserter_all_chest_to_chest,24
inserter_all_direct_insertion,324
inserter_all_direct_insertion_circuit_enabled,192
inserter_all_direction_insertion_percent,36.445444319460066
inserter_all_from_assembling_machine_3_electric_furnace,24
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,24
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,24
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,24
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,128
inserter_all_from_assembling_machine_3_rail_circuit_enabled,128
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,128
