entity,count
assembling_machine_3,112
average_buildings_per_beacon,2.552752293577982
beacon,872
beacons_per_assembling_machine_3,6
beacons_per_assembling_machine_3_electric_furnace_recipe,6
beacons_per_assembling_machine_3_production_science_pack_recipe,8
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_cryogenic_plant,7
beacons_per_cryogenic_plant_plastic_bar_recipe,7
beacons_per_electric_furnace,5
beacons_per_electromagnetic_plant,7.777777777777778
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10
beacons_per_electromagnetic_plant_electronic_circuit_recipe,4.666666666666667
beacons_per_electromagnetic_plant_productivity_module_recipe,8
beacons_per_foundry,5.452830188679245
beacons_per_foundry_casting_copper_cable_recipe,5.4
beacons_per_foundry_casting_iron_recipe,6
beacons_per_foundry_casting_iron_stick_recipe,5.25
beacons_per_foundry_casting_steel_recipe,4.666666666666667
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_electric_pole,2
big_mining_drill,12
cargo_wagon,32
constant_combinator,88
cryogenic_plant,16
decider_combinator,80
electric_energy_interface,1
electric_furnace,48
electric_mining_drill,80
electric_mining_drill_circuit_enabled,80
electromagnetic_plant,72
foundry,106
infinity_chest,5
infinity_pipe,1
inserter_all,651
inserter_all_direct_insertion,336
inserter_all_direct_insertion_circuit_enabled,292
inserter_all_direction_insertion_percent,51.61290322580645
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_belt,122
inserter_all_from_belt_circuit_enabled,96
inserter_all_from_building,496
inserter_all_from_building_circuit_enabled,452
inserter_all_from_cargo_wagon,64
inserter_all_from_cargo_wagon_circuit_enabled,64
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_chest,33
inserter_all_from_chest_circuit_enabled,32
inserter_all_from_cryogenic_plant_plastic_bar,32
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,32
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electric_furnace_undefined,48
inserter_all_from_electric_furnace_undefined_circuit_enabled,48
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,48
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace_circuit_enabled,48
inserter_all_from_electromagnetic_plant_advanced_circuit,32
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,32
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,32
inserter_all_from_electromagnetic_plant_electronic_circuit,48
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,48
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,32
inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,32
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_underground_belt,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_underground_belt_circuit_enabled,16
inserter_all_from_foundry_casting_copper_cable,56
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,32
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,32
