entity,count
assembling_machine_3,112
average_buildings_per_beacon,2.5794392523364484
beacon,856
beacons_per_assembling_machine_3,5.428571428571429
beacons_per_assembling_machine_3_electric_furnace_recipe,6
beacons_per_assembling_machine_3_production_science_pack_recipe,7
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_cryogenic_plant,7
beacons_per_cryogenic_plant_plastic_bar_recipe,7
beacons_per_electric_furnace,6.333333333333333
beacons_per_electromagnetic_plant,8.11111111111111
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10
beacons_per_electromagnetic_plant_electronic_circuit_recipe,4.333333333333333
beacons_per_electromagnetic_plant_productivity_module_recipe,10
beacons_per_foundry,5.48
beacons_per_foundry_casting_copper_cable_recipe,6.1
beacons_per_foundry_casting_iron_recipe,8.666666666666666
beacons_per_foundry_casting_iron_stick_recipe,2
beacons_per_foundry_casting_steel_recipe,4.666666666666667
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,13
beacons_per_oil_refinery_basic_oil_processing_recipe,13
big_electric_pole,3
big_mining_drill,10
cargo_wagon,32
constant_combinator,33
cryogenic_plant,16
decider_combinator,40
electric_energy_interface,1
electric_furnace,48
electric_mining_drill,80
electromagnetic_plant,72
foundry,100
infinity_chest,5
infinity_pipe,1
inserter_all,673
inserter_all_direct_insertion,280
inserter_all_direct_insertion_circuit_enabled,224
inserter_all_direct_insertion_percent,41.60475482912333
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_belt,152
inserter_all_from_belt_circuit_enabled,128
inserter_all_from_building,488
inserter_all_from_building_circuit_enabled,432
inserter_all_from_cargo_wagon,64
inserter_all_from_cargo_wagon_circuit_enabled,64
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,32
