entity,count
assembling_machine_3,104
average_buildings_per_beacon,2.094488188976378
beacon,1016
beacons_per_assembling_machine_3,6.769230769230769
beacons_per_assembling_machine_3_electric_furnace_recipe,3
beacons_per_assembling_machine_3_production_science_pack_recipe,10
beacons_per_assembling_machine_3_rail_recipe,3
beacons_per_chemical_plant,3
beacons_per_chemical_plant_plastic_bar_recipe,3
beacons_per_electric_furnace,10.5
beacons_per_electromagnetic_plant,4.583333333333333
beacons_per_electromagnetic_plant_advanced_circuit_recipe,6
beacons_per_electromagnetic_plant_electronic_circuit_recipe,2.2
beacons_per_electromagnetic_plant_productivity_module_recipe,7
beacons_per_foundry,6.45
beacons_per_foundry_casting_copper_cable_recipe,2.6
beacons_per_foundry_casting_iron_recipe,3.3333333333333335
beacons_per_foundry_casting_iron_stick_recipe,8.5
beacons_per_foundry_casting_steel_recipe,9.666666666666666
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,15
beacons_per_oil_refinery_basic_oil_processing_recipe,15
big_electric_pole,4
big_mining_drill,58
chemical_plant,24
constant_combinator,144
decider_combinator,96
display_panel,12
electric_energy_interface,1
electric_furnace,32
electromagnetic_plant,96
foundry,80
infinity_chest,5
infinity_pipe,1
inserter_all,785
inserter_all_direct_insertion,376
inserter_all_direct_insertion_circuit_enabled,376
inserter_all_direct_insertion_percent,47.898089171974526
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,56
inserter_all_from_assembling_machine_3_rail,56
inserter_all_from_assembling_machine_3_rail_circuit_enabled,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_belt,200
inserter_all_from_belt_circuit_enabled,136
inserter_all_from_building,536
inserter_all_from_building_circuit_enabled,520
inserter_all_from_chemical_plant_plastic_bar,40
inserter_all_from_chemical_plant_plastic_bar_circuit_enabled,40
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,40
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,40
inserter_all_from_chest,49
inserter_all_from_chest_circuit_enabled,48
inserter_all_from_electric_furnace_undefined,32
inserter_all_from_electric_furnace_undefined_circuit_enabled,32
inserter_all_from_electric_furnace_undefined_to_steel_chest,32
inserter_all_from_electric_furnace_undefined_to_steel_chest_circuit_enabled,32
inserter_all_from_electromagnetic_plant_advanced_circuit,40
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,24
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest,16
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,24
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,24
inserter_all_from_electromagnetic_plant_electronic_circuit,56
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,56
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,40
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,40
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_foundry_casting_copper_cable,104
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,104
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,64
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,64
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,40
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit_circuit_enabled,40
inserter_all_from_foundry_casting_iron,40
inserter_all_from_foundry_casting_iron_circuit_enabled,40
inserter_all_from_foundry_casting_iron_stick,32
inserter_all_from_foundry_casting_iron_stick_circuit_enabled,32
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,32
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail_circuit_enabled,32
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,40
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit_circuit_enabled,40
inserter_all_from_foundry_casting_steel,48
inserter_all_from_foundry_casting_steel_circuit_enabled,48
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,16
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,32
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail_circuit_enabled,32
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_steel_chest,48
inserter_all_from_steel_chest_circuit_enabled,48
inserter_all_from_steel_chest_to_assembling_machine_3_electric_furnace,32
inserter_all_from_steel_chest_to_assembling_machine_3_electric_furnace_circuit_enabled,32
inserter_all_from_steel_chest_to_electromagnetic_plant_productivity_module,16
inserter_all_from_steel_chest_to_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_turbo_transport_belt,112
inserter_all_from_turbo_transport_belt_circuit_enabled,72
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace,16
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,56
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_turbo_transport_belt_to_electric_furnace_undefined,32
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,6
inserter_all_from_turbo_underground_belt,88
inserter_all_from_turbo_underground_belt_circuit_enabled,64
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_rail,64
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_turbo_underground_belt_to_chemical_plant_plastic_bar,24
inserter_all_to_assembling_machine_3_electric_furnace,64
inserter_all_to_assembling_machine_3_electric_furnace_circuit_enabled,64
inserter_all_to_assembling_machine_3_production_science_pack,112
inserter_all_to_assembling_machine_3_production_science_pack_circuit_enabled,112
inserter_all_to_assembling_machine_3_rail,128
inserter_all_to_assembling_machine_3_rail_circuit_enabled,128
inserter_all_to_belt,113
inserter_all_to_belt_circuit_enabled,112
inserter_all_to_building,624
inserter_all_to_building_circuit_enabled,560
inserter_all_to_chemical_plant_plastic_bar,24
inserter_all_to_chest,48
inserter_all_to_chest_circuit_enabled,32
inserter_all_to_electric_furnace_undefined,32
inserter_all_to_electromagnetic_plant_advanced_circuit,144
inserter_all_to_electromagnetic_plant_advanced_circuit_circuit_enabled,144
inserter_all_to_electromagnetic_plant_electronic_circuit,80
inserter_all_to_electromagnetic_plant_electronic_circuit_circuit_enabled,80
inserter_all_to_electromagnetic_plant_productivity_module,32
inserter_all_to_electromagnetic_plant_productivity_module_circuit_enabled,32
inserter_all_to_foundry_molten_copper,2
inserter_all_to_foundry_molten_iron,6
inserter_all_to_steel_chest,48
inserter_all_to_steel_chest_circuit_enabled,32
inserter_all_to_turbo_transport_belt,113
inserter_all_to_turbo_transport_belt_circuit_enabled,112
medium_electric_pole,112
oil_refinery,4
oil_refinery_circuit_enabled,4
pipe,733
pipe_to_ground,550
recipe_advanced_circuit,40
recipe_basic_oil_processing,4
recipe_casting_copper_cable,20
recipe_casting_iron,12
recipe_casting_iron_stick,16
recipe_casting_steel,24
recipe_electric_furnace,16
recipe_electronic_circuit,40
recipe_molten_copper,2
recipe_molten_iron,6
recipe_plastic_bar,24
recipe_production_science_pack,56
recipe_productivity_module,16
recipe_rail,32
stack_inserter,785
stack_inserter_circuit_enabled,704
stack_inserter_direct_insertion,376
stack_inserter_direct_insertion_circuit_enabled,376
stack_inserter_direct_insertion_percent,47.898089171974526
stack_inserter_from_assembling_machine_3_electric_furnace,16
stack_inserter_from_assembling_machine_3_electric_furnace_circuit_enabled,16
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
stack_inserter_from_assembling_machine_3_production_science_pack,56
stack_inserter_from_assembling_machine_3_production_science_pack_circuit_enabled,56
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,56
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,56
stack_inserter_from_assembling_machine_3_rail,56
stack_inserter_from_assembling_machine_3_rail_circuit_enabled,56
stack_inserter_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
stack_inserter_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,56
stack_inserter_from_belt,200
stack_inserter_from_belt_circuit_enabled,136
stack_inserter_from_building,536
stack_inserter_from_building_circuit_enabled,520
stack_inserter_from_chemical_plant_plastic_bar,40
stack_inserter_from_chemical_plant_plastic_bar_circuit_enabled,40
stack_inserter_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,40
stack_inserter_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,40
stack_inserter_from_chest,49
stack_inserter_from_chest_circuit_enabled,48
stack_inserter_from_electric_furnace_undefined,32
stack_inserter_from_electric_furnace_undefined_circuit_enabled,32
stack_inserter_from_electric_furnace_undefined_to_steel_chest,32
stack_inserter_from_electric_furnace_undefined_to_steel_chest_circuit_enabled,32
stack_inserter_from_electromagnetic_plant_advanced_circuit,40
stack_inserter_from_electromagnetic_plant_advanced_circuit_circuit_enabled,24
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_steel_chest,16
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,24
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,24
stack_inserter_from_electromagnetic_plant_electronic_circuit,56
stack_inserter_from_electromagnetic_plant_electronic_circuit_circuit_enabled,56
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,40
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,40
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,16
stack_inserter_from_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_productivity_module_circuit_enabled,16
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,16
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,16
stack_inserter_from_foundry_casting_copper_cable,104
stack_inserter_from_foundry_casting_copper_cable_circuit_enabled,104
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,64
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,64
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,40
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit_circuit_enabled,40
stack_inserter_from_foundry_casting_iron,40
stack_inserter_from_foundry_casting_iron_circuit_enabled,40
stack_inserter_from_foundry_casting_iron_stick,32
stack_inserter_from_foundry_casting_iron_stick_circuit_enabled,32
stack_inserter_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,32
stack_inserter_from_foundry_casting_iron_stick_to_assembling_machine_3_rail_circuit_enabled,32
stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,40
stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit_circuit_enabled,40
stack_inserter_from_foundry_casting_steel,48
stack_inserter_from_foundry_casting_steel_circuit_enabled,48
stack_inserter_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,16
stack_inserter_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace_circuit_enabled,16
