entity,count
assembling_machine_3,104
average_buildings_per_beacon,2.59675550405562
beacon,863
beacons_per_assembling_machine_3,6.653846153846154
beacons_per_assembling_machine_3_electric_furnace_recipe,4
beacons_per_assembling_machine_3_production_science_pack_recipe,9.142857142857142
beacons_per_assembling_machine_3_rail_recipe,3.5714285714285716
beacons_per_chemical_plant,3.6666666666666665
beacons_per_chemical_plant_plastic_bar_recipe,3.6666666666666665
beacons_per_cryogenic_plant,4.333333333333333
beacons_per_cryogenic_plant_plastic_bar_recipe,4.333333333333333
beacons_per_electric_furnace,7.4
beacons_per_electromagnetic_plant,7.2105263157894735
beacons_per_electromagnetic_plant_advanced_circuit_recipe,8.75
beacons_per_electromagnetic_plant_electronic_circuit_recipe,4.625
beacons_per_electromagnetic_plant_productivity_module_recipe,10
beacons_per_foundry,6.879518072289157
beacons_per_foundry_casting_copper_cable_recipe,5.769230769230769
beacons_per_foundry_casting_iron_recipe,4.833333333333333
beacons_per_foundry_casting_iron_stick_recipe,8
beacons_per_foundry_casting_steel_recipe,8.545454545454545
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,9.5
beacons_per_oil_refinery_basic_oil_processing_recipe,9.5
big_electric_pole,4
big_mining_drill,35
big_mining_drill_circuit_enabled,24
chemical_plant,12
constant_combinator,93
cryogenic_plant,12
decider_combinator,64
electric_energy_interface,1
electric_furnace,40
electric_mining_drill,44
electric_mining_drill_circuit_enabled,44
electromagnetic_plant,76
express_underground_belt,8
foundry,83
infinity_chest,5
infinity_pipe,1
inserter_all,610
inserter_all_chest_to_chest,12
inserter_all_direct_insertion,332
inserter_all_direct_insertion_circuit_enabled,196
inserter_all_direct_insertion_percent,54.42622950819672
inserter_all_from_assembling_machine_3_electric_furnace,20
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,20
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,20
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,20
inserter_all_from_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,56
inserter_all_from_assembling_machine_3_rail,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
inserter_all_from_belt,109
inserter_all_from_belt_circuit_enabled,76
inserter_all_from_building,464
inserter_all_from_building_circuit_enabled,316
inserter_all_from_chemical_plant_plastic_bar,12
inserter_all_from_chemical_plant_plastic_bar_circuit_enabled,12
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,12
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,12
inserter_all_from_chest,37
inserter_all_from_chest_circuit_enabled,24
inserter_all_from_cryogenic_plant_plastic_bar,20
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,20
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,20
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,20
inserter_all_from_electric_furnace,40
inserter_all_from_electric_furnace_circuit_enabled,40
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace,40
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace_circuit_enabled,40
inserter_all_from_electromagnetic_plant_advanced_circuit,32
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest,12
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest_circuit_enabled,12
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,20
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,20
inserter_all_from_electromagnetic_plant_electronic_circuit,44
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,20
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,20
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,12
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_electromagnetic_plant_electronic_circuit_to_steel_chest,12
inserter_all_from_electromagnetic_plant_productivity_module,12
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,12
inserter_all_from_foundry_casting_copper_cable,64
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,32
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,32
inserter_all_from_foundry_casting_iron,32
inserter_all_from_foundry_casting_iron_stick,28
inserter_all_from_foundry_casting_iron_stick_circuit_enabled,20
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,28
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail_circuit_enabled,20
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,32
inserter_all_from_foundry_casting_steel,48
inserter_all_from_foundry_casting_steel_circuit_enabled,40
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,20
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace_circuit_enabled,20
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,28
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail_circuit_enabled,20
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_steel_chest,36
inserter_all_from_steel_chest_circuit_enabled,24
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit,12
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit_circuit_enabled,12
inserter_all_from_steel_chest_to_electromagnetic_plant_productivity_module,12
inserter_all_from_steel_chest_to_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_steel_chest_to_steel_chest,12
inserter_all_from_turbo_transport_belt,97
inserter_all_from_turbo_transport_belt_circuit_enabled,76
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace,20
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace_circuit_enabled,20
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,56
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_turbo_transport_belt_to_chemical_plant_plastic_bar,8
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,4
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,7
inserter_all_from_underground_input,2
inserter_all_from_underground_input_to_chemical_plant_plastic_bar,2
inserter_all_from_underground_output,10
inserter_all_from_underground_output_to_chemical_plant_plastic_bar,2
inserter_all_from_underground_output_to_cryogenic_plant_plastic_bar,8
inserter_all_to_assembling_machine_3_electric_furnace,80
inserter_all_to_assembling_machine_3_electric_furnace_circuit_enabled,80
inserter_all_to_assembling_machine_3_production_science_pack,112
inserter_all_to_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_to_assembling_machine_3_rail,56
inserter_all_to_assembling_machine_3_rail_circuit_enabled,40
inserter_all_to_belt,109
inserter_all_to_belt_circuit_enabled,108
inserter_all_to_building,465
inserter_all_to_building_circuit_enabled,296
inserter_all_to_chemical_plant_plastic_bar,12
inserter_all_to_chest,36
inserter_all_to_chest_circuit_enabled,12
inserter_all_to_cryogenic_plant_plastic_bar,12
inserter_all_to_electromagnetic_plant_advanced_circuit,96
inserter_all_to_electromagnetic_plant_advanced_circuit_circuit_enabled,96
inserter_all_to_electromagnetic_plant_electronic_circuit,64
inserter_all_to_electromagnetic_plant_productivity_module,24
inserter_all_to_electromagnetic_plant_productivity_module_circuit_enabled,24
inserter_all_to_foundry_molten_copper,2
inserter_all_to_foundry_molten_iron,7
inserter_all_to_steel_chest,36
inserter_all_to_steel_chest_circuit_enabled,12
inserter_all_to_turbo_transport_belt,109
inserter_all_to_turbo_transport_belt_circuit_enabled,108
medium_electric_pole,110
oil_refinery,4
pipe,816
pipe_to_ground,526
recipe_advanced_circuit,32
recipe_basic_oil_processing,4
recipe_casting_copper_cable,26
recipe_casting_iron,12
recipe_casting_iron_stick,14
recipe_casting_steel,22
recipe_electric_furnace,20
recipe_electronic_circuit,32
recipe_molten_copper,2
recipe_molten_iron,7
recipe_plastic_bar,24
recipe_production_science_pack,56
recipe_productivity_module,12
recipe_rail,28
stack_inserter,610
stack_inserter_chest_to_chest,12
stack_inserter_circuit_enabled,416
stack_inserter_direct_insertion,332
stack_inserter_direct_insertion_circuit_enabled,196
stack_inserter_direct_insertion_percent,54.42622950819672
stack_inserter_from_assembling_machine_3_electric_furnace,20
stack_inserter_from_assembling_machine_3_electric_furnace_circuit_enabled,20
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,20
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,20
stack_inserter_from_assembling_machine_3_production_science_pack,56
