entity,count
assembling_machine_3,135
average_buildings_per_beacon,2.396385542168675
beacon,830
beacons_per_assembling_machine_3,5.133333333333334
beacons_per_assembling_machine_3_electric_furnace_recipe,3
beacons_per_assembling_machine_3_production_science_pack_recipe,7
beacons_per_assembling_machine_3_rail_recipe,3
beacons_per_cryogenic_plant,3
beacons_per_cryogenic_plant_plastic_bar_recipe,3
beacons_per_electric_furnace,5
beacons_per_electromagnetic_plant,4.685714285714286
beacons_per_electromagnetic_plant_advanced_circuit_recipe,5.372093023255814
beacons_per_electromagnetic_plant_electronic_circuit_recipe,3.5869565217391304
beacons_per_electromagnetic_plant_productivity_module_recipe,6
beacons_per_foundry,3.221476510067114
beacons_per_foundry_casting_copper_cable_recipe,1.4210526315789473
beacons_per_foundry_casting_iron_recipe,1.2894736842105263
beacons_per_foundry_casting_iron_stick_recipe,4.1
beacons_per_foundry_casting_steel_recipe,4.617021276595745
beacons_per_foundry_molten_copper_recipe,13
beacons_per_foundry_molten_iron_recipe,13
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_electric_pole,1
big_mining_drill,20
cargo_wagon,288
cryogenic_plant,2
curved_rail_a,36
curved_rail_b,36
decider_combinator,4
electric_energy_interface,1
electric_furnace,54
electric_mining_drill,6
electromagnetic_plant,105
fast_inserter,8
fast_inserter_from_chest,8
fast_inserter_from_infinity_chest,8
foundry,149
infinity_chest,13
inserter_all,857
inserter_all_direct_insertion,390
inserter_all_direct_insertion_percent,45.5075845974329
inserter_all_from_assembling_machine_3_electric_furnace,27
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,27
inserter_all_from_assembling_machine_3_production_science_pack,72
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,4
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt,68
inserter_all_from_assembling_machine_3_rail,72
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,72
inserter_all_from_belt,125
inserter_all_from_building,597
inserter_all_from_cargo_wagon,252
inserter_all_from_cargo_wagon_circuit_set_filters,144
inserter_all_from_cargo_wagon_to_assembling_machine_3_rail,72
inserter_all_from_cargo_wagon_to_assembling_machine_3_rail_circuit_set_filters,72
inserter_all_from_cargo_wagon_to_electric_furnace_undefined,54
inserter_all_from_chest,135
inserter_all_from_chest_circuit_set_filters,72
inserter_all_from_cryogenic_plant_plastic_bar,20
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,19
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_underground_belt,1
inserter_all_from_electric_furnace_undefined,54
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,54
inserter_all_from_electromagnetic_plant_advanced_circuit,43
inserter_all_from_electromagnetic_plant_advanced_circuit_to_assembling_machine_3_electric_furnace,27
inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_electronic_circuit,59
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,43
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,8
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_underground_belt,8
inserter_all_from_foundry_casting_copper_cable,89
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,43
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,46
inserter_all_from_foundry_casting_iron,46
inserter_all_from_foundry_casting_iron_stick,36
inserter_all_from_foundry_casting_iron_stick_to_cargo_wagon,36
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,46
inserter_all_from_foundry_casting_steel,63
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,27
inserter_all_from_foundry_casting_steel_to_cargo_wagon,36
inserter_all_from_infinity_chest,9
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_turbo_transport_belt,121
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,72
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit,43
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,1
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,5
inserter_all_from_turbo_underground_belt,4
inserter_all_from_turbo_underground_belt_to_cryogenic_plant_plastic_bar,1
inserter_all_from_turbo_underground_belt_to_electromagnetic_plant_advanced_circuit,3
inserter_all_to_assembling_machine_3_electric_furnace,108
inserter_all_to_assembling_machine_3_production_science_pack,144
inserter_all_to_assembling_machine_3_rail,72
inserter_all_to_assembling_machine_3_rail_circuit_set_filters,72
inserter_all_to_belt,136
inserter_all_to_building,641
inserter_all_to_building_circuit_set_filters,72
inserter_all_to_cargo_wagon,144
inserter_all_to_chest,72
inserter_all_to_cryogenic_plant_plastic_bar,1
inserter_all_to_electric_furnace_undefined,54
inserter_all_to_electromagnetic_plant_advanced_circuit,132
inserter_all_to_electromagnetic_plant_electronic_circuit,92
inserter_all_to_electromagnetic_plant_productivity_module,32
inserter_all_to_foundry_molten_copper,1
inserter_all_to_foundry_molten_iron,5
inserter_all_to_turbo_transport_belt,59
inserter_all_to_turbo_underground_belt,77
locomotive,64
medium_electric_pole,148
oil_refinery,3
pipe,550
pipe_to_ground,650
pumpjack,1
rail_chain_signal,16
rail_signal,98
recipe_advanced_circuit,43
recipe_basic_oil_processing,3
recipe_casting_copper_cable,38
recipe_casting_iron,38
recipe_casting_iron_stick,20
recipe_casting_steel,47
recipe_electric_furnace,27
recipe_electronic_circuit,46
recipe_molten_copper,1
recipe_molten_iron,5
recipe_plastic_bar,2
recipe_production_science_pack,72
recipe_productivity_module,16
recipe_rail,36
stack_inserter,849
stack_inserter_circuit_set_filters,72
stack_inserter_direct_insertion,390
stack_inserter_direct_insertion_percent,45.936395759717314
stack_inserter_from_assembling_machine_3_electric_furnace,27
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,27
stack_inserter_from_assembling_machine_3_production_science_pack,72
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,4
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt,68
stack_inserter_from_assembling_machine_3_rail,72
stack_inserter_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,72
stack_inserter_from_belt,125
stack_inserter_from_building,597
stack_inserter_from_cargo_wagon,252
stack_inserter_from_cargo_wagon_circuit_set_filters,144
stack_inserter_from_cargo_wagon_to_assembling_machine_3_rail,72
stack_inserter_from_cargo_wagon_to_assembling_machine_3_rail_circuit_set_filters,72
stack_inserter_from_cargo_wagon_to_electric_furnace_undefined,54
stack_inserter_from_chest,127
stack_inserter_from_chest_circuit_set_filters,72
stack_inserter_from_cryogenic_plant_plastic_bar,20
stack_inserter_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,19
stack_inserter_from_cryogenic_plant_plastic_bar_to_turbo_underground_belt,1
stack_inserter_from_electric_furnace_undefined,54
stack_inserter_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,54
stack_inserter_from_electromagnetic_plant_advanced_circuit,43
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_assembling_machine_3_electric_furnace,27
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_electronic_circuit,59
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,43
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_productivity_module,16
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,8
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_underground_belt,8
stack_inserter_from_foundry_casting_copper_cable,89
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,43
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,46
stack_inserter_from_foundry_casting_iron,46
stack_inserter_from_foundry_casting_iron_stick,36
stack_inserter_from_foundry_casting_iron_stick_to_cargo_wagon,36
stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,46
stack_inserter_from_foundry_casting_steel,63
