entity,count
arithmetic_combinator,10
assembling_machine_3,112
average_buildings_per_beacon,2.409952606635071
beacon,844
beacons_per_assembling_machine_3,5.714285714285714
beacons_per_assembling_machine_3_electric_furnace_recipe,4
beacons_per_assembling_machine_3_production_science_pack_recipe,8
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_cryogenic_plant,5.5
beacons_per_cryogenic_plant_plastic_bar_recipe,5.5
beacons_per_electric_furnace,11
beacons_per_electromagnetic_plant,6.352941176470588
beacons_per_electromagnetic_plant_advanced_circuit_recipe,9
beacons_per_electromagnetic_plant_electronic_circuit_recipe,2.4
beacons_per_electromagnetic_plant_productivity_module_recipe,6
beacons_per_foundry,6.85
beacons_per_foundry_casting_copper_cable_recipe,4.8
beacons_per_foundry_casting_iron_recipe,5
beacons_per_foundry_casting_iron_stick_recipe,7
beacons_per_foundry_casting_steel_recipe,8.25
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,10
beacons_per_oil_refinery_basic_oil_processing_recipe,10
big_mining_drill,50
constant_combinator,24
cryogenic_plant,4
decider_combinator,28
electric_energy_interface,1
electric_furnace,32
electromagnetic_plant,68
foundry,80
infinity_chest,5
infinity_pipe,1
inserter_all,741
inserter_all_direct_insertion,328
inserter_all_direct_insertion_circuit_enabled,264
inserter_all_direction_insertion_percent,44.26450742240216
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_belt,224
inserter_all_from_belt_circuit_enabled,184
inserter_all_from_building,500
inserter_all_from_building_circuit_enabled,408
inserter_all_from_chest,17
inserter_all_from_chest_circuit_enabled,16
inserter_all_from_cryogenic_plant_plastic_bar,16
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,16
inserter_all_from_electric_furnace_undefined,32
inserter_all_from_electric_furnace_undefined_circuit_enabled,32
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,16
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace_circuit_enabled,16
