entity,count
assembling_machine_3,108
average_buildings_per_beacon,2.2150055991041433
beacon,893
beacons_per_assembling_machine_3,6.185185185185185
beacons_per_assembling_machine_3_electric_furnace_recipe,7.666666666666667
beacons_per_assembling_machine_3_production_science_pack_recipe,8
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_cryogenic_plant,7
beacons_per_cryogenic_plant_plastic_bar_recipe,7
beacons_per_electric_furnace,11
beacons_per_electromagnetic_plant,11.727272727272727
beacons_per_electromagnetic_plant_advanced_circuit_recipe,12
beacons_per_electromagnetic_plant_electronic_circuit_recipe,9
beacons_per_electromagnetic_plant_productivity_module_recipe,12
beacons_per_foundry,6.689655172413793
beacons_per_foundry_casting_copper_cable_recipe,8
beacons_per_foundry_casting_iron_recipe,7
beacons_per_foundry_casting_iron_stick_recipe,6
beacons_per_foundry_casting_steel_recipe,6.666666666666667
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,10
beacons_per_oil_refinery_basic_oil_processing_recipe,10
big_electric_pole,8
big_mining_drill,50
constant_combinator,30
cryogenic_plant,2
decider_combinator,22
electric_energy_interface,1
electric_furnace,32
electromagnetic_plant,44
foundry,58
infinity_chest,5
infinity_pipe,1
inserter_all,675
inserter_all_direct_insertion,172
inserter_all_direct_insertion_percent,25.48148148148148
inserter_all_from_assembling_machine_3_electric_furnace,12
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,12
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,12
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,12
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_belt,280
inserter_all_from_belt_circuit_enabled,200
inserter_all_from_building,390
inserter_all_from_building_circuit_enabled,150
inserter_all_from_chest,5
inserter_all_from_chest_circuit_enabled,4
inserter_all_from_cryogenic_plant_plastic_bar,14
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,14
inserter_all_from_electric_furnace,32
inserter_all_from_electric_furnace_circuit_enabled,32
inserter_all_from_electric_furnace_to_turbo_transport_belt,32
inserter_all_from_electric_furnace_to_turbo_transport_belt_circuit_enabled,32
inserter_all_from_electromagnetic_plant_advanced_circuit,28
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,26
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,24
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,22
inserter_all_from_electromagnetic_plant_advanced_circuit_to_wooden_chest,4
inserter_all_from_electromagnetic_plant_advanced_circuit_to_wooden_chest_circuit_enabled,4
inserter_all_from_electromagnetic_plant_electronic_circuit,20
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt,20
inserter_all_from_electromagnetic_plant_productivity_module,12
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,12
inserter_all_from_foundry_casting_copper_cable,50
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,4
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,14
inserter_all_from_foundry_casting_copper_cable_to_turbo_transport_belt,34
inserter_all_from_foundry_casting_copper_cable_to_turbo_transport_belt_circuit_enabled,4
inserter_all_from_foundry_casting_copper_cable_to_underground_input,2
inserter_all_from_foundry_casting_iron,6
inserter_all_from_foundry_casting_iron_stick,32
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,32
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,6
inserter_all_from_foundry_casting_steel,56
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,24
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,32
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_turbo_splitter,2
inserter_all_from_turbo_splitter_circuit_enabled,2
inserter_all_from_turbo_splitter_to_electromagnetic_plant_advanced_circuit,2
inserter_all_from_turbo_splitter_to_electromagnetic_plant_advanced_circuit_circuit_enabled,2
inserter_all_from_turbo_transport_belt,262
inserter_all_from_turbo_transport_belt_circuit_enabled,198
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace,36
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,64
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_rail,16
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,2
inserter_all_from_turbo_transport_belt_to_electric_furnace,32
inserter_all_from_turbo_transport_belt_to_electric_furnace_circuit_enabled,32
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit,82
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit_circuit_enabled,82
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_electronic_circuit,2
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_productivity_module,20
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_productivity_module_circuit_enabled,20
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,6
inserter_all_from_underground_input,16
inserter_all_from_underground_input_to_assembling_machine_3_rail,16
inserter_all_from_wooden_chest,4
inserter_all_from_wooden_chest_circuit_enabled,4
inserter_all_from_wooden_chest_to_electromagnetic_plant_productivity_module,4
inserter_all_from_wooden_chest_to_electromagnetic_plant_productivity_module_circuit_enabled,4
inserter_all_to_assembling_machine_3_electric_furnace,60
inserter_all_to_assembling_machine_3_production_science_pack,128
