entity,count
assembling_machine_3,112
assembling_machine_3_circuit_enabled,16
average_buildings_per_beacon,2.0328151986183074
beacon,1158
beacons_per_assembling_machine_3,6.571428571428571
beacons_per_assembling_machine_3_electric_furnace_recipe,6
beacons_per_assembling_machine_3_production_science_pack_recipe,9
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_cryogenic_plant,2
beacons_per_cryogenic_plant_plastic_bar_recipe,2
beacons_per_electric_furnace,8.666666666666666
beacons_per_electromagnetic_plant,5.866666666666666
beacons_per_electromagnetic_plant_advanced_circuit_recipe,5.6923076923076925
beacons_per_electromagnetic_plant_electronic_circuit_recipe,5.384615384615385
beacons_per_electromagnetic_plant_productivity_module_recipe,8
beacons_per_foundry,4.688888888888889
beacons_per_foundry_casting_copper_cable_recipe,2
beacons_per_foundry_casting_iron_recipe,2
beacons_per_foundry_casting_steel_recipe,6
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_foundry_set_recipe_recipe,7
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_electric_pole,19
big_mining_drill,36
constant_combinator,239
cryogenic_plant,14
decider_combinator,91
electric_energy_interface,1
electric_furnace,48
electric_mining_drill,32
electric_mining_drill_circuit_enabled,32
electromagnetic_plant,120
electromagnetic_plant_circuit_enabled,104
foundry,90
infinity_chest,5
infinity_pipe,1
inserter_all,806
inserter_all_direct_insertion,500
inserter_all_direct_insertion_circuit_enabled,484
inserter_all_direct_insertion_percent,62.03473945409429
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_belt,168
inserter_all_from_belt_circuit_enabled,156
inserter_all_from_building,632
inserter_all_from_building_circuit_enabled,616
inserter_all_from_chest,1
inserter_all_from_cryogenic_plant_plastic_bar,52
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,52
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,52
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,52
inserter_all_from_electric_furnace_undefined,48
inserter_all_from_electric_furnace_undefined_circuit_enabled,48
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,48
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace_circuit_enabled,48
inserter_all_from_electromagnetic_plant_advanced_circuit,52
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,52
inserter_all_from_electromagnetic_plant_advanced_circuit_to_electromagnetic_plant_productivity_module,16
