entity,count
arithmetic_combinator,8
assembling_machine_3,108
average_buildings_per_beacon,2.3607666290868097
beacon,887
beacons_per_assembling_machine_3,6.333333333333333
beacons_per_assembling_machine_3_electric_furnace_recipe,9
beacons_per_assembling_machine_3_production_science_pack_recipe,8
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_cryogenic_plant,2
beacons_per_cryogenic_plant_plastic_bar_recipe,2
beacons_per_electric_furnace,10
beacons_per_electromagnetic_plant,8.666666666666666
beacons_per_electromagnetic_plant_advanced_circuit_recipe,8
beacons_per_electromagnetic_plant_electronic_circuit_recipe,6
beacons_per_electromagnetic_plant_productivity_module_recipe,12
beacons_per_foundry,7.057142857142857
beacons_per_foundry_casting_copper_cable_recipe,2.8
beacons_per_foundry_casting_iron_recipe,6.666666666666667
beacons_per_foundry_casting_iron_stick_recipe,6
beacons_per_foundry_casting_steel_recipe,10
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,11.666666666666666
beacons_per_oil_refinery_basic_oil_processing_recipe,11.666666666666666
big_electric_pole,2
big_mining_drill,50
constant_combinator,4
cryogenic_plant,9
decider_combinator,23
display_panel,1
electric_energy_interface,1
electric_furnace,36
electromagnetic_plant,54
express_underground_belt,164
fast_underground_belt,18
foundry,70
infinity_chest,5
infinity_pipe,1
inserter_all,678
inserter_all_direct_insertion,248
inserter_all_direct_insertion_circuit_enabled,244
inserter_all_direction_insertion_percent,36.57817109144543
inserter_all_from_assembling_machine_3_electric_furnace,12
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,12
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt,12
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt_circuit_enabled,12
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,8
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,8
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt_circuit_enabled,56
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
