entity,count
arithmetic_combinator,5
assembling_machine_3,106
average_buildings_per_beacon,2.986646884272997
beacon,674
beacons_per_assembling_machine_3,6.5
beacons_per_assembling_machine_3_electric_furnace_recipe,4
beacons_per_assembling_machine_3_production_science_pack_recipe,8
beacons_per_assembling_machine_3_rail_recipe,4.833333333333333
beacons_per_cryogenic_plant,3
beacons_per_cryogenic_plant_plastic_bar_recipe,3
beacons_per_electric_furnace,11
beacons_per_electromagnetic_plant,7.212121212121212
beacons_per_electromagnetic_plant_advanced_circuit_recipe,9
beacons_per_electromagnetic_plant_electronic_circuit_recipe,3.090909090909091
beacons_per_electromagnetic_plant_productivity_module_recipe,10
beacons_per_foundry,5.882352941176471
beacons_per_foundry_casting_copper_cable_recipe,4.538461538461538
beacons_per_foundry_casting_iron_recipe,9
beacons_per_foundry_casting_iron_stick_recipe,5.833333333333333
beacons_per_foundry_casting_steel_recipe,6.888888888888889
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_electric_pole,4
big_mining_drill,52
car,16
constant_combinator,13
cryogenic_plant,16
decider_combinator,28
electric_energy_interface,1
electric_furnace,32
electromagnetic_plant,66
express_underground_belt,12
foundry,68
infinity_chest,5
infinity_pipe,1
inserter_all,673
inserter_all_direct_insertion,250
inserter_all_direct_insertion_circuit_enabled,250
inserter_all_direction_insertion_percent,37.147102526002975
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,14
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,14
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt,2
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt_circuit_enabled,2
inserter_all_from_assembling_machine_3_production_science_pack,60
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,60
inserter_all_from_assembling_machine_3_production_science_pack_to_express_underground_belt,4
inserter_all_from_assembling_machine_3_production_science_pack_to_express_underground_belt_circuit_enabled,4
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,56
inserter_all_from_assembling_machine_3_rail,60
inserter_all_from_assembling_machine_3_rail_circuit_enabled,60
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,60
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,60
inserter_all_from_belt,198
inserter_all_from_belt_circuit_enabled,98
inserter_all_from_belt_circuit_set_filters,60
inserter_all_from_building,426
inserter_all_from_building_circuit_enabled,418
inserter_all_from_car,16
inserter_all_from_car_circuit_enabled,16
inserter_all_from_car_to_electromagnetic_plant_advanced_circuit,16
inserter_all_from_car_to_electromagnetic_plant_advanced_circuit_circuit_enabled,16
inserter_all_from_chest,49
inserter_all_from_chest_circuit_enabled,48
inserter_all_from_cryogenic_plant_plastic_bar,32
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,32
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electric_furnace_undefined,32
inserter_all_from_electric_furnace_undefined_circuit_enabled,32
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,16
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_electric_furnace_undefined_to_steel_chest,16
