entity,count
arithmetic_combinator,17
assembling_machine_3,144
average_buildings_per_beacon,2.937888198757764
beacon,644
beacons_per_assembling_machine_3,4.777777777777778
beacons_per_assembling_machine_3_electric_furnace_recipe,3
beacons_per_assembling_machine_3_production_science_pack_recipe,7
beacons_per_assembling_machine_3_rail_recipe,3
beacons_per_cryogenic_plant,4
beacons_per_cryogenic_plant_plastic_bar_recipe,4
beacons_per_electric_furnace,5
beacons_per_electromagnetic_plant,8.846153846153847
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10
beacons_per_electromagnetic_plant_electronic_circuit_recipe,2.5
beacons_per_electromagnetic_plant_productivity_module_recipe,10
beacons_per_foundry,4.9743589743589745
beacons_per_foundry_casting_copper_cable_recipe,3.6666666666666665
beacons_per_foundry_casting_iron_recipe,4
beacons_per_foundry_casting_iron_stick_recipe,5.555555555555555
beacons_per_foundry_casting_steel_recipe,5.333333333333333
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,13
beacons_per_oil_refinery_basic_oil_processing_recipe,13
big_electric_pole,3
big_mining_drill,50
constant_combinator,196
cryogenic_plant,16
decider_combinator,31
electric_energy_interface,1
electric_furnace,48
electromagnetic_plant,52
foundry,78
infinity_chest,5
infinity_pipe,1
inserter_all,809
inserter_all_direct_insertion,384
inserter_all_direct_insertion_circuit_enabled,352
inserter_all_direct_insertion_percent,47.46600741656366
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_belt,272
inserter_all_from_belt_circuit_enabled,264
inserter_all_from_building,536
inserter_all_from_building_circuit_enabled,476
inserter_all_from_chest,1
inserter_all_from_cryogenic_plant_plastic_bar,32
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,32
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electric_furnace,48
inserter_all_from_electric_furnace_circuit_enabled,48
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace,48
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace_circuit_enabled,48
inserter_all_from_electromagnetic_plant_advanced_circuit,32
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,32
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,32
inserter_all_from_electromagnetic_plant_electronic_circuit,28
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt,28
inserter_all_from_electromagnetic_plant_productivity_module,12
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,12
inserter_all_from_foundry_casting_copper_cable,88
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,64
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,64
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,64
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,24
inserter_all_from_foundry_casting_iron,8
inserter_all_from_foundry_casting_iron_stick,64
inserter_all_from_foundry_casting_iron_stick_circuit_enabled,64
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,64
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,8
inserter_all_from_foundry_casting_steel,80
inserter_all_from_foundry_casting_steel_circuit_enabled,80
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,16
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,64
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_turbo_transport_belt,200
inserter_all_from_turbo_transport_belt_circuit_enabled,192
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace,16
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,64
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,8
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar_circuit_enabled,8
inserter_all_from_turbo_transport_belt_to_electric_furnace,48
inserter_all_from_turbo_transport_belt_to_electric_furnace_circuit_enabled,48
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_productivity_module,24
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_productivity_module_circuit_enabled,24
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,6
inserter_all_from_underground_output,72
inserter_all_from_underground_output_circuit_enabled,72
inserter_all_from_underground_output_to_assembling_machine_3_rail,64
inserter_all_from_underground_output_to_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_underground_output_to_cryogenic_plant_plastic_bar,8
inserter_all_from_underground_output_to_cryogenic_plant_plastic_bar_circuit_enabled,8
inserter_all_to_assembling_machine_3_electric_furnace,80
inserter_all_to_assembling_machine_3_electric_furnace_circuit_enabled,80
inserter_all_to_assembling_machine_3_production_science_pack,128
inserter_all_to_assembling_machine_3_production_science_pack_circuit_enabled,128
inserter_all_to_assembling_machine_3_rail,192
inserter_all_to_assembling_machine_3_rail_circuit_enabled,192
inserter_all_to_belt,153
inserter_all_to_belt_circuit_enabled,124
inserter_all_to_building,656
inserter_all_to_building_circuit_enabled,616
inserter_all_to_cryogenic_plant_plastic_bar,16
inserter_all_to_cryogenic_plant_plastic_bar_circuit_enabled,16
inserter_all_to_electric_furnace,48
inserter_all_to_electric_furnace_circuit_enabled,48
