entity,count
assembling_machine_3,100
average_buildings_per_beacon,2.0848375451263537
beacon,1108
beacons_per_assembling_machine_3,7.24
beacons_per_assembling_machine_3_electric_furnace_recipe,5
beacons_per_assembling_machine_3_production_science_pack_recipe,10
beacons_per_assembling_machine_3_rail_recipe,3
beacons_per_cryogenic_plant,4.857142857142857
beacons_per_cryogenic_plant_plastic_bar_recipe,4.857142857142857
beacons_per_electric_furnace,11
beacons_per_electromagnetic_plant,9.814814814814815
beacons_per_electromagnetic_plant_advanced_circuit_recipe,11.142857142857142
beacons_per_electromagnetic_plant_electronic_circuit_recipe,6.142857142857143
beacons_per_electromagnetic_plant_productivity_module_recipe,11
beacons_per_foundry,8.411764705882353
beacons_per_foundry_casting_copper_cable_recipe,7
beacons_per_foundry_casting_iron_recipe,7
beacons_per_foundry_casting_iron_stick_recipe,10
beacons_per_foundry_casting_steel_recipe,9.454545454545455
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_electric_pole,18
big_mining_drill,70
cargo_wagon,56
constant_combinator,115
cryogenic_plant,14
decider_combinator,58
electric_energy_interface,1
electric_furnace,32
electromagnetic_plant,54
foundry,68
infinity_chest,7
infinity_pipe,1
inserter_all,691
inserter_all_direct_insertion,200
inserter_all_direct_insertion_circuit_enabled,200
inserter_all_direct_insertion_percent,28.94356005788712
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_set_filters,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_set_filters,56
inserter_all_from_assembling_machine_3_rail,56
inserter_all_from_assembling_machine_3_rail_circuit_enabled,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_belt,152
inserter_all_from_belt_circuit_enabled,72
inserter_all_from_building,412
inserter_all_from_building_circuit_enabled,388
inserter_all_from_building_circuit_set_filters,56
inserter_all_from_cargo_wagon,196
inserter_all_from_cargo_wagon_circuit_enabled,192
inserter_all_from_cargo_wagon_to_cryogenic_plant_plastic_bar,2
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,84
inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,84
inserter_all_from_cargo_wagon_to_electromagnetic_plant_productivity_module,12
inserter_all_from_cargo_wagon_to_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_chest,127
inserter_all_from_chest_circuit_enabled,124
inserter_all_from_cryogenic_plant_plastic_bar,28
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,16
inserter_all_from_cryogenic_plant_plastic_bar_to_cargo_wagon,28
inserter_all_from_cryogenic_plant_plastic_bar_to_cargo_wagon_circuit_enabled,16
inserter_all_from_electric_furnace,32
inserter_all_from_electric_furnace_circuit_enabled,32
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace,16
inserter_all_from_electric_furnace_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_electric_furnace_to_steel_chest,16
inserter_all_from_electric_furnace_to_steel_chest_circuit_enabled,16
inserter_all_from_electromagnetic_plant_advanced_circuit,28
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,28
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest,12
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest_circuit_enabled,12
