entity,count
arithmetic_combinator,2
assembling_machine_3,128
average_buildings_per_beacon,2.1036106750392465
beacon,1274
beacons_per_assembling_machine_3,6.25
beacons_per_assembling_machine_3_electric_furnace_recipe,3
beacons_per_assembling_machine_3_production_science_pack_recipe,11
beacons_per_assembling_machine_3_rail_recipe,3
beacons_per_cryogenic_plant,10
beacons_per_cryogenic_plant_plastic_bar_recipe,10
beacons_per_electric_furnace,10
beacons_per_electromagnetic_plant,7.578947368421052
beacons_per_electromagnetic_plant_advanced_circuit_recipe,11.142857142857142
beacons_per_electromagnetic_plant_copper_cable_recipe,3
beacons_per_electromagnetic_plant_electronic_circuit_recipe,4.8
beacons_per_electromagnetic_plant_productivity_module_recipe,10
beacons_per_foundry,5.849056603773585
beacons_per_foundry_casting_copper_cable_recipe,6
beacons_per_foundry_casting_copper_recipe,7
beacons_per_foundry_casting_iron_recipe,4.8
beacons_per_foundry_casting_iron_stick_recipe,2
beacons_per_foundry_casting_steel_recipe,7.2631578947368425
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_electric_pole,2
big_mining_drill,72
cargo_wagon,56
constant_combinator,24
cryogenic_plant,14
cryogenic_plant_circuit_enabled,6
decider_combinator,58
electric_energy_interface,1
electric_furnace,48
electromagnetic_plant,76
foundry,106
foundry_circuit_enabled,59
infinity_chest,5
infinity_pipe,1
inserter_all,751
inserter_all_direct_insertion,308
inserter_all_direct_insertion_circuit_enabled,224
inserter_all_direct_insertion_percent,41.011984021304926
inserter_all_from_assembling_machine_3_electric_furnace,24
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,20
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,24
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,20
inserter_all_from_assembling_machine_3_production_science_pack,52
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,48
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,52
