entity,count
assembling_machine_3,112
average_buildings_per_beacon,2.3063328424153164
beacon,679
beacons_per_assembling_machine_3,4.785714285714286
beacons_per_assembling_machine_3_electric_furnace_recipe,3.5
beacons_per_assembling_machine_3_production_science_pack_recipe,7
beacons_per_assembling_machine_3_rail_recipe,1
beacons_per_cryogenic_plant,3
beacons_per_cryogenic_plant_plastic_bar_recipe,3
beacons_per_electric_furnace,11.5
beacons_per_electromagnetic_plant,4
beacons_per_electromagnetic_plant_advanced_circuit_recipe,4
beacons_per_electromagnetic_plant_electronic_circuit_recipe,2
beacons_per_electromagnetic_plant_productivity_module_recipe,5
beacons_per_foundry,4.444444444444445
beacons_per_foundry_casting_copper_cable_recipe,2.5
beacons_per_foundry_casting_iron_recipe,5
beacons_per_foundry_casting_iron_stick_recipe,4
beacons_per_foundry_casting_steel_recipe,5
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,3.75
beacons_per_oil_refinery_basic_oil_processing_recipe,3.75
big_electric_pole,1
big_mining_drill,50
constant_combinator,3
cryogenic_plant,8
decider_combinator,25
electric_energy_interface,1
electric_furnace,32
electromagnetic_plant,72
foundry,72
infinity_chest,5
infinity_pipe,1
inserter_all,725
inserter_all_direct_insertion,256
inserter_all_direction_insertion_percent,35.310344827586206
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_belt,256
inserter_all_from_belt_circuit_enabled,8
inserter_all_from_building,464
inserter_all_from_building_circuit_enabled,204
inserter_all_from_chest,1
inserter_all_from_cryogenic_plant_plastic_bar,16
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,16
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt,8
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_transport_belt_circuit_enabled,8
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_underground_belt,8
inserter_all_from_cryogenic_plant_plastic_bar_to_turbo_underground_belt_circuit_enabled,8
inserter_all_from_electric_furnace_undefined,32
inserter_all_from_electric_furnace_undefined_circuit_enabled,32
inserter_all_from_electric_furnace_undefined_to_turbo_transport_belt,32
inserter_all_from_electric_furnace_undefined_to_turbo_transport_belt_circuit_enabled,32
inserter_all_from_electromagnetic_plant_advanced_circuit,48
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,48
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,40
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,40
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_underground_belt,8
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_underground_belt_circuit_enabled,8
inserter_all_from_electromagnetic_plant_electronic_circuit,32
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,16
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt,8
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_transport_belt_circuit_enabled,8
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_underground_belt,8
inserter_all_from_electromagnetic_plant_electronic_circuit_to_turbo_underground_belt_circuit_enabled,8
inserter_all_from_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,12
inserter_all_from_foundry_casting_copper_cable,72
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,48
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,24
inserter_all_from_foundry_casting_iron,8
inserter_all_from_foundry_casting_iron_stick,32
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,32
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,8
inserter_all_from_foundry_casting_steel,64
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,32
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,32
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_turbo_transport_belt,120
inserter_all_from_turbo_transport_belt_circuit_enabled,5
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_electric_furnace,32
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,40
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,5
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_rail,16
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,8
inserter_all_from_turbo_transport_belt_to_electromagnetic_plant_advanced_circuit,16
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
