entity,count
assembling_machine_3,116
average_buildings_per_beacon,2.840616966580977
beacon,778
beacons_per_assembling_machine_3,5.275862068965517
beacons_per_assembling_machine_3_electric_furnace_recipe,5
beacons_per_assembling_machine_3_production_science_pack_recipe,7
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_chemical_plant,2
beacons_per_chemical_plant_plastic_bar_recipe,2
beacons_per_cryogenic_plant,8
beacons_per_cryogenic_plant_plastic_bar_recipe,8
beacons_per_electric_furnace,8
beacons_per_electromagnetic_plant,6.097560975609756
beacons_per_electromagnetic_plant_advanced_circuit_recipe,7.588235294117647
beacons_per_electromagnetic_plant_electronic_circuit_recipe,2.588235294117647
beacons_per_electromagnetic_plant_productivity_module_recipe,11
beacons_per_foundry,3.9594594594594597
beacons_per_foundry_casting_copper_cable_recipe,4.222222222222222
beacons_per_foundry_casting_iron_recipe,1.8235294117647058
beacons_per_foundry_casting_iron_stick_recipe,4
beacons_per_foundry_casting_steel_recipe,4.888888888888889
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_electric_pole,9
big_mining_drill,10
chemical_plant,20
constant_combinator,309
cryogenic_plant,7
decider_combinator,68
electric_energy_interface,1
electric_furnace,40
electric_mining_drill,72
electric_mining_drill_circuit_enabled,72
electromagnetic_plant,82
foundry,148
infinity_chest,5
infinity_pipe,1
inserter_all,774
inserter_all_direct_insertion,480
inserter_all_direct_insertion_circuit_enabled,480
inserter_all_direct_insertion_percent,62.01550387596899
inserter_all_from_assembling_machine_3_electric_furnace,20
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,20
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,20
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,20
inserter_all_from_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,64
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail,64
inserter_all_from_assembling_machine_3_rail_circuit_enabled,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,64
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack_circuit_enabled,64
inserter_all_from_belt,99
inserter_all_from_belt_circuit_enabled,91
inserter_all_from_building,626
inserter_all_from_building_circuit_enabled,626
inserter_all_from_chemical_plant_plastic_bar,20
inserter_all_from_chemical_plant_plastic_bar_circuit_enabled,20
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,20
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,20
inserter_all_from_chest,49
inserter_all_from_chest_circuit_enabled,48
inserter_all_from_cryogenic_plant_plastic_bar,14
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,14
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,14
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,14
inserter_all_from_electric_furnace,40
inserter_all_from_electric_furnace_circuit_enabled,40
