entity,count
arithmetic_combinator,4
assembling_machine_3,128
assembling_machine_3_circuit_enabled,4
average_buildings_per_beacon,2.74885145482389
beacon,653
beacons_per_assembling_machine_3,5.875
beacons_per_assembling_machine_3_electric_furnace_recipe,5
beacons_per_assembling_machine_3_production_science_pack_recipe,10
beacons_per_assembling_machine_3_rail_recipe,2
beacons_per_chemical_plant,1
beacons_per_chemical_plant_plastic_bar_recipe,1
beacons_per_cryogenic_plant,1
beacons_per_cryogenic_plant_plastic_bar_recipe,1
beacons_per_electric_furnace,5
beacons_per_electromagnetic_plant,3.909090909090909
beacons_per_electromagnetic_plant_advanced_circuit_recipe,4.333333333333333
beacons_per_electromagnetic_plant_electronic_circuit_recipe,1.6666666666666667
beacons_per_electromagnetic_plant_productivity_module_recipe,6
beacons_per_foundry,1.855
beacons_per_foundry_casting_copper_cable_recipe,1.9230769230769231
beacons_per_foundry_casting_iron_recipe,1.8
beacons_per_foundry_casting_iron_stick_recipe,1
beacons_per_foundry_casting_steel_recipe,1.875
beacons_per_foundry_molten_copper_recipe,7.5
beacons_per_foundry_molten_iron_recipe,7.333333333333333
beacons_per_oil_refinery,16
beacons_per_oil_refinery_basic_oil_processing_recipe,16
big_electric_pole,5
big_mining_drill,10
chemical_plant,16
constant_combinator,36
cryogenic_plant,24
decider_combinator,105
electric_energy_interface,1
electric_furnace,48
electric_mining_drill,104
electric_mining_drill_circuit_enabled,56
electromagnetic_plant,88
foundry,200
infinity_chest,5
infinity_pipe,1
inserter_all,809
inserter_all_chest_to_chest,24
inserter_all_direct_insertion,432
inserter_all_direct_insertion_circuit_enabled,304
inserter_all_direct_insertion_percent,53.399258343634116
inserter_all_from_assembling_machine_3_electric_furnace,16
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt_circuit_enabled,16
inserter_all_from_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,48
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,48
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt,8
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt_circuit_enabled,8
inserter_all_from_assembling_machine_3_rail,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
inserter_all_from_belt,160
inserter_all_from_belt_circuit_enabled,112
inserter_all_from_building,576
inserter_all_from_building_circuit_enabled,432
inserter_all_from_chemical_plant_plastic_bar,16
inserter_all_from_chemical_plant_plastic_bar_circuit_enabled,16
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,16
inserter_all_from_chemical_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,16
inserter_all_from_chest,73
inserter_all_from_chest_circuit_enabled,40
inserter_all_from_cryogenic_plant_plastic_bar,32
inserter_all_from_cryogenic_plant_plastic_bar_circuit_enabled,24
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_cryogenic_plant_plastic_bar_to_electromagnetic_plant_advanced_circuit_circuit_enabled,24
inserter_all_from_electric_furnace_undefined,48
inserter_all_from_electric_furnace_undefined_circuit_enabled,48
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,48
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace_circuit_enabled,48
inserter_all_from_electromagnetic_plant_advanced_circuit,48
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,40
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest,48
inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest_circuit_enabled,40
inserter_all_from_electromagnetic_plant_electronic_circuit,56
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,48
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,32
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,32
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_electronic_circuit_to_steel_chest,8
inserter_all_from_electromagnetic_plant_productivity_module,16
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,16
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,16
inserter_all_from_foundry_casting_copper_cable,80
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,40
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,48
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,40
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,32
inserter_all_from_foundry_casting_iron,24
inserter_all_from_foundry_casting_iron_stick,56
inserter_all_from_foundry_casting_iron_stick_circuit_enabled,56
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,56
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail_circuit_enabled,56
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,24
inserter_all_from_foundry_casting_steel,72
inserter_all_from_foundry_casting_steel_circuit_enabled,72
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,16
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,56
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail_circuit_enabled,56
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_steel_chest,72
inserter_all_from_steel_chest_circuit_enabled,40
inserter_all_from_steel_chest_to_assembling_machine_3_electric_furnace,16
inserter_all_from_steel_chest_to_assembling_machine_3_electric_furnace_circuit_enabled,16
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit,16
inserter_all_from_steel_chest_to_electromagnetic_plant_advanced_circuit_circuit_enabled,8
inserter_all_from_steel_chest_to_electromagnetic_plant_productivity_module,16
inserter_all_from_steel_chest_to_electromagnetic_plant_productivity_module_circuit_enabled,16
inserter_all_from_steel_chest_to_steel_chest,24
inserter_all_from_turbo_transport_belt,160
inserter_all_from_turbo_transport_belt_circuit_enabled,112
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,112
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,112
inserter_all_from_turbo_transport_belt_to_chemical_plant_plastic_bar,16
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,24
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,6
inserter_all_to_assembling_machine_3_electric_furnace,80
inserter_all_to_assembling_machine_3_electric_furnace_circuit_enabled,80
inserter_all_to_assembling_machine_3_production_science_pack,168
inserter_all_to_assembling_machine_3_production_science_pack_circuit_enabled,112
inserter_all_to_assembling_machine_3_rail,112
inserter_all_to_assembling_machine_3_rail_circuit_enabled,112
inserter_all_to_belt,89
inserter_all_to_belt_circuit_enabled,88
inserter_all_to_building,640
inserter_all_to_building_circuit_enabled,456
inserter_all_to_chemical_plant_plastic_bar,16
inserter_all_to_chest,80
inserter_all_to_chest_circuit_enabled,40
inserter_all_to_cryogenic_plant_plastic_bar,24
inserter_all_to_electromagnetic_plant_advanced_circuit,144
inserter_all_to_electromagnetic_plant_advanced_circuit_circuit_enabled,120
