entity,count
arithmetic_combinator,2
assembling_machine_3,102
average_buildings_per_beacon,2.320490367775832
beacon,1142
beacons_per_assembling_machine_3,7.549019607843137
beacons_per_assembling_machine_3_electric_furnace_recipe,7
beacons_per_assembling_machine_3_production_science_pack_recipe,10
beacons_per_assembling_machine_3_rail_recipe,3
beacons_per_cryogenic_plant,7.125
beacons_per_cryogenic_plant_plastic_bar_recipe,7.125
beacons_per_electric_furnace,9
beacons_per_electromagnetic_plant,7.190476190476191
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10
beacons_per_electromagnetic_plant_electronic_circuit_recipe,4.380952380952381
beacons_per_electromagnetic_plant_productivity_module_recipe,10
beacons_per_foundry,7.017241379310345
beacons_per_foundry_casting_copper_cable_recipe,6.045454545454546
beacons_per_foundry_casting_iron_recipe,8
beacons_per_foundry_casting_iron_stick_recipe,4.5
beacons_per_foundry_casting_steel_recipe,9.384615384615385
beacons_per_foundry_molten_copper_recipe,7
beacons_per_foundry_molten_iron_recipe,7
beacons_per_oil_refinery,6
beacons_per_oil_refinery_basic_oil_processing_recipe,6
big_electric_pole,2
big_mining_drill,10
constant_combinator,4
cryogenic_plant,16
decider_combinator,28
electric_energy_interface,2
electric_furnace,36
electric_mining_drill,64
electric_mining_drill_circuit_enabled,64
electromagnetic_plant,84
foundry,116
infinity_chest,5
infinity_pipe,1
inserter_all,609
inserter_all_direct_insertion,322
inserter_all_direct_insertion_circuit_enabled,108
inserter_all_direct_insertion_percent,52.87356321839081
inserter_all_from_assembling_machine_3_electric_furnace,18
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,18
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt,18
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt_circuit_enabled,18
inserter_all_from_assembling_machine_3_production_science_pack,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,52
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,52
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt,4
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt_circuit_enabled,4
inserter_all_from_assembling_machine_3_rail,56
inserter_all_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
inserter_all_from_belt,98
inserter_all_from_belt_circuit_enabled,90
inserter_all_from_building,468
inserter_all_from_building_circuit_enabled,224
inserter_all_from_chest,43
inserter_all_from_chest_circuit_enabled,42
inserter_all_from_cryogenic_plant_plastic_bar,30
inserter_all_from_cryogenic_plant_plastic_bar_to_wooden_chest,30
inserter_all_from_electric_furnace_undefined,36
inserter_all_from_electric_furnace_undefined_circuit_enabled,36
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,36
inserter_all_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace_circuit_enabled,36
inserter_all_from_electromagnetic_plant_advanced_circuit,30
inserter_all_from_electromagnetic_plant_advanced_circuit_circuit_enabled,30
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,18
inserter_all_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,18
inserter_all_from_electromagnetic_plant_advanced_circuit_to_wooden_chest,12
inserter_all_from_electromagnetic_plant_advanced_circuit_to_wooden_chest_circuit_enabled,12
inserter_all_from_electromagnetic_plant_electronic_circuit,42
inserter_all_from_electromagnetic_plant_electronic_circuit_circuit_enabled,42
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,30
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,30
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,12
inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_electromagnetic_plant_productivity_module,12
inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,12
inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,12
inserter_all_from_foundry_casting_copper_cable,72
inserter_all_from_foundry_casting_copper_cable_circuit_enabled,30
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,30
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,30
inserter_all_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,42
inserter_all_from_foundry_casting_iron,42
inserter_all_from_foundry_casting_iron_stick,28
inserter_all_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,28
inserter_all_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,42
inserter_all_from_foundry_casting_steel,46
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,18
inserter_all_from_foundry_casting_steel_to_assembling_machine_3_rail,28
inserter_all_from_infinity_chest,1
inserter_all_from_infinity_chest_to_turbo_transport_belt,1
inserter_all_from_turbo_transport_belt,80
inserter_all_from_turbo_transport_belt_circuit_enabled,72
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,56
inserter_all_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,16
inserter_all_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar_circuit_enabled,16
inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,2
inserter_all_from_turbo_transport_belt_to_foundry_molten_iron,6
inserter_all_from_turbo_underground_belt,18
inserter_all_from_turbo_underground_belt_circuit_enabled,18
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_electric_furnace,18
inserter_all_from_turbo_underground_belt_to_assembling_machine_3_electric_furnace_circuit_enabled,18
inserter_all_from_wooden_chest,42
inserter_all_from_wooden_chest_circuit_enabled,42
inserter_all_from_wooden_chest_to_electromagnetic_plant_advanced_circuit,30
inserter_all_from_wooden_chest_to_electromagnetic_plant_advanced_circuit_circuit_enabled,30
inserter_all_from_wooden_chest_to_electromagnetic_plant_productivity_module,12
inserter_all_from_wooden_chest_to_electromagnetic_plant_productivity_module_circuit_enabled,12
inserter_all_to_assembling_machine_3_electric_furnace,72
inserter_all_to_assembling_machine_3_electric_furnace_circuit_enabled,54
inserter_all_to_assembling_machine_3_production_science_pack,112
inserter_all_to_assembling_machine_3_production_science_pack_circuit_enabled,56
inserter_all_to_assembling_machine_3_rail,56
inserter_all_to_belt,105
inserter_all_to_belt_circuit_enabled,104
inserter_all_to_building,462
inserter_all_to_building_circuit_enabled,240
inserter_all_to_chest,42
inserter_all_to_chest_circuit_enabled,12
inserter_all_to_cryogenic_plant_plastic_bar,16
inserter_all_to_cryogenic_plant_plastic_bar_circuit_enabled,16
inserter_all_to_electromagnetic_plant_advanced_circuit,90
inserter_all_to_electromagnetic_plant_advanced_circuit_circuit_enabled,90
inserter_all_to_electromagnetic_plant_electronic_circuit,84
inserter_all_to_electromagnetic_plant_productivity_module,24
inserter_all_to_electromagnetic_plant_productivity_module_circuit_enabled,24
inserter_all_to_foundry_molten_copper,2
inserter_all_to_foundry_molten_iron,6
inserter_all_to_turbo_transport_belt,83
inserter_all_to_turbo_transport_belt_circuit_enabled,82
inserter_all_to_turbo_underground_belt,22
inserter_all_to_turbo_underground_belt_circuit_enabled,22
inserter_all_to_wooden_chest,42
inserter_all_to_wooden_chest_circuit_enabled,12
medium_electric_pole,108
oil_refinery,4
pipe,534
pipe_to_ground,708
recipe_advanced_circuit,30
recipe_basic_oil_processing,4
recipe_casting_copper_cable,44
recipe_casting_iron,22
recipe_casting_iron_stick,16
recipe_casting_steel,26
recipe_electric_furnace,18
recipe_electronic_circuit,42
recipe_molten_copper,2
recipe_molten_iron,6
recipe_plastic_bar,16
recipe_production_science_pack,56
recipe_productivity_module,12
recipe_rail,28
stack_inserter,609
stack_inserter_circuit_enabled,356
stack_inserter_direct_insertion,322
stack_inserter_direct_insertion_circuit_enabled,108
stack_inserter_direct_insertion_percent,52.87356321839081
stack_inserter_from_assembling_machine_3_electric_furnace,18
stack_inserter_from_assembling_machine_3_electric_furnace_circuit_enabled,18
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt,18
stack_inserter_from_assembling_machine_3_electric_furnace_to_turbo_underground_belt_circuit_enabled,18
stack_inserter_from_assembling_machine_3_production_science_pack,56
stack_inserter_from_assembling_machine_3_production_science_pack_circuit_enabled,56
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,52
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt_circuit_enabled,52
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt,4
stack_inserter_from_assembling_machine_3_production_science_pack_to_turbo_underground_belt_circuit_enabled,4
stack_inserter_from_assembling_machine_3_rail,56
stack_inserter_from_assembling_machine_3_rail_to_assembling_machine_3_production_science_pack,56
stack_inserter_from_belt,98
stack_inserter_from_belt_circuit_enabled,90
stack_inserter_from_building,468
stack_inserter_from_building_circuit_enabled,224
stack_inserter_from_chest,43
stack_inserter_from_chest_circuit_enabled,42
stack_inserter_from_cryogenic_plant_plastic_bar,30
stack_inserter_from_cryogenic_plant_plastic_bar_to_wooden_chest,30
stack_inserter_from_electric_furnace_undefined,36
stack_inserter_from_electric_furnace_undefined_circuit_enabled,36
stack_inserter_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace,36
stack_inserter_from_electric_furnace_undefined_to_assembling_machine_3_electric_furnace_circuit_enabled,36
stack_inserter_from_electromagnetic_plant_advanced_circuit,30
stack_inserter_from_electromagnetic_plant_advanced_circuit_circuit_enabled,30
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt,18
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_turbo_transport_belt_circuit_enabled,18
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_wooden_chest,12
stack_inserter_from_electromagnetic_plant_advanced_circuit_to_wooden_chest_circuit_enabled,12
stack_inserter_from_electromagnetic_plant_electronic_circuit,42
stack_inserter_from_electromagnetic_plant_electronic_circuit_circuit_enabled,42
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,30
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,30
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module,12
stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_productivity_module_circuit_enabled,12
stack_inserter_from_electromagnetic_plant_productivity_module,12
stack_inserter_from_electromagnetic_plant_productivity_module_circuit_enabled,12
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,12
stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,12
stack_inserter_from_foundry_casting_copper_cable,72
stack_inserter_from_foundry_casting_copper_cable_circuit_enabled,30
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit,30
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_advanced_circuit_circuit_enabled,30
stack_inserter_from_foundry_casting_copper_cable_to_electromagnetic_plant_electronic_circuit,42
stack_inserter_from_foundry_casting_iron,42
stack_inserter_from_foundry_casting_iron_stick,28
stack_inserter_from_foundry_casting_iron_stick_to_assembling_machine_3_rail,28
stack_inserter_from_foundry_casting_iron_to_electromagnetic_plant_electronic_circuit,42
stack_inserter_from_foundry_casting_steel,46
stack_inserter_from_foundry_casting_steel_to_assembling_machine_3_electric_furnace,18
stack_inserter_from_foundry_casting_steel_to_assembling_machine_3_rail,28
stack_inserter_from_infinity_chest,1
stack_inserter_from_infinity_chest_to_turbo_transport_belt,1
stack_inserter_from_turbo_transport_belt,80
stack_inserter_from_turbo_transport_belt_circuit_enabled,72
stack_inserter_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack,56
stack_inserter_from_turbo_transport_belt_to_assembling_machine_3_production_science_pack_circuit_enabled,56
stack_inserter_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar,16
stack_inserter_from_turbo_transport_belt_to_cryogenic_plant_plastic_bar_circuit_enabled,16
stack_inserter_from_turbo_transport_belt_to_foundry_molten_copper,2
stack_inserter_from_turbo_transport_belt_to_foundry_molten_iron,6
stack_inserter_from_turbo_underground_belt,18
stack_inserter_from_turbo_underground_belt_circuit_enabled,18
stack_inserter_from_turbo_underground_belt_to_assembling_machine_3_electric_furnace,18
stack_inserter_from_turbo_underground_belt_to_assembling_machine_3_electric_furnace_circuit_enabled,18
stack_inserter_from_wooden_chest,42
stack_inserter_from_wooden_chest_circuit_enabled,42
stack_inserter_from_wooden_chest_to_electromagnetic_plant_advanced_circuit,30
stack_inserter_from_wooden_chest_to_electromagnetic_plant_advanced_circuit_circuit_enabled,30
stack_inserter_from_wooden_chest_to_electromagnetic_plant_productivity_module,12
stack_inserter_from_wooden_chest_to_electromagnetic_plant_productivity_module_circuit_enabled,12
stack_inserter_to_assembling_machine_3_electric_furnace,72
