entity,00_baseline,01_geist,02_geist,03_swiftdeath007,04_goirelandbrad,05_flexime,06_mulain,07_rydberg,08_derantrix,09_azhrei,10_thaeln,11_thaeln,13_yuu,14_redphoenixq,15_yoyonas,16_teaz,17_akaravortex,18_akaravortex,19_akaravortex,20_groot_opperhoofd,21_em,22_warbaque,23_warbaque,24_syvkal,25_mcmayhem57,26_galacta487,27_theflyingcurryfish154,28_erichteia,29_the_end
arithmetic_combinator,0,2,0,0,8,12,0,0,0,0,0,0,0,10,0,0,4,6,3,8,5,9,17,0,2,0,0,4,2
assembling_machine_3,112,104,108,104,128,120,112,112,104,120,104,104,135,112,108,112,104,208,108,108,106,144,144,100,128,112,116,128,102
assembling_machine_3_circuit_enabled,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0
average_buildings_per_beacon,1.5634218289085546,2.578503688092729,2.1315280464216633,2.3783185840707963,2.5588235294117645,2.1087719298245613,2.552752293577982,2.5794392523364484,2.094488188976378,2.955578512396694,2.8343949044585988,2.59675550405562,2.396385542168675,2.409952606635071,2.2150055991041433,2.0328151986183074,2.0605095541401273,2.0638467677573824,1.9627118644067796,2.3607666290868097,2.986646884272997,2.937888198757764,2.937888198757764,2.0848375451263537,2.1036106750392465,2.3063328424153164,2.840616966580977,2.74885145482389,2.320490367775832
beacon,1356,949,1034,904,816,1140,872,856,1016,968,785,863,830,844,893,1158,1256,2506,1180,887,674,644,644,1108,1274,679,778,653,1142
beacons_per_assembling_machine_3,5.142857142857143,6.961538461538462,6.851851851851852,7,6.625,4.6,6,5.428571428571429,6.769230769230769,8.5,6.653846153846154,6.653846153846154,5.133333333333334,5.714285714285714,6.185185185185185,6.571428571428571,6.923076923076923,6.923076923076923,6.185185185185185,6.333333333333333,6.5,4.777777777777778,4.777777777777778,7.24,6.25,4.785714285714286,5.275862068965517,5.875,7.549019607843137
beacons_per_assembling_machine_3_electric_furnace_recipe,4,4,4,5,4,3,6,6,3,6,4.4,4,3,4,7.666666666666667,6,4,4,3.8,9,4,3,3,5,3,3.5,5,5,7
beacons_per_assembling_machine_3_production_science_pack_recipe,7,10,10,10,11,7,8,7,10,12,9.071428571428571,9.142857142857142,7,8,8,9,10,10,9.142857142857142,8,8,7,7,10,11,7,7,10,10
beacons_per_assembling_machine_3_rail_recipe,2,3,3,2.75,3,1,2,2,3,6,3.4285714285714284,3.5714285714285716,3,2,2,2,3,3,2.5,2,4.833333333333333,3,3,3,3,1,2,2,3
beacons_per_chemical_plant,2,0,4,0,0,0,0,0,3,0,3.6666666666666665,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
beacons_per_chemical_plant_plastic_bar_recipe,2,0,4,0,0,0,0,0,3,0,3.6666666666666665,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
