design,29_the_end,28_erichteia,27_theflyingcurryfish154,19_akaravortex,11_thaeln,10_thaeln,07_rydberg,06_mulain,02_geist
metric_whole_update,1224.766106,1433.135192,1268.620337,1228.814261,1213.210689,1217.49064,1454.281936,1328.968597,1340.241387
metric_control_behavior_update,75.958647,108.852924,126.676967,82.326539,83.812261,84.040857,90.964556,101.391753,120.998473
metric_transport_lines_update,64.200009,59.89147,60.208284,62.402608,65.567216,61.299847,76.133947,68.366015,56.412383
metric_electric_heat_fluid_circuit_update,60.877601,113.49514,81.174306,60.552065,56.147126,57.118778,58.862082,61.111825,84.636748
metric_electric_network_update,51.396247,55.438924,49.964713,52.299953,46.984872,45.96565,48.414708,49.523034,56.422891
metric_fluid_flow_update,48.667168,101.086105,69.027043,43.510185,42.601512,45.041165,45.809427,48.568446,72.361122
metric_entity_update,1001.592799,1126.37123,978.373258,1000.957119,985.538329,992.804487,1194.548021,1064.426369,1054.873907
metric_trains,0.164163,0.165155,0.164418,0.164859,0.158752,0.163198,11.242039,11.156872,0.161331
arithmetic_combinator,2,4,0,3,0,0,0,0,0
assembling_machine_3,102,128,116,108,104,104,112,112,108
assembling_machine_3_circuit_enabled,0,4,0,0,0,0,0,0,0
average_buildings_per_beacon,2.320490367775832,2.74885145482389,2.840616966580977,1.9627118644067796,2.59675550405562,2.8343949044585988,2.5794392523364484,2.552752293577982,2.1315280464216633
beacon,1142,653,778,1180,863,785,856,872,1034
beacons_per_assembling_machine_3,7.549019607843137,5.875,5.275862068965517,6.185185185185185,6.653846153846154,6.653846153846154,5.428571428571429,6,6.851851851851852
beacons_per_assembling_machine_3_electric_furnace_recipe,7,5,5,3.8,4,4.4,6,6,4
beacons_per_assembling_machine_3_production_science_pack_recipe,10,10,7,9.142857142857142,9.142857142857142,9.071428571428571,7,8,10
beacons_per_assembling_machine_3_rail_recipe,3,2,2,2.5,3.5714285714285716,3.4285714285714284,2,2,3
beacons_per_chemical_plant,0,1,2,0,3.6666666666666665,3.6666666666666665,0,0,4
beacons_per_chemical_plant_plastic_bar_recipe,0,1,2,0,3.6666666666666665,3.6666666666666665,0,0,4
beacons_per_cryogenic_plant,7.125,1,8,7,4.333333333333333,3.6666666666666665,7,7,6
beacons_per_cryogenic_plant_plastic_bar_recipe,7.125,1,8,7,4.333333333333333,3.6666666666666665,7,7,6
beacons_per_electric_furnace,9,5,8,7,7.4,7.55,6.333333333333333,5,5
beacons_per_electromagnetic_plant,7.190476190476191,3.909090909090909,6.097560975609756,6.333333333333333,7.2105263157894735,7.2105263157894735,8.11111111111111,7.777777777777778,6
beacons_per_electromagnetic_plant_advanced_circuit_recipe,10,4.333333333333333,7.588235294117647,7,8.75,8.75,10,10,7.333333333333333
beacons_per_electromagnetic_plant_copper_cable_recipe,0,0,0,0,0,0,0,0,0
beacons_per_electromagnetic_plant_electronic_circuit_recipe,4.380952380952381,1.6666666666666667,2.588235294117647,5,4.625,4.625,4.333333333333333,4.666666666666667,4
beacons_per_electromagnetic_plant_productivity_module_recipe,10,6,11,8,10,10,10,8,10
beacons_per_foundry,7.017241379310345,1.855,3.9594594594594597,6.2727272727272725,6.879518072289157,6.402298850574713,5.48,5.452830188679245,3.6862745098039214
beacons_per_foundry_casting_copper_cable_recipe,6.045454545454546,1.9230769230769231,4.222222222222222,5,5.769230769230769,5.3076923076923075,6.1,5.4,3.230769230769231
beacons_per_foundry_casting_copper_recipe,0,0,0,0,0,0,0,0,0
beacons_per_foundry_casting_iron_recipe,8,1.8,1.8235294117647058,7,4.833333333333333,4.666666666666667,8.666666666666666,6,3
beacons_per_foundry_casting_iron_stick_recipe,4.5,1,4,9,8,7,2,5.25,4
beacons_per_foundry_casting_steel_recipe,9.384615384615385,1.875,4.888888888888889,5,8.545454545454545,7.833333333333333,4.666666666666667,4.666666666666667,3.076923076923077
beacons_per_foundry_molten_copper_recipe,7,7.5,7,7,7,7,7,7,7
beacons_per_foundry_molten_iron_recipe,7,7.333333333333333,7,7,7,7,7,7,7
beacons_per_foundry_set_recipe_recipe,0,0,0,0,0,0,0,0,0
beacons_per_oil_refinery,6,16,16,10,9.5,9.5,13,16,16
beacons_per_oil_refinery_basic_oil_processing_recipe,6,16,16,10,9.5,9.5,13,16,16
big_electric_pole,2,5,9,2,4,2,3,2,34
big_mining_drill,10,10,10,82,35,23,10,12,62
big_mining_drill_circuit_enabled,0,0,0,72,24,12,0,0,48
car,0,0,0,0,0,0,0,0,0
cargo_wagon,0,0,0,0,0,0,32,32,0
chemical_plant,0,16,20,0,12,12,0,0,24
constant_combinator,4,36,309,56,93,77,33,88,148
cryogenic_plant,16,24,7,24,12,12,16,16,8
cryogenic_plant_circuit_enabled,0,0,0,0,0,0,0,0,0
curved_rail_a,0,0,0,0,0,0,0,0,0
curved_rail_b,0,0,0,0,0,0,0,0,0
decider_combinator,28,105,68,25,64,62,40,80,132
display_panel,0,0,0,20,0,0,0,0,0
electric_energy_interface,2,1,1,1,1,1,1,1,1
electric_furnace,36,48,40,40,40,40,48,48,48
electric_mining_drill,64,104,72,0,44,56,80,80,28
electric_mining_drill_circuit_enabled,64,56,72,0,44,56,0,80,28
electromagnetic_plant,84,88,82,96,76,76,72,72,96
electromagnetic_plant_circuit_enabled,0,0,0,0,0,0,0,0,0
express_splitter,0,0,0,0,0,0,0,0,0
express_transport_belt,0,0,0,0,0,0,0,0,0
express_underground_belt,0,0,0,0,8,12,0,0,0
fast_inserter,0,0,0,0,0,0,0,0,0
fast_inserter_from_chest,0,0,0,0,0,0,0,0,0
fast_inserter_from_infinity_chest,0,0,0,0,0,0,0,0,0
fast_underground_belt,0,0,0,0,0,0,0,0,0
foundry,116,200,148,88,83,87,100,106,102
foundry_circuit_enabled,0,0,0,0,0,0,0,0,0
infinity_chest,5,5,5,5,5,5,5,5,5
infinity_pipe,1,1,1,1,1,1,1,1,1
inserter_all,609,809,774,645,610,610,673,651,665
inserter_all_chest_to_chest,0,24,0,0,12,12,0,0,0
inserter_all_direct_insertion,322,432,480,412,332,332,280,336,400
inserter_all_direct_insertion_circuit_enabled,108,304,480,276,196,204,224,292,400
inserter_all_direct_insertion_percent,52.87356321839081,53.399258343634116,62.01550387596899,63.87596899224807,54.42622950819672,54.42622950819672,41.60475482912333,51.61290322580645,60.150375939849624
inserter_all_from_assembling_machine_3_electric_furnace,18,16,20,24,20,20,16,16,24
inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,18,16,20,24,20,20,16,16,24
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt,0,0,20,24,20,20,16,0,16
inserter_all_from_assembling_machine_3_electric_furnace_to_turbo_transport_belt_circuit_enabled,0,0,20,24,20,20,16,0,16
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_input,0,16,0,0,0,0,0,16,8
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_input_circuit_enabled,0,16,0,0,0,0,0,16,8
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_output,18,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_electric_furnace_to_underground_output_circuit_enabled,18,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_production_science_pack,56,56,64,56,56,56,64,64,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_enabled,56,56,64,56,56,52,64,64,56
inserter_all_from_assembling_machine_3_production_science_pack_circuit_set_filters,0,0,0,0,0,0,0,0,0
inserter_all_from_assembling_machine_3_production_science_pack_to_turbo_transport_belt,52,48,64,8,56,56,64,64,32
