metric,property,correlation,strength,range,impact
trains,curved_rail_a,0.9983415661702845,0.9983415661702845,Very High,increase
trains,curved_rail_b,0.9983415661702845,0.9983415661702845,Very High,increase
trains,inserter_all_from_cargo_wagon_circuit_set_filters,0.9983415661702845,0.9983415661702845,Very High,increase
trains,inserter_all_from_cargo_wagon_to_assembling_machine_3_rail,0.9983415661702845,0.9983415661702845,Very High,increase
trains,inserter_all_from_cargo_wagon_to_assembling_machine_3_rail_circuit_set_filters,0.9983415661702845,0.9983415661702845,Very High,increase
trains,inserter_all_from_cargo_wagon_to_electric_furnace,0.9983415661702845,0.9983415661702845,Very High,increase
trains,inserter_all_from_chest_circuit_set_filters,0.9983415661702845,0.9983415661702845,Very High,increase
trains,inserter_all_from_foundry_casting_iron_stick_to_cargo_wagon,0.9983415661702845,0.9983415661702845,Very High,increase
trains,inserter_all_to_assembling_machine_3_rail_circuit_set_filters,0.9983415661702845,0.9983415661702845,Very High,increase
trains,rail_signal,0.9983415661702845,0.9983415661702845,Very High,increase
trains,stack_inserter_from_cargo_wagon_circuit_set_filters,0.9983415661702845,0.9983415661702845,Very High,increase
trains,stack_inserter_from_cargo_wagon_to_assembling_machine_3_rail,0.9983415661702845,0.9983415661702845,Very High,increase
trains,stack_inserter_from_cargo_wagon_to_assembling_machine_3_rail_circuit_set_filters,0.9983415661702845,0.9983415661702845,Very High,increase
trains,stack_inserter_from_cargo_wagon_to_electric_furnace,0.9983415661702845,0.9983415661702845,Very High,increase
trains,stack_inserter_from_chest_circuit_set_filters,0.9983415661702845,0.9983415661702845,Very High,increase
trains,stack_inserter_from_foundry_casting_iron_stick_to_cargo_wagon,0.9983415661702845,0.9983415661702845,Very High,increase
trains,stack_inserter_to_assembling_machine_3_rail_circuit_set_filters,0.9983415661702845,0.9983415661702845,Very High,increase
trains,fast_inserter,0.9983415661702844,0.9983415661702844,Very High,increase
trains,fast_inserter_from_chest,0.9983415661702844,0.9983415661702844,Very High,increase
trains,fast_inserter_from_infinity_chest,0.9983415661702844,0.9983415661702844,Very High,increase
trains,inserter_all_from_infinity_chest,0.9983415661702844,0.9983415661702844,Very High,increase
trains,locomotive,0.9983415661702844,0.9983415661702844,Very High,increase
trains,pumpjack,0.9983415661702844,0.9983415661702844,Very High,increase
trains,rail_chain_signal,0.9983415661702844,0.9983415661702844,Very High,increase
trains,train_stop,0.9983415661702842,0.9983415661702842,Very High,increase
trains,inserter_all_from_turbo_transport_belt_to_foundry_molten_copper,-0.9983415661702841,0.9983415661702841,Very High,decrease
trains,inserter_all_to_foundry_molten_copper,-0.9983415661702841,0.9983415661702841,Very High,decrease
trains,recipe_molten_copper,-0.9983415661702841,0.9983415661702841,Very High,decrease
trains,stack_inserter_from_turbo_transport_belt_to_foundry_molten_copper,-0.9983415661702841,0.9983415661702841,Very High,decrease
trains,stack_inserter_to_foundry_molten_copper,-0.9983415661702841,0.9983415661702841,Very High,decrease
trains,straight_rail,0.9981981664684011,0.9981981664684011,Very High,increase
trains,infinity_chest,0.9753634188876814,0.9753634188876814,Very High,increase
trains,cargo_wagon,0.9655873948487107,0.9655873948487107,Very High,increase
trains,beacons_per_foundry_molten_iron_recipe,0.9428714702793497,0.9428714702793497,Very High,increase
trains,beacons_per_foundry_molten_copper_recipe,0.9412370459846626,0.9412370459846626,Very High,increase
electric_network_update,beacon,0.921555735479164,0.921555735479164,Very High,increase
fluid_flow_update,foundry,0.8915998500616007,0.8915998500616007,High,increase
control_behavior_update,inserter_all_direct_insertion_circuit_enabled,0.8570665459756002,0.8570665459756002,High,increase
control_behavior_update,stack_inserter_direct_insertion_circuit_enabled,0.8570665459756002,0.8570665459756002,High,increase
control_behavior_update,inserter_all_to_building_circuit_enabled,0.8570342911077181,0.8570342911077181,High,increase
control_behavior_update,stack_inserter_to_building_circuit_enabled,0.8570342911077181,0.8570342911077181,High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_productivity_module,0.8556193031974972,0.8556193031974972,High,increase
electric_network_update,recipe_productivity_module,0.8556193031974972,0.8556193031974972,High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_productivity_module,0.8556193031974972,0.8556193031974972,High,increase
electric_network_update,stack_inserter,0.852427585697663,0.852427585697663,High,increase
electric_network_update,inserter_all,0.8517859304926512,0.8517859304926512,High,increase
transport_lines_update,inserter_all_from_belt,0.8512391715323557,0.8512391715323557,High,increase
transport_lines_update,stack_inserter_from_belt,0.8512391715323557,0.8512391715323557,High,increase
electric_heat_fluid_circuit_update,foundry,0.8447693169853979,0.8447693169853979,High,increase
control_behavior_update,inserter_all_from_building_circuit_enabled,0.8397996273855046,0.8397996273855046,High,increase
control_behavior_update,stack_inserter_from_building_circuit_enabled,0.8397996273855046,0.8397996273855046,High,increase
control_behavior_update,stack_inserter_circuit_enabled,0.8322842674497185,0.8322842674497185,High,increase
electric_network_update,total_power_poles,0.8306143098562463,0.8306143098562463,High,increase
electric_network_update,medium_electric_pole,0.8240823529397145,0.8240823529397145,High,increase
entity_update,inserter_all_from_belt,0.8175600369882615,0.8175600369882615,High,increase
entity_update,stack_inserter_from_belt,0.8175600369882615,0.8175600369882615,High,increase
electric_network_update,inserter_all_to_electromagnetic_plant_productivity_module,0.8172693546204183,0.8172693546204183,High,increase
electric_network_update,stack_inserter_to_electromagnetic_plant_productivity_module,0.8172693546204183,0.8172693546204183,High,increase
electric_network_update,inserter_all_from_electric_furnace_to_wooden_chest,0.8110722554749857,0.8110722554749857,High,increase
electric_network_update,inserter_all_from_electric_furnace_to_wooden_chest_circuit_enabled,0.8110722554749857,0.8110722554749857,High,increase
electric_network_update,inserter_all_from_wooden_chest_to_assembling_machine_3_electric_furnace,0.8110722554749857,0.8110722554749857,High,increase
electric_network_update,inserter_all_from_wooden_chest_to_assembling_machine_3_electric_furnace_circuit_enabled,0.8110722554749857,0.8110722554749857,High,increase
electric_network_update,stack_inserter_from_electric_furnace_to_wooden_chest,0.8110722554749857,0.8110722554749857,High,increase
electric_network_update,stack_inserter_from_electric_furnace_to_wooden_chest_circuit_enabled,0.8110722554749857,0.8110722554749857,High,increase
