metric,property,correlation,strength,range,impact
trains,cargo_wagon,0.9998071648345502,0.9998071648345502,Very High,increase
trains,straight_rail,0.9998071648345502,0.9998071648345502,Very High,increase
electric_network_update,beacon,0.9664713857132163,0.9664713857132163,Very High,increase
electric_heat_fluid_circuit_update,beacon,0.9419689254997181,0.9419689254997181,Very High,increase
trains,inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.9327047404410057,0.9327047404410057,Very High,increase
trains,stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.9327047404410057,0.9327047404410057,Very High,increase
trains,inserter_all_to_cargo_wagon_circuit_enabled,0.9090366836026474,0.9090366836026474,Very High,increase
trains,stack_inserter_to_cargo_wagon_circuit_enabled,0.9090366836026474,0.9090366836026474,Very High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_productivity_module,0.8969320443622093,0.8969320443622093,High,increase
electric_network_update,inserter_all_to_electromagnetic_plant_productivity_module,0.8969320443622093,0.8969320443622093,High,increase
electric_network_update,recipe_productivity_module,0.8969320443622093,0.8969320443622093,High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_productivity_module,0.8969320443622093,0.8969320443622093,High,increase
electric_network_update,stack_inserter_to_electromagnetic_plant_productivity_module,0.8969320443622093,0.8969320443622093,High,increase
electric_network_update,inserter_all,0.8955779980816997,0.8955779980816997,High,increase
electric_network_update,stack_inserter,0.8955779980816997,0.8955779980816997,High,increase
electric_network_update,pump,0.8917270156275692,0.8917270156275692,High,increase
electric_network_update,beacons_per_foundry_molten_copper_recipe,0.8917270156275652,0.8917270156275652,High,increase
electric_network_update,beacons_per_foundry_molten_iron_recipe,0.8917270156275652,0.8917270156275652,High,increase
electric_heat_fluid_circuit_update,beacons_per_foundry_molten_copper_recipe,0.8848278930739649,0.8848278930739649,High,increase
electric_heat_fluid_circuit_update,beacons_per_foundry_molten_iron_recipe,0.8848278930739649,0.8848278930739649,High,increase
electric_heat_fluid_circuit_update,pump,0.8848278930739647,0.8848278930739647,High,increase
trains,inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0.8818706258507126,0.8818706258507126,High,increase
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0.8818706258507126,0.8818706258507126,High,increase
electric_network_update,medium_electric_pole,0.8794459895358516,0.8794459895358516,High,increase
electric_network_update,total_power_poles,0.8772918420546417,0.8772918420546417,High,increase
electric_heat_fluid_circuit_update,inserter_all_from_electromagnetic_plant_productivity_module,0.8732699797252135,0.8732699797252135,High,increase
electric_heat_fluid_circuit_update,inserter_all_to_electromagnetic_plant_productivity_module,0.8732699797252135,0.8732699797252135,High,increase
electric_heat_fluid_circuit_update,recipe_productivity_module,0.8732699797252135,0.8732699797252135,High,increase
