metric,property,correlation,strength,range,impact
trains,cargo_wagon,0.9998585280804181,0.9998585280804181,Very High,increase
trains,straight_rail,0.9998585280804181,0.9998585280804181,Very High,increase
trains,inserter_all_to_cargo_wagon_circuit_enabled,0.988773639942601,0.988773639942601,Very High,increase
trains,stack_inserter_to_cargo_wagon_circuit_enabled,0.988773639942601,0.988773639942601,Very High,increase
trains,inserter_all_to_cargo_wagon,0.9875268143244023,0.9875268143244023,Very High,increase
trains,stack_inserter_to_cargo_wagon,0.9875268143244023,0.9875268143244023,Very High,increase
electric_network_update,beacon,0.9653425424083085,0.9653425424083085,Very High,increase
trains,inserter_all_from_cargo_wagon,0.9543543060315128,0.9543543060315128,Very High,increase
trains,stack_inserter_from_cargo_wagon,0.9543543060315128,0.9543543060315128,Very High,increase
trains,inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.9508057942757264,0.9508057942757264,Very High,increase
trains,stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.9508057942757264,0.9508057942757264,Very High,increase
electric_heat_fluid_circuit_update,beacon,0.9419292577714624,0.9419292577714624,Very High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_productivity_module_circuit_enabled,0.9335072704212691,0.9335072704212691,Very High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,0.9335072704212691,0.9335072704212691,Very High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_productivity_module_circuit_enabled,0.9335072704212691,0.9335072704212691,Very High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt_circuit_enabled,0.9335072704212691,0.9335072704212691,Very High,increase
electric_network_update,pump,0.9187836960090631,0.9187836960090631,Very High,increase
electric_network_update,beacons_per_foundry_molten_copper_recipe,0.9187836960090624,0.9187836960090624,Very High,increase
electric_network_update,beacons_per_foundry_molten_iron_recipe,0.9187836960090624,0.9187836960090624,Very High,increase
fluid_flow_update,foundry,0.9057091626755664,0.9057091626755664,Very High,increase
electric_heat_fluid_circuit_update,inserter_all_from_assembling_machine_3_electric_furnace_circuit_enabled,0.9053880429514963,0.9053880429514963,Very High,increase
electric_heat_fluid_circuit_update,stack_inserter_from_assembling_machine_3_electric_furnace_circuit_enabled,0.9053880429514963,0.9053880429514963,Very High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_productivity_module,0.9029122084095068,0.9029122084095068,Very High,increase
electric_network_update,inserter_all_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,0.9029122084095068,0.9029122084095068,Very High,increase
electric_network_update,inserter_all_to_electromagnetic_plant_productivity_module,0.9029122084095068,0.9029122084095068,Very High,increase
electric_network_update,recipe_productivity_module,0.9029122084095068,0.9029122084095068,Very High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_productivity_module,0.9029122084095068,0.9029122084095068,Very High,increase
electric_network_update,stack_inserter_from_electromagnetic_plant_productivity_module_to_turbo_transport_belt,0.9029122084095068,0.9029122084095068,Very High,increase
electric_network_update,stack_inserter_to_electromagnetic_plant_productivity_module,0.9029122084095068,0.9029122084095068,Very High,increase
electric_heat_fluid_circuit_update,beacons_per_foundry_molten_copper_recipe,0.9025805141897195,0.9025805141897195,Very High,increase
electric_heat_fluid_circuit_update,beacons_per_foundry_molten_iron_recipe,0.9025805141897195,0.9025805141897195,Very High,increase
electric_heat_fluid_circuit_update,pump,0.9025805141896984,0.9025805141896984,Very High,increase
electric_network_update,inserter_all_from_building,0.9010907763820852,0.9010907763820852,Very High,increase
electric_network_update,stack_inserter_from_building,0.9010907763820852,0.9010907763820852,Very High,increase
electric_network_update,medium_electric_pole,0.8994524308387651,0.8994524308387651,High,increase
electric_network_update,total_power_poles,0.899406008380288,0.899406008380288,High,increase
