metric,property,correlation,strength,range,impact
trains,cargo_wagon,0.9999903443117422,0.9999903443117422,Very High,increase
trains,inserter_all_from_cargo_wagon,0.9999903443117422,0.9999903443117422,Very High,increase
trains,inserter_all_from_cargo_wagon_circuit_enabled,0.9999903443117422,0.9999903443117422,Very High,increase
trains,inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.9999903443117422,0.9999903443117422,Very High,increase
trains,inserter_all_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0.9999903443117422,0.9999903443117422,Very High,increase
trains,inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0.9999903443117422,0.9999903443117422,Very High,increase
trains,inserter_all_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0.9999903443117422,0.9999903443117422,Very High,increase
trains,inserter_all_to_cargo_wagon,0.9999903443117422,0.9999903443117422,Very High,increase
trains,inserter_all_to_cargo_wagon_circuit_enabled,0.9999903443117422,0.9999903443117422,Very High,increase
trains,stack_inserter_from_cargo_wagon,0.9999903443117422,0.9999903443117422,Very High,increase
trains,stack_inserter_from_cargo_wagon_circuit_enabled,0.9999903443117422,0.9999903443117422,Very High,increase
trains,stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit,0.9999903443117422,0.9999903443117422,Very High,increase
trains,stack_inserter_from_cargo_wagon_to_electromagnetic_plant_advanced_circuit_circuit_enabled,0.9999903443117422,0.9999903443117422,Very High,increase
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon,0.9999903443117422,0.9999903443117422,Very High,increase
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_cargo_wagon_circuit_enabled,0.9999903443117422,0.9999903443117422,Very High,increase
trains,stack_inserter_to_cargo_wagon,0.9999903443117422,0.9999903443117422,Very High,increase
trains,stack_inserter_to_cargo_wagon_circuit_enabled,0.9999903443117422,0.9999903443117422,Very High,increase
trains,straight_rail,0.9999903443117422,0.9999903443117422,Very High,increase
control_behavior_update,storage_tank,0.9612130553232873,0.9612130553232873,Very High,increase
control_behavior_update,inserter_all_to_building_circuit_enabled,0.9581083185841779,0.9581083185841779,Very High,increase
control_behavior_update,stack_inserter_to_building_circuit_enabled,0.9581083185841779,0.9581083185841779,Very High,increase
electric_heat_fluid_circuit_update,beacons_per_foundry_casting_copper_cable_recipe,-0.9558501362789249,0.9558501362789249,Very High,decrease
fluid_flow_update,beacons_per_foundry,-0.9494228966253981,0.9494228966253981,Very High,decrease
electric_heat_fluid_circuit_update,beacons_per_foundry,-0.9491356955099272,0.9491356955099272,Very High,decrease
fluid_flow_update,beacons_per_foundry_casting_copper_cable_recipe,-0.9448415461679942,0.9448415461679942,Very High,decrease
control_behavior_update,inserter_all_direct_insertion_circuit_enabled,0.9350154245728987,0.9350154245728987,Very High,increase
control_behavior_update,stack_inserter_direct_insertion_circuit_enabled,0.9350154245728987,0.9350154245728987,Very High,increase
transport_lines_update,inserter_all_to_belt_circuit_enabled,0.9321580313036576,0.9321580313036576,Very High,increase
transport_lines_update,stack_inserter_to_belt_circuit_enabled,0.9321580313036576,0.9321580313036576,Very High,increase
control_behavior_update,total_circuit_networks,0.9305211288954186,0.9305211288954186,Very High,increase
transport_lines_update,inserter_all_to_belt,0.9287424897897979,0.9287424897897979,Very High,increase
transport_lines_update,stack_inserter_to_belt,0.9287424897897979,0.9287424897897979,Very High,increase
fluid_flow_update,beacons_per_electromagnetic_plant_electronic_circuit_recipe,-0.9224587783277144,0.9224587783277144,Very High,decrease
electric_heat_fluid_circuit_update,beacons_per_electromagnetic_plant,-0.9194583491848025,0.9194583491848025,Very High,decrease
electric_heat_fluid_circuit_update,beacons_per_electromagnetic_plant_electronic_circuit_recipe,-0.9129047840617371,0.9129047840617371,Very High,decrease
electric_heat_fluid_circuit_update,recipe_casting_steel,0.9085914492756685,0.9085914492756685,Very High,increase
control_behavior_update,inserter_all_from_building_circuit_enabled,0.9077694533277946,0.9077694533277946,Very High,increase
control_behavior_update,stack_inserter_from_building_circuit_enabled,0.9077694533277946,0.9077694533277946,Very High,increase
control_behavior_update,oil_refinery_circuit_enabled,0.903060045550436,0.903060045550436,Very High,increase
electric_heat_fluid_circuit_update,pipe,0.8995392232645902,0.8995392232645902,High,increase
fluid_flow_update,foundry,0.8985709467089259,0.8985709467089259,High,increase
fluid_flow_update,beacons_per_electromagnetic_plant,-0.8968827739692276,0.8968827739692276,High,decrease
fluid_flow_update,recipe_casting_steel,0.8966416200802328,0.8966416200802328,High,increase
trains,inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,-0.8946359362714537,0.8946359362714537,High,decrease
trains,inserter_all_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,-0.8946359362714537,0.8946359362714537,High,decrease
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit,-0.8946359362714537,0.8946359362714537,High,decrease
trains,stack_inserter_from_electromagnetic_plant_electronic_circuit_to_electromagnetic_plant_advanced_circuit_circuit_enabled,-0.8946359362714537,0.8946359362714537,High,decrease
control_behavior_update,stack_inserter_circuit_enabled,0.8944350278860422,0.8944350278860422,High,increase
electric_heat_fluid_circuit_update,foundry,0.8934192205319262,0.8934192205319262,High,increase
fluid_flow_update,pipe,0.8927493443896076,0.8927493443896076,High,increase
control_behavior_update,beacons_per_oil_refinery,0.8911487263899374,0.8911487263899374,High,increase
control_behavior_update,beacons_per_oil_refinery_basic_oil_processing_recipe,0.8911487263899374,0.8911487263899374,High,increase
electric_heat_fluid_circuit_update,inserter_all_to_building,0.877878532709944,0.877878532709944,High,increase
electric_heat_fluid_circuit_update,stack_inserter_to_building,0.877878532709944,0.877878532709944,High,increase
transport_lines_update,inserter_all_to_turbo_transport_belt_circuit_enabled,0.8693916765027886,0.8693916765027886,High,increase
transport_lines_update,stack_inserter_to_turbo_transport_belt_circuit_enabled,0.8693916765027886,0.8693916765027886,High,increase
electric_heat_fluid_circuit_update,recipe_plastic_bar,0.8688551019211865,0.8688551019211865,High,increase
whole_update,electric_furnace,0.868280317829608,0.868280317829608,High,increase
whole_update,inserter_all_from_electric_furnace,0.868280317829608,0.868280317829608,High,increase
whole_update,inserter_all_from_electric_furnace_circuit_enabled,0.868280317829608,0.868280317829608,High,increase
whole_update,stack_inserter_from_electric_furnace,0.868280317829608,0.868280317829608,High,increase
whole_update,stack_inserter_from_electric_furnace_circuit_enabled,0.868280317829608,0.868280317829608,High,increase
fluid_flow_update,inserter_all_from_electromagnetic_plant_advanced_circuit_to_steel_chest,0.8668470872851518,0.8668470872851518,High,increase
fluid_flow_update,stack_inserter_from_electromagnetic_plant_advanced_circuit_to_steel_chest,0.8668470872851518,0.8668470872851518,High,increase
entity_update,inserter_all_from_belt,0.866622082672626,0.866622082672626,High,increase
entity_update,stack_inserter_from_belt,0.866622082672626,0.866622082672626,High,increase
electric_heat_fluid_circuit_update,inserter_all,0.8654841146182843,0.8654841146182843,High,increase
electric_heat_fluid_circuit_update,stack_inserter,0.8654841146182843,0.8654841146182843,High,increase
fluid_flow_update,inserter_all_to_building,0.8625404651639418,0.8625404651639418,High,increase
fluid_flow_update,stack_inserter_to_building,0.8625404651639418,0.8625404651639418,High,increase
