save_name,run_index,execution_time_ms,avg_ms,min_ms,max_ms,effective_ups,percentage_improvement,ticks,factorio_version,platform
13_yuu,0,41897.179,2.328,1.542,16.962,429.62319730404766,0,18000,2.0.72,windows-x86_64
13_yuu,1,41985.781,2.333,1.54,17.49,428.71656954529436,0,18000,2.0.72,windows-x86_64
13_yuu,2,41883.419,2.327,1.499,12.435,429.76434182701274,0,18000,2.0.72,windows-x86_64
13_yuu,3,41847.604,2.325,1.518,12.698,430.1321528467914,0,18000,2.0.72,windows-x86_64
13_yuu,4,42394.227,2.355,1.543,12.547,424.5861116892166,0,18000,2.0.72,windows-x86_64
13_yuu,5,42149.17,2.342,1.551,12.844,427.0546727254653,0,18000,2.0.72,windows-x86_64
00_baseline,0,41170.03,2.287,1.702,4.763,437.2112432271728,1.6616228796969028,18000,2.0.72,windows-x86_64
00_baseline,1,40976.707,2.276,1.756,4.319,439.2739514183021,1.6616228796969028,18000,2.0.72,windows-x86_64
00_baseline,2,41177.273,2.288,1.742,4.697,437.1343386435522,1.6616228796969028,18000,2.0.72,windows-x86_64
00_baseline,3,41278.704,2.293,1.705,4.518,436.0602018900594,1.6616228796969028,18000,2.0.72,windows-x86_64
00_baseline,4,41943.731,2.33,1.786,4.61,429.146372314852,1.6616228796969028,18000,2.0.72,windows-x86_64
00_baseline,5,41498.31,2.305,1.709,4.912,433.7526034192718,1.6616228796969028,18000,2.0.72,windows-x86_64
04_goirelandbrad,0,33465.713,1.859,1.003,4.04,537.8639325568829,24.923267985122465,18000,2.0.72,windows-x86_64
04_goirelandbrad,1,33567.041,1.865,1.024,4.013,536.2402959498278,24.923267985122465,18000,2.0.72,windows-x86_64
04_goirelandbrad,2,33413.002,1.856,1.032,4.237,538.7124449338613,24.923267985122465,18000,2.0.72,windows-x86_64
04_goirelandbrad,3,33489.523,1.861,0.986,4.177,537.4815281782305,24.923267985122465,18000,2.0.72,windows-x86_64
04_goirelandbrad,4,34240.726,1.902,1.049,4.087,525.6897882363826,24.923267985122465,18000,2.0.72,windows-x86_64
04_goirelandbrad,5,33683.492,1.871,0.992,4.087,534.3863991298765,24.923267985122465,18000,2.0.72,windows-x86_64
18_akaravortex,0,33502.888,1.861,0.514,5.494,537.2671155991089,25.229009589750795,18000,2.0.72,windows-x86_64
18_akaravortex,1,33292.831,1.85,0.521,5.391,540.6569360232538,25.229009589750795,18000,2.0.72,windows-x86_64
18_akaravortex,2,33726.964,1.874,0.507,5.851,533.697607647104,25.229009589750795,18000,2.0.72,windows-x86_64
18_akaravortex,3,33632.767,1.868,0.556,5.46,535.1923616632554,25.229009589750795,18000,2.0.72,windows-x86_64
18_akaravortex,4,33628.712,1.868,0.521,6.337,535.2568959524825,25.229009589750795,18000,2.0.72,windows-x86_64
18_akaravortex,5,33572.027,1.865,0.543,5.433,536.1606554170828,25.229009589750795,18000,2.0.72,windows-x86_64
26_galacta487,0,31752.912,1.764,1.069,3.649,566.877141850801,30.25058362428591,18000,2.0.72,windows-x86_64
26_galacta487,1,32307.247,1.795,1.095,3.73,557.1505365344191,30.25058362428591,18000,2.0.72,windows-x86_64
26_galacta487,2,32395.535,1.8,1.102,4.038,555.6321264643415,30.25058362428591,18000,2.0.72,windows-x86_64
26_galacta487,3,32327.121,1.796,1.118,3.899,556.8080126900259,30.25058362428591,18000,2.0.72,windows-x86_64
26_galacta487,4,32409.871,1.801,1.127,3.885,555.3863512755111,30.25058362428591,18000,2.0.72,windows-x86_64
26_galacta487,5,32407.576,1.8,1.11,3.85,555.4256819454808,30.25058362428591,18000,2.0.72,windows-x86_64
15_yoyonas,0,30583.734,1.699,1.006,4.067,588.5481478487878,35.07112896815335,18000,2.0.72,windows-x86_64
15_yoyonas,1,30654.395,1.703,1.034,4.178,587.1914940745038,35.07112896815335,18000,2.0.72,windows-x86_64
15_yoyonas,2,31218.08,1.734,1.052,4.106,576.5889510181279,35.07112896815335,18000,2.0.72,windows-x86_64
15_yoyonas,3,31257.946,1.737,1.045,4,575.853576559381,35.07112896815335,18000,2.0.72,windows-x86_64
15_yoyonas,4,31669.123,1.759,1.051,4.425,568.3769645278778,35.07112896815335,18000,2.0.72,windows-x86_64
15_yoyonas,5,31325.987,1.74,1.02,4.292,574.6028050129753,35.07112896815335,18000,2.0.72,windows-x86_64
03_swiftdeath007,0,30913.518,1.717,0.842,4.653,582.2695430523307,35.77864492744903,18000,2.0.72,windows-x86_64
03_swiftdeath007,1,30906.7,1.717,0.809,4.552,582.3979913740386,35.77864492744903,18000,2.0.72,windows-x86_64
03_swiftdeath007,2,30823.531,1.712,0.811,4.764,583.9694355588268,35.77864492744903,18000,2.0.72,windows-x86_64
03_swiftdeath007,3,31028.233,1.724,0.839,4.755,580.1168245707063,35.77864492744903,18000,2.0.72,windows-x86_64
03_swiftdeath007,4,31097.384,1.728,0.851,5.009,578.8268235038678,35.77864492744903,18000,2.0.72,windows-x86_64
03_swiftdeath007,5,30940.402,1.719,0.82,5.042,581.7636112161698,35.77864492744903,18000,2.0.72,windows-x86_64
20_groot_opperhoofd,0,30764.372,1.709,0.937,3.643,585.0923919396112,36.32755177536789,18000,2.0.72,windows-x86_64
20_groot_opperhoofd,1,30779.901,1.71,0.949,3.752,584.7972025641018,36.32755177536789,18000,2.0.72,windows-x86_64
20_groot_opperhoofd,2,30757.264,1.709,0.957,3.677,585.2276067208059,36.32755177536789,18000,2.0.72,windows-x86_64
20_groot_opperhoofd,3,30709.031,1.706,0.952,3.756,586.1467918020599,36.32755177536789,18000,2.0.72,windows-x86_64
20_groot_opperhoofd,4,30892.351,1.716,0.96,3.776,582.6685058705956,36.32755177536789,18000,2.0.72,windows-x86_64
20_groot_opperhoofd,5,31060.297,1.726,0.971,3.638,579.5179614670137,36.32755177536789,18000,2.0.72,windows-x86_64
05_flexime,0,30068.082,1.67,0.815,3.845,598.6414431090085,38.77090111815447,18000,2.0.72,windows-x86_64
05_flexime,1,30350.221,1.686,0.869,4.146,593.0764062640598,38.77090111815447,18000,2.0.72,windows-x86_64
05_flexime,2,30228.234,1.679,0.836,4.185,595.469784969906,38.77090111815447,18000,2.0.72,windows-x86_64
05_flexime,3,30415.037,1.69,0.827,4.135,591.812530098188,38.77090111815447,18000,2.0.72,windows-x86_64
05_flexime,4,30377.834,1.688,0.885,4.202,592.5373086178561,38.77090111815447,18000,2.0.72,windows-x86_64
05_flexime,5,30267.155,1.682,0.853,4.441,594.7040612175145,38.77090111815447,18000,2.0.72,windows-x86_64
25_mcmayhem57,0,29239.517,1.624,0.8,4.25,615.6052440948323,39.8135737067566,18000,2.0.72,windows-x86_64
25_mcmayhem57,1,29818.576,1.657,0.84,4.703,603.650556619471,39.8135737067566,18000,2.0.72,windows-x86_64
25_mcmayhem57,2,29865.159,1.659,0.778,4.419,602.7089961248826,39.8135737067566,18000,2.0.72,windows-x86_64
25_mcmayhem57,3,29988.333,1.666,0.799,4.675,600.2334307812308,39.8135737067566,18000,2.0.72,windows-x86_64
25_mcmayhem57,4,31645.483,1.758,0.833,4.715,568.8015569236217,39.8135737067566,18000,2.0.72,windows-x86_64
25_mcmayhem57,5,29898.487,1.661,0.808,4.419,602.0371532512665,39.8135737067566,18000,2.0.72,windows-x86_64
08_derantrix,0,28470.609,1.582,0.674,3.944,632.2309438480926,46.36098948870299,18000,2.0.72,windows-x86_64
08_derantrix,1,28495.565,1.583,0.69,3.912,631.6772452134219,46.36098948870299,18000,2.0.72,windows-x86_64
08_derantrix,2,29146.298,1.619,0.741,4.199,617.5741426921526,46.36098948870299,18000,2.0.72,windows-x86_64
08_derantrix,3,28569.67,1.587,0.695,3.76,630.0387788868405,46.36098948870299,18000,2.0.72,windows-x86_64
08_derantrix,4,28768.614,1.598,0.717,3.906,625.6818628801512,46.36098948870299,18000,2.0.72,windows-x86_64
08_derantrix,5,28841.786,1.602,0.724,3.961,624.0944995569969,46.36098948870299,18000,2.0.72,windows-x86_64
14_redphoenixq,0,27657.891,1.537,0.65,3.739,650.8088414984353,50.02972458020416,18000,2.0.72,windows-x86_64
14_redphoenixq,1,27977.446,1.554,0.669,4.256,643.375381727124,50.02972458020416,18000,2.0.72,windows-x86_64
14_redphoenixq,2,27980.011,1.554,0.668,4.238,643.3164018413003,50.02972458020416,18000,2.0.72,windows-x86_64
14_redphoenixq,3,28321.032,1.573,0.722,4.412,635.5700597351114,50.02972458020416,18000,2.0.72,windows-x86_64
14_redphoenixq,4,28018.985,1.557,0.643,4.034,642.421558097126,50.02972458020416,18000,2.0.72,windows-x86_64
14_redphoenixq,5,28121.168,1.562,0.664,4.028,640.087211171314,50.02972458020416,18000,2.0.72,windows-x86_64
09_azhrei,0,27398.049,1.522,0.492,4.637,656.9810864999913,50.34149571376094,18000,2.0.72,windows-x86_64
09_azhrei,1,28286.02,1.571,0.523,4.946,636.356758568367,50.34149571376094,18000,2.0.72,windows-x86_64
09_azhrei,2,27906.037,1.55,0.536,4.79,645.0217205689221,50.34149571376094,18000,2.0.72,windows-x86_64
09_azhrei,3,28074.897,1.56,0.533,5.454,641.1421562828885,50.34149571376094,18000,2.0.72,windows-x86_64
09_azhrei,4,27901.075,1.55,0.493,4.767,645.1364329152192,50.34149571376094,18000,2.0.72,windows-x86_64
09_azhrei,5,28171.067,1.565,0.506,4.882,638.9534340321579,50.34149571376094,18000,2.0.72,windows-x86_64
24_syvkal,0,27313.147,1.517,0.776,3.583,659.0232901393604,53.237071871830835,18000,2.0.72,windows-x86_64
24_syvkal,1,27916.163,1.551,0.763,3.74,644.7877525288844,53.237071871830835,18000,2.0.72,windows-x86_64
24_syvkal,2,27343.125,1.519,0.771,3.671,658.3007611602551,53.237071871830835,18000,2.0.72,windows-x86_64
24_syvkal,3,27296.916,1.516,0.749,3.73,659.4151515138193,53.237071871830835,18000,2.0.72,windows-x86_64
24_syvkal,4,27362.321,1.52,0.779,3.612,657.8389311345335,53.237071871830835,18000,2.0.72,windows-x86_64
24_syvkal,5,27329.106,1.518,0.774,4.548,658.6384494245805,53.237071871830835,18000,2.0.72,windows-x86_64
23_warbaque,0,26985.416,1.499,0.541,4.18,667.0269600438993,54.750913867339705,18000,2.0.72,windows-x86_64
23_warbaque,1,27104.783,1.506,0.591,4.533,664.089433957099,54.750913867339705,18000,2.0.72,windows-x86_64
23_warbaque,2,27011.78,1.501,0.529,4.018,666.3759293167648,54.750913867339705,18000,2.0.72,windows-x86_64
23_warbaque,3,27412.23,1.523,0.557,4.335,656.6412145235904,54.750913867339705,18000,2.0.72,windows-x86_64
23_warbaque,4,27178.136,1.51,0.534,4.289,662.2970758553862,54.750913867339705,18000,2.0.72,windows-x86_64
23_warbaque,5,27253.006,1.514,0.536,4.016,660.4776001590429,54.750913867339705,18000,2.0.72,windows-x86_64
22_warbaque,0,26899.942,1.494,0.529,4.037,669.1464241818811,55.032924518806816,18000,2.0.72,windows-x86_64
22_warbaque,1,26996.563,1.5,0.549,3.98,666.751541668471,55.032924518806816,18000,2.0.72,windows-x86_64
22_warbaque,2,27057.366,1.503,0.585,4.193,665.2532253139495,55.032924518806816,18000,2.0.72,windows-x86_64
22_warbaque,3,27014.795,1.501,0.53,4.402,666.3015580906685,55.032924518806816,18000,2.0.72,windows-x86_64
22_warbaque,4,27592.708,1.533,0.524,4.467,652.3462648175018,55.032924518806816,18000,2.0.72,windows-x86_64
22_warbaque,5,27093.886,1.505,0.551,3.868,664.3565267824631,55.032924518806816,18000,2.0.72,windows-x86_64
01_geist,0,26740.425,1.486,0.748,3.608,673.1381419704436,55.78292925178562,18000,2.0.72,windows-x86_64
01_geist,1,26606.887,1.478,0.714,3.273,676.5165725701019,55.78292925178562,18000,2.0.72,windows-x86_64
01_geist,2,26712.028,1.484,0.707,3.507,673.8537410937125,55.78292925178562,18000,2.0.72,windows-x86_64
01_geist,3,28037.623,1.558,0.774,3.593,641.9945085929717,55.78292925178562,18000,2.0.72,windows-x86_64
01_geist,4,26916.82,1.495,0.706,3.621,668.7268406892048,55.78292925178562,18000,2.0.72,windows-x86_64
01_geist,5,26897.791,1.494,0.722,3.743,669.1999354147706,55.78292925178562,18000,2.0.72,windows-x86_64
21_em,0,26933.887,1.496,0.578,3.382,668.3030934227949,56.17663579813398,18000,2.0.72,windows-x86_64
21_em,1,26780.807,1.488,0.553,4.083,672.1231365432715,56.17663579813398,18000,2.0.72,windows-x86_64
21_em,2,26837.441,1.491,0.587,3.572,670.7047814283038,56.17663579813398,18000,2.0.72,windows-x86_64
21_em,3,26912.238,1.495,0.558,3.666,668.8406961918217,56.17663579813398,18000,2.0.72,windows-x86_64
21_em,4,27059.973,1.503,0.58,4.236,665.1891337807322,56.17663579813398,18000,2.0.72,windows-x86_64
21_em,5,26930.519,1.496,0.56,3.966,668.3866731272427,56.17663579813398,18000,2.0.72,windows-x86_64
16_teaz,0,26827.933,1.49,0.601,4.11,670.9424837165054,57.02296895903144,18000,2.0.72,windows-x86_64
16_teaz,1,26656.447,1.481,0.603,4.581,675.2587844884204,57.02296895903144,18000,2.0.72,windows-x86_64
16_teaz,2,26583.785,1.477,0.597,4.465,677.104483052357,57.02296895903144,18000,2.0.72,windows-x86_64
16_teaz,3,26542.916,1.475,0.609,4.456,678.1470430754481,57.02296895903144,18000,2.0.72,windows-x86_64
16_teaz,4,26910.674,1.495,0.603,5.075,668.8795680108199,57.02296895903144,18000,2.0.72,windows-x86_64
16_teaz,5,27069.099,1.504,0.602,4.123,664.9648737846798,57.02296895903144,18000,2.0.72,windows-x86_64
17_akaravortex,0,26453.552,1.47,0.675,3.617,680.4379237994202,58.4677203724273,18000,2.0.72,windows-x86_64
17_akaravortex,1,26573.139,1.476,0.674,3.754,677.3757515060603,58.4677203724273,18000,2.0.72,windows-x86_64
17_akaravortex,2,26519.9,1.473,0.709,3.912,678.7355910090158,58.4677203724273,18000,2.0.72,windows-x86_64
17_akaravortex,3,26447.154,1.469,0.707,3.673,680.6025328850129,58.4677203724273,18000,2.0.72,windows-x86_64
17_akaravortex,4,26636.395,1.48,0.692,3.524,675.7671223902483,58.4677203724273,18000,2.0.72,windows-x86_64
17_akaravortex,5,26489.807,1.472,0.684,4.344,679.5066494821951,58.4677203724273,18000,2.0.72,windows-x86_64
07_rydberg,0,26168.507,1.454,0.64,3.484,687.8497118693091,60.43031878937174,18000,2.0.72,windows-x86_64
07_rydberg,1,26079.114,1.449,0.598,3.569,690.207497079847,60.43031878937174,18000,2.0.72,windows-x86_64
07_rydberg,2,26236.585,1.458,0.619,3.615,686.0648975466892,60.43031878937174,18000,2.0.72,windows-x86_64
07_rydberg,3,26306.613,1.461,0.612,3.621,684.2385981045907,60.43031878937174,18000,2.0.72,windows-x86_64
07_rydberg,4,26177.61,1.454,0.624,3.61,687.6105190657206,60.43031878937174,18000,2.0.72,windows-x86_64
07_rydberg,5,26205.042,1.456,0.641,3.647,686.8907136267898,60.43031878937174,18000,2.0.72,windows-x86_64
28_erichteia,0,25858.372,1.437,0.658,5.431,696.0995069604537,62.77793261254866,18000,2.0.72,windows-x86_64
28_erichteia,1,25697.862,1.428,0.665,5.128,700.4473757388844,62.77793261254866,18000,2.0.72,windows-x86_64
28_erichteia,2,25668.976,1.426,0.653,4.737,701.2356083078655,62.77793261254866,18000,2.0.72,windows-x86_64
28_erichteia,3,25794.803,1.433,0.649,5.49,697.8149823435364,62.77793261254866,18000,2.0.72,windows-x86_64
28_erichteia,4,25987.798,1.444,0.652,4.764,692.6327501852985,62.77793261254866,18000,2.0.72,windows-x86_64
